phi_men,phi_women
"(0.0, 0.0)",120
"(0.1, 0.0)",117.048
"(0.2, 0.0)",113.343
"(0.3, 0.0)",108.755
"(0.4, 0.0)",102.283
"(0.5, 0.0)",94.118
"(0.6, 0.0)",83.036
"(0.7, 0.0)",69.374
"(0.8, 0.0)",54.621
"(0.9, 0.0)",42.899
"(1.0, 0.0)",38.039
"(0.0, 0.1)",120
"(0.1, 0.1)",117.104
"(0.2, 0.1)",113.529
"(0.3, 0.1)",108.893
"(0.4, 0.1)",102.707
"(0.5, 0.1)",94.28
"(0.6, 0.1)",83.172
"(0.7, 0.1)",69.802
"(0.8, 0.1)",54.8
"(0.9, 0.1)",43.146
"(1.0, 0.1)",38.034
"(0.0, 0.2)",120
"(0.1, 0.2)",117.189
"(0.2, 0.2)",113.617
"(0.3, 0.2)",109.264
"(0.4, 0.2)",102.952
"(0.5, 0.2)",94.878
"(0.6, 0.2)",83.771
"(0.7, 0.2)",69.596
"(0.8, 0.2)",55.41
"(0.9, 0.2)",42.617
"(1.0, 0.2)",38.219
"(0.0, 0.3)",120
"(0.1, 0.3)",117.549
"(0.2, 0.3)",114.242
"(0.3, 0.3)",109.651
"(0.4, 0.3)",103.65
"(0.5, 0.3)",95.111
"(0.6, 0.3)",84.14
"(0.7, 0.3)",70.109
"(0.8, 0.3)",55.365
"(0.9, 0.3)",42.672
"(1.0, 0.3)",38.722
"(0.0, 0.4)",120
"(0.1, 0.4)",117.839
"(0.2, 0.4)",114.747
"(0.3, 0.4)",110.297
"(0.4, 0.4)",104.436
"(0.5, 0.4)",96.175
"(0.6, 0.4)",84.924
"(0.7, 0.4)",71.001
"(0.8, 0.4)",55.5
"(0.9, 0.4)",43.256
"(1.0, 0.4)",38.645
"(0.0, 0.5)",120
"(0.1, 0.5)",118.112
"(0.2, 0.5)",115.25
"(0.3, 0.5)",111.575
"(0.4, 0.5)",105.891
"(0.5, 0.5)",97.451
"(0.6, 0.5)",86.424
"(0.7, 0.5)",72.292
"(0.8, 0.5)",55.926
"(0.9, 0.5)",43.449
"(1.0, 0.5)",38.498
"(0.0, 0.6)",120
"(0.1, 0.6)",118.378
"(0.2, 0.6)",116.064
"(0.3, 0.6)",112.317
"(0.4, 0.6)",107.208
"(0.5, 0.6)",99.495
"(0.6, 0.6)",88.161
"(0.7, 0.6)",74.025
"(0.8, 0.6)",58.031
"(0.9, 0.6)",44.837
"(1.0, 0.6)",39.3
"(0.0, 0.7)",120
"(0.1, 0.7)",118.66
"(0.2, 0.7)",116.621
"(0.3, 0.7)",113.6
"(0.4, 0.7)",108.63
"(0.5, 0.7)",101.677
"(0.6, 0.7)",90.674
"(0.7, 0.7)",76.313
"(0.8, 0.7)",58.763
"(0.9, 0.7)",45.712
"(1.0, 0.7)",39.78
"(0.0, 0.8)",120
"(0.1, 0.8)",118.954
"(0.2, 0.8)",117.228
"(0.3, 0.8)",114.681
"(0.4, 0.8)",110.413
"(0.5, 0.8)",104.297
"(0.6, 0.8)",93.846
"(0.7, 0.8)",79.277
"(0.8, 0.8)",61.394
"(0.9, 0.8)",46.703
"(1.0, 0.8)",41.228
"(0.0, 0.9)",120
"(0.1, 0.9)",119.073
"(0.2, 0.9)",117.817
"(0.3, 0.9)",115.442
"(0.4, 0.9)",112.036
"(0.5, 0.9)",106.572
"(0.6, 0.9)",97.032
"(0.7, 0.9)",83.311
"(0.8, 0.9)",64.799
"(0.9, 0.9)",48.755
"(1.0, 0.9)",41.697
"(0.0, 1.0)",120
"(0.1, 1.0)",119.291
"(0.2, 1.0)",117.895
"(0.3, 1.0)",115.962
"(0.4, 1.0)",112.832
"(0.5, 1.0)",107.171
"(0.6, 1.0)",98.264
"(0.7, 1.0)",83.443
"(0.8, 1.0)",66.032
"(0.9, 1.0)",49.604
"(1.0, 1.0)",42.69
