phi_men,phi_women
"(0.0, 0.0)",0
"(0.1, 0.0)",0.1967999999999999
"(0.2, 0.0)",0.4438000000000001
"(0.3, 0.0)",0.7496666666666666
"(0.4, 0.0)",1.1811333333333334
"(0.5, 0.0)",1.7254666666666667
"(0.6, 0.0)",2.4642666666666666
"(0.7, 0.0)",3.3750666666666667
"(0.8, 0.0)",4.3586
"(0.9, 0.0)",5.140066666666667
"(1.0, 0.0)",5.464066666666667
"(0.0, 0.1)",-0.1913999999999999
"(0.1, 0.1)",0.011266666666666675
"(0.2, 0.1)",0.2731333333333335
"(0.3, 0.1)",0.5998000000000001
"(0.4, 0.1)",1.0437333333333334
"(0.5, 0.1)",1.6202666666666667
"(0.6, 0.1)",2.3593333333333333
"(0.7, 0.1)",3.2746
"(0.8, 0.1)",4.295266666666667
"(0.9, 0.1)",5.081333333333333
"(1.0, 0.1)",5.4270000000000005
"(0.0, 0.2)",-0.45406666666666673
"(0.1, 0.2)",-0.22153333333333353
"(0.2, 0.2)",0.057866666666666684
"(0.3, 0.2)",0.3805999999999999
"(0.4, 0.2)",0.8443333333333333
"(0.5, 0.2)",1.4095333333333333
"(0.6, 0.2)",2.1986
"(0.7, 0.2)",3.1738666666666666
"(0.8, 0.2)",4.165733333333334
"(0.9, 0.2)",5.0358
"(1.0, 0.2)",5.357866666666666
"(0.0, 0.3)",-0.7562666666666666
"(0.1, 0.3)",-0.5290000000000001
"(0.2, 0.3)",-0.2637333333333332
"(0.3, 0.3)",0.08266666666666662
"(0.4, 0.3)",0.5342666666666667
"(0.5, 0.3)",1.1687333333333334
"(0.6, 0.3)",1.9832666666666667
"(0.7, 0.3)",2.9650666666666665
"(0.8, 0.3)",4.041066666666667
"(0.9, 0.3)",4.926066666666666
"(1.0, 0.3)",5.203333333333333
"(0.0, 0.4)",-1.1605333333333334
"(0.1, 0.4)",-0.9842000000000002
"(0.2, 0.4)",-0.7242
"(0.3, 0.4)",-0.3478666666666667
"(0.4, 0.4)",0.1322
"(0.5, 0.4)",0.7545333333333334
"(0.6, 0.4)",1.6316666666666666
"(0.7, 0.4)",2.666333333333333
"(0.8, 0.4)",3.8174
"(0.9, 0.4)",4.716733333333333
"(1.0, 0.4)",5.068933333333334
"(0.0, 0.5)",-1.7240666666666666
"(0.1, 0.5)",-1.542
"(0.2, 0.5)",-1.3082
"(0.3, 0.5)",-0.9962666666666666
"(0.4, 0.5)",-0.5015333333333333
"(0.5, 0.5)",0.19086666666666668
"(0.6, 0.5)",1.0868666666666666
"(0.7, 0.5)",2.1264666666666665
"(0.8, 0.5)",3.4659333333333335
"(0.9, 0.5)",4.4303333333333335
"(1.0, 0.5)",4.8296
"(0.0, 0.6)",-2.441
"(0.1, 0.6)",-2.2741333333333333
"(0.2, 0.6)",-2.094133333333333
"(0.3, 0.6)",-1.7595333333333334
"(0.4, 0.6)",-1.3273333333333333
"(0.5, 0.6)",-0.6596
"(0.6, 0.6)",0.2680666666666667
"(0.7, 0.6)",1.4423333333333332
"(0.8, 0.6)",2.755733333333333
"(0.9, 0.6)",3.8914666666666666
"(1.0, 0.6)",4.3895333333333335
"(0.0, 0.7)",-3.341466666666667
"(0.1, 0.7)",-3.224
"(0.2, 0.7)",-3.0241333333333333
"(0.3, 0.7)",-2.7432
"(0.4, 0.7)",-2.313466666666667
"(0.5, 0.7)",-1.6904666666666666
"(0.6, 0.7)",-0.7404666666666666
"(0.7, 0.7)",0.471
"(0.8, 0.7)",2.0319333333333334
"(0.9, 0.7)",3.1817333333333333
"(1.0, 0.7)",3.7953333333333332
"(0.0, 0.8)",-4.370733333333333
"(0.1, 0.8)",-4.248266666666667
"(0.2, 0.8)",-4.063666666666666
"(0.3, 0.8)",-3.7852
"(0.4, 0.8)",-3.3707333333333334
"(0.5, 0.8)",-2.863933333333333
"(0.6, 0.8)",-1.935
"(0.7, 0.8)",-0.7097333333333333
"(0.8, 0.8)",0.9116666666666667
"(0.9, 0.8)",2.3282
"(1.0, 0.8)",2.9614666666666665
"(0.0, 0.9)",-5.155133333333334
"(0.1, 0.9)",-5.0271333333333335
"(0.2, 0.9)",-4.881066666666666
"(0.3, 0.9)",-4.674266666666667
"(0.4, 0.9)",-4.293266666666667
"(0.5, 0.9)",-3.8646
"(0.6, 0.9)",-3.0329333333333333
"(0.7, 0.9)",-1.8506666666666667
"(0.8, 0.9)",-0.10726666666666666
"(0.9, 0.9)",1.5470666666666666
"(1.0, 0.9)",2.3631333333333333
"(0.0, 1.0)",-5.482733333333333
"(0.1, 1.0)",-5.339266666666667
"(0.2, 1.0)",-5.213333333333333
"(0.3, 1.0)",-4.992533333333333
"(0.4, 1.0)",-4.698666666666667
"(0.5, 1.0)",-4.174533333333334
"(0.6, 1.0)",-3.3636
"(0.7, 1.0)",-2.0803333333333334
"(0.8, 1.0)",-0.4913333333333333
"(0.9, 1.0)",1.1862666666666666
"(1.0, 1.0)",1.981
