phi_men,phi_women
"(0.0, 0.0)",26.5
"(0.1, 0.0)",26.5
"(0.2, 0.0)",26.5
"(0.3, 0.0)",26.5
"(0.4, 0.0)",26.5
"(0.5, 0.0)",26.5
"(0.6, 0.0)",26.5
"(0.7, 0.0)",26.5
"(0.8, 0.0)",26.5
"(0.9, 0.0)",26.5
"(1.0, 0.0)",26.5
"(0.0, 0.1)",26.71194
"(0.1, 0.1)",26.6887
"(0.2, 0.1)",26.66216
"(0.3, 0.1)",26.64824
"(0.4, 0.1)",26.62246
"(0.5, 0.1)",26.60718
"(0.6, 0.1)",26.58302
"(0.7, 0.1)",26.5641
"(0.8, 0.1)",26.55224
"(0.9, 0.1)",26.53046
"(1.0, 0.1)",26.52148
"(0.0, 0.2)",26.98116
"(0.1, 0.2)",26.9354
"(0.2, 0.2)",26.90358
"(0.3, 0.2)",26.86096
"(0.4, 0.2)",26.8198
"(0.5, 0.2)",26.7765
"(0.6, 0.2)",26.72886
"(0.7, 0.2)",26.67436
"(0.8, 0.2)",26.63052
"(0.9, 0.2)",26.57768
"(1.0, 0.2)",26.54554
"(0.0, 0.3)",27.34206
"(0.1, 0.3)",27.29968
"(0.2, 0.3)",27.24152
"(0.3, 0.3)",27.19122
"(0.4, 0.3)",27.11392
"(0.5, 0.3)",27.05468
"(0.6, 0.3)",26.96566
"(0.7, 0.3)",26.8707
"(0.8, 0.3)",26.7621
"(0.9, 0.3)",26.67762
"(1.0, 0.3)",26.60026
"(0.0, 0.4)",27.85128
"(0.1, 0.4)",27.80814
"(0.2, 0.4)",27.7511
"(0.3, 0.4)",27.66136
"(0.4, 0.4)",27.57702
"(0.5, 0.4)",27.4749
"(0.6, 0.4)",27.33262
"(0.7, 0.4)",27.17014
"(0.8, 0.4)",26.9862
"(0.9, 0.4)",26.81108
"(1.0, 0.4)",26.67746
"(0.0, 0.5)",28.61504
"(0.1, 0.5)",28.55286
"(0.2, 0.5)",28.4832
"(0.3, 0.5)",28.4155
"(0.4, 0.5)",28.28638
"(0.5, 0.5)",28.15886
"(0.6, 0.5)",27.95928
"(0.7, 0.5)",27.7187
"(0.8, 0.5)",27.41186
"(0.9, 0.5)",27.0626
"(1.0, 0.5)",26.81462
"(0.0, 0.6)",29.79794
"(0.1, 0.6)",29.74488
"(0.2, 0.6)",29.6688
"(0.3, 0.6)",29.60106
"(0.4, 0.6)",29.47582
"(0.5, 0.6)",29.30346
"(0.6, 0.6)",29.05458
"(0.7, 0.6)",28.68798
"(0.8, 0.6)",28.16878
"(0.9, 0.6)",27.56532
"(1.0, 0.6)",27.0908
"(0.0, 0.7)",31.83004
"(0.1, 0.7)",31.75944
"(0.2, 0.7)",31.70484
"(0.3, 0.7)",31.60104
"(0.4, 0.7)",31.50404
"(0.5, 0.7)",31.3328
"(0.6, 0.7)",30.99042
"(0.7, 0.7)",30.51904
"(0.8, 0.7)",29.74538
"(0.9, 0.7)",28.65498
"(1.0, 0.7)",27.7065
"(0.0, 0.8)",35.6801
"(0.1, 0.8)",35.60506
"(0.2, 0.8)",35.54128
"(0.3, 0.8)",35.42416
"(0.4, 0.8)",35.29542
"(0.5, 0.8)",35.188
"(0.6, 0.8)",34.83698
"(0.7, 0.8)",34.3451
"(0.8, 0.8)",33.30892
"(0.9, 0.8)",31.35448
"(1.0, 0.8)",29.29904
"(0.0, 0.9)",42.89068
"(0.1, 0.9)",42.79054
"(0.2, 0.9)",42.67914
"(0.3, 0.9)",42.58268
"(0.4, 0.9)",42.46974
"(0.5, 0.9)",42.34398
"(0.6, 0.9)",42.03062
"(0.7, 0.9)",41.60726
"(0.8, 0.9)",40.6367
"(0.9, 0.9)",38.51786
"(1.0, 0.9)",34.1779
"(0.0, 1.0)",48.4018
"(0.1, 1.0)",48.35524
"(0.2, 1.0)",48.31972
"(0.3, 1.0)",48.21966
"(0.4, 1.0)",48.12456
"(0.5, 1.0)",48.02048
"(0.6, 1.0)",47.82242
"(0.7, 1.0)",47.57376
"(0.8, 1.0)",46.95634
"(0.9, 1.0)",45.43896
"(1.0, 1.0)",40.265
