phi_men,phi_women
"(0.0, 0.0)",76.5
"(0.1, 0.0)",76.71390666666667
"(0.2, 0.0)",76.98813333333334
"(0.3, 0.0)",77.36294666666667
"(0.4, 0.0)",77.91190666666667
"(0.5, 0.0)",78.72044
"(0.6, 0.0)",80.03829333333333
"(0.7, 0.0)",82.42026666666666
"(0.8, 0.0)",87.55745333333333
"(0.9, 0.0)",103.07801333333333
"(1.0, 0.0)",147.36830666666665
"(0.0, 0.1)",76.5
"(0.1, 0.1)",76.71045333333333
"(0.2, 0.1)",76.98625333333334
"(0.3, 0.1)",77.35544
"(0.4, 0.1)",77.90072
"(0.5, 0.1)",78.72144
"(0.6, 0.1)",80.04641333333333
"(0.7, 0.1)",82.43026666666667
"(0.8, 0.1)",87.56033333333333
"(0.9, 0.1)",103.14117333333333
"(1.0, 0.1)",147.37724
"(0.0, 0.2)",76.5
"(0.1, 0.2)",76.69481333333333
"(0.2, 0.2)",76.95965333333334
"(0.3, 0.2)",77.32576
"(0.4, 0.2)",77.87443999999999
"(0.5, 0.2)",78.67765333333334
"(0.6, 0.2)",80.01125333333333
"(0.7, 0.2)",82.38293333333333
"(0.8, 0.2)",87.56325333333334
"(0.9, 0.2)",103.07894666666667
"(1.0, 0.2)",147.37141333333332
"(0.0, 0.3)",76.5
"(0.1, 0.3)",76.67648
"(0.2, 0.3)",76.92596
"(0.3, 0.3)",77.27613333333333
"(0.4, 0.3)",77.81682666666667
"(0.5, 0.3)",78.60545333333333
"(0.6, 0.3)",79.92521333333333
"(0.7, 0.3)",82.34398666666667
"(0.8, 0.3)",87.48262666666666
"(0.9, 0.3)",103.13953333333333
"(1.0, 0.3)",147.40246666666667
"(0.0, 0.4)",76.5
"(0.1, 0.4)",76.65256
"(0.2, 0.4)",76.88298666666667
"(0.3, 0.4)",77.22766666666666
"(0.4, 0.4)",77.73546666666667
"(0.5, 0.4)",78.54198666666667
"(0.6, 0.4)",79.85661333333333
"(0.7, 0.4)",82.22965333333333
"(0.8, 0.4)",87.42696
"(0.9, 0.4)",103.05069333333333
"(1.0, 0.4)",147.34886666666668
"(0.0, 0.5)",76.5
"(0.1, 0.5)",76.63208
"(0.2, 0.5)",76.83306666666667
"(0.3, 0.5)",77.13713333333334
"(0.4, 0.5)",77.61628
"(0.5, 0.5)",78.39434666666666
"(0.6, 0.5)",79.70116
"(0.7, 0.5)",82.08878666666666
"(0.8, 0.5)",87.30374666666667
"(0.9, 0.5)",102.85830666666666
"(1.0, 0.5)",147.29824
"(0.0, 0.6)",76.5
"(0.1, 0.6)",76.60748
"(0.2, 0.6)",76.7698
"(0.3, 0.6)",77.04334666666666
"(0.4, 0.6)",77.47154666666667
"(0.5, 0.6)",78.1794
"(0.6, 0.6)",79.42890666666666
"(0.7, 0.6)",81.81684
"(0.8, 0.6)",87.01388
"(0.9, 0.6)",102.82492
"(1.0, 0.6)",147.32598666666667
"(0.0, 0.7)",76.5
"(0.1, 0.7)",76.57898666666667
"(0.2, 0.7)",76.71396
"(0.3, 0.7)",76.92485333333333
"(0.4, 0.7)",77.27350666666666
"(0.5, 0.7)",77.90318666666667
"(0.6, 0.7)",79.01456
"(0.7, 0.7)",81.27124
"(0.8, 0.7)",86.45256
"(0.9, 0.7)",102.33157333333334
"(1.0, 0.7)",147.23370666666668
"(0.0, 0.8)",76.5
"(0.1, 0.8)",76.55454666666667
"(0.2, 0.8)",76.64474666666666
"(0.3, 0.8)",76.79358666666667
"(0.4, 0.8)",77.05493333333334
"(0.5, 0.8)",77.51494666666666
"(0.6, 0.8)",78.42254666666666
"(0.7, 0.8)",80.32781333333334
"(0.8, 0.8)",85.11569333333334
"(0.9, 0.8)",101.29178666666667
"(1.0, 0.8)",147.16977333333332
"(0.0, 0.9)",76.5
"(0.1, 0.9)",76.52921333333333
"(0.2, 0.9)",76.58233333333334
"(0.3, 0.9)",76.66226666666667
"(0.4, 0.9)",76.80366666666667
"(0.5, 0.9)",77.08370666666667
"(0.6, 0.9)",77.60448
"(0.7, 0.9)",78.78984
"(0.8, 0.9)",82.23973333333333
"(0.9, 0.9)",97.08437333333333
"(1.0, 0.9)",147.01462666666666
"(0.0, 1.0)",76.5
"(0.1, 1.0)",76.51033333333334
"(0.2, 1.0)",76.52841333333333
"(0.3, 1.0)",76.55181333333333
"(0.4, 1.0)",76.59666666666666
"(0.5, 1.0)",76.67414666666667
"(0.6, 1.0)",76.83294666666667
"(0.7, 1.0)",77.20286666666667
"(0.8, 1.0)",78.2656
"(0.9, 1.0)",84.17784
"(1.0, 1.0)",146.52342666666667
