dispersion,suitors borda_mean,suitors borda_stdev,reviewers borda_mean,reviewers borda_stdev
0.0,163.642,8.856425479406028,105,0.0
0.05,162.843,8.847634239254674,105.342,1.2322964556284963
0.1,162.959,8.51432985106948,105.983,1.9252058117036261
0.15,162.677,8.89875602873002,106.509,2.3844505875787414
0.2,162.595,8.690368087572441,107.387,3.065391920721986
0.25,162.211,9.205825667816343,108.45,3.753610207465553
0.3,162.266,9.025558415117855,109.668,4.098362181722422
0.35,162.225,9.339464684905693,111.028,5.033940460171987
0.4,161.864,9.280281656697044,113.278,5.914024999244735
0.45,161.032,9.248162223085433,115.518,6.577761240949914
0.5,160.424,9.993502593890398,119.189,7.693013808739814
0.55,159.759,10.442986879958003,122.898,8.948277357551433
0.6,159.274,10.280107227291193,127.154,10.040971322790694
0.65,158.326,10.74687020574917,133.316,10.636883344630949
0.7,157.612,10.990825913199346,139.039,11.627410531828472
0.75,155.333,11.433583770534847,146.634,12.304204055420954
0.8,154.125,11.564822528691053,153.823,12.876547537149719
0.85,152.243,12.816091572831525,161.043,13.41242125956548
0.9,150.607,12.875026886081338,165.803,13.061270527318076
0.95,149.532,13.633078773220554,169.122,13.291191510612274
1.0,149.124,13.362828637275463,170.296,13.169807433209789
