dispersion,suitors borda_mean,suitors borda_stdev,reviewers borda_mean,reviewers borda_stdev
0.0,105,0.0,105,0.0
0.05,105,0.0,106.403,1.2058379016455922
0.1,105,0.0,107.964,1.7360062550917603
0.15,105,0.0,109.705,2.2963554272473257
0.2,105,0.0,111.52,2.833306836124112
0.25,105,0.0,113.67,3.177923724572256
0.3,105,0.0,116.373,3.9488560956895435
0.35,105,0.0,119.043,4.217456335036315
0.4,105,0.0,122.457,5.077591253038485
0.45,105,0.0,126.469,5.721518572439906
0.5,105,0.0,130.706,6.450206909019987
0.55,105,0.0,135.748,7.114007668333308
0.6,105,0.0,141.266,7.362299059902922
0.65,105,0.0,148.301,8.007028881645896
0.7,105,0.0,155.699,8.408632713117164
0.75,105,0.0,163.163,8.725168167981609
0.8,105,0.0,170.442,8.7809875151797
0.85,105,0.0,177.235,8.431777384980576
0.9,105,0.0,181.875,7.809376502728074
0.95,105,0.0,185.765,7.24460207735796
1.0,105,0.0,186.712,7.443013801844953
