phi_men,phi_women
"(0.0, 0.0)",0.0
"(0.1, 0.0)",0.040000000000000015
"(0.2, 0.0)",0.09333333333333331
"(0.3, 0.0)",0.20000000000000007
"(0.4, 0.0)",0.32000000000000006
"(0.5, 0.0)",0.32666666666666677
"(0.6, 0.0)",0.43333333333333346
"(0.7, 0.0)",0.5066666666666668
"(0.8, 0.0)",0.5733333333333335
"(0.9, 0.0)",0.6333333333333334
"(1.0, 0.0)",0.6066666666666668
"(0.0, 0.1)",-0.053333333333333344
"(0.1, 0.1)",0.01333333333333333
"(0.2, 0.1)",0.046666666666666676
"(0.3, 0.1)",0.22000000000000014
"(0.4, 0.1)",0.20666666666666675
"(0.5, 0.1)",0.3000000000000001
"(0.6, 0.1)",0.4733333333333334
"(0.7, 0.1)",0.5266666666666667
"(0.8, 0.1)",0.5933333333333335
"(0.9, 0.1)",0.6266666666666667
"(1.0, 0.1)",0.5800000000000001
"(0.0, 0.2)",-0.10666666666666669
"(0.1, 0.2)",-0.040000000000000036
"(0.2, 0.2)",0.013333333333333263
"(0.3, 0.2)",0.13333333333333336
"(0.4, 0.2)",0.18666666666666673
"(0.5, 0.2)",0.2600000000000001
"(0.6, 0.2)",0.39333333333333337
"(0.7, 0.2)",0.5333333333333334
"(0.8, 0.2)",0.5466666666666667
"(0.9, 0.2)",0.6533333333333334
"(1.0, 0.2)",0.7000000000000001
"(0.0, 0.3)",-0.22000000000000006
"(0.1, 0.3)",-0.1733333333333334
"(0.2, 0.3)",-0.13333333333333336
"(0.3, 0.3)",0.08000000000000003
"(0.4, 0.3)",0.07333333333333333
"(0.5, 0.3)",0.2666666666666667
"(0.6, 0.3)",0.37333333333333335
"(0.7, 0.3)",0.40666666666666673
"(0.8, 0.3)",0.5133333333333334
"(0.9, 0.3)",0.5666666666666668
"(1.0, 0.3)",0.6266666666666667
"(0.0, 0.4)",-0.3733333333333334
"(0.1, 0.4)",-0.2400000000000001
"(0.2, 0.4)",-0.2666666666666667
"(0.3, 0.4)",-6.661338147750939e-17
"(0.4, 0.4)",0.053333333333333344
"(0.5, 0.4)",0.20666666666666675
"(0.6, 0.4)",0.20000000000000004
"(0.7, 0.4)",0.4066666666666667
"(0.8, 0.4)",0.6533333333333333
"(0.9, 0.4)",0.7333333333333334
"(1.0, 0.4)",0.72
"(0.0, 0.5)",-0.3000000000000001
"(0.1, 0.5)",-0.3200000000000001
"(0.2, 0.5)",-0.2733333333333333
"(0.3, 0.5)",-0.1
"(0.4, 0.5)",-0.2533333333333334
"(0.5, 0.5)",-0.026666666666666682
"(0.6, 0.5)",0.16666666666666666
"(0.7, 0.5)",0.4066666666666667
"(0.8, 0.5)",0.5533333333333333
"(0.9, 0.5)",0.6
"(1.0, 0.5)",0.5466666666666666
"(0.0, 0.6)",-0.4866666666666668
"(0.1, 0.6)",-0.4600000000000001
"(0.2, 0.6)",-0.39333333333333337
"(0.3, 0.6)",-0.4133333333333334
"(0.4, 0.6)",-0.18666666666666673
"(0.5, 0.6)",0.03333333333333337
"(0.6, 0.6)",-0.059999999999999984
"(0.7, 0.6)",0.36666666666666664
"(0.8, 0.6)",0.32666666666666677
"(0.9, 0.6)",0.3466666666666667
"(1.0, 0.6)",0.7799999999999999
"(0.0, 0.7)",-0.46000000000000013
"(0.1, 0.7)",-0.5733333333333334
"(0.2, 0.7)",-0.5466666666666669
"(0.3, 0.7)",-0.3466666666666667
"(0.4, 0.7)",-0.48000000000000004
"(0.5, 0.7)",-0.36
"(0.6, 0.7)",-0.14
"(0.7, 0.7)",0.12000000000000004
"(0.8, 0.7)",0.05999999999999996
"(0.9, 0.7)",0.39333333333333337
"(1.0, 0.7)",0.18666666666666662
"(0.0, 0.8)",-0.5200000000000001
"(0.1, 0.8)",-0.5466666666666667
"(0.2, 0.8)",-0.5533333333333333
"(0.3, 0.8)",-0.52
"(0.4, 0.8)",-0.3466666666666667
"(0.5, 0.8)",-0.4133333333333333
"(0.6, 0.8)",-0.6466666666666666
"(0.7, 0.8)",-0.18666666666666673
"(0.8, 0.8)",-0.09333333333333335
"(0.9, 0.8)",0.08666666666666675
"(1.0, 0.8)",0.3466666666666668
"(0.0, 0.9)",-0.6133333333333334
"(0.1, 0.9)",-0.6066666666666668
"(0.2, 0.9)",-0.6600000000000001
"(0.3, 0.9)",-0.54
"(0.4, 0.9)",-0.5933333333333335
"(0.5, 0.9)",-0.48666666666666664
"(0.6, 0.9)",-0.5399999999999999
"(0.7, 0.9)",-0.4133333333333333
"(0.8, 0.9)",-0.15333333333333338
"(0.9, 0.9)",-0.32000000000000006
"(1.0, 0.9)",-0.09333333333333335
"(0.0, 1.0)",-0.6266666666666667
"(0.1, 1.0)",-0.6866666666666668
"(0.2, 1.0)",-0.62
"(0.3, 1.0)",-0.6000000000000001
"(0.4, 1.0)",-0.64
"(0.5, 1.0)",-0.6133333333333333
"(0.6, 1.0)",-0.5333333333333333
"(0.7, 1.0)",-0.4466666666666666
"(0.8, 1.0)",-0.1866666666666667
"(0.9, 1.0)",0.18666666666666668
"(1.0, 1.0)",-4.4408920985006264e-17
