phi_men,phi_women
"(0.0, 0.0)",1.3333333333333333
"(0.1, 0.0)",1.3333333333333333
"(0.2, 0.0)",1.3333333333333333
"(0.3, 0.0)",1.3333333333333333
"(0.4, 0.0)",1.3333333333333333
"(0.5, 0.0)",1.3333333333333333
"(0.6, 0.0)",1.3333333333333333
"(0.7, 0.0)",1.3333333333333333
"(0.8, 0.0)",1.3333333333333333
"(0.9, 0.0)",1.3333333333333333
"(1.0, 0.0)",1.3333333333333333
"(0.0, 0.1)",1.3866666666666667
"(0.1, 0.1)",1.3733333333333333
"(0.2, 0.1)",1.38
"(0.3, 0.1)",1.3666666666666667
"(0.4, 0.1)",1.42
"(0.5, 0.1)",1.3466666666666667
"(0.6, 0.1)",1.4133333333333333
"(0.7, 0.1)",1.4466666666666665
"(0.8, 0.1)",1.3466666666666667
"(0.9, 0.1)",1.4333333333333333
"(1.0, 0.1)",1.42
"(0.0, 0.2)",1.44
"(0.1, 0.2)",1.46
"(0.2, 0.2)",1.4533333333333334
"(0.3, 0.2)",1.42
"(0.4, 0.2)",1.4266666666666667
"(0.5, 0.2)",1.4733333333333334
"(0.6, 0.2)",1.3533333333333333
"(0.7, 0.2)",1.4066666666666667
"(0.8, 0.2)",1.4733333333333334
"(0.9, 0.2)",1.54
"(1.0, 0.2)",1.42
"(0.0, 0.3)",1.5533333333333332
"(0.1, 0.3)",1.5666666666666667
"(0.2, 0.3)",1.56
"(0.3, 0.3)",1.5133333333333334
"(0.4, 0.3)",1.6
"(0.5, 0.3)",1.4933333333333334
"(0.6, 0.3)",1.5466666666666666
"(0.7, 0.3)",1.5666666666666667
"(0.8, 0.3)",1.52
"(0.9, 0.3)",1.5333333333333332
"(1.0, 0.3)",1.5066666666666666
"(0.0, 0.4)",1.7066666666666668
"(0.1, 0.4)",1.6133333333333333
"(0.2, 0.4)",1.6733333333333333
"(0.3, 0.4)",1.56
"(0.4, 0.4)",1.6400000000000001
"(0.5, 0.4)",1.56
"(0.6, 0.4)",1.6333333333333333
"(0.7, 0.4)",1.6533333333333333
"(0.8, 0.4)",1.6533333333333333
"(0.9, 0.4)",1.6266666666666667
"(1.0, 0.4)",1.7
"(0.0, 0.5)",1.6333333333333333
"(0.1, 0.5)",1.7266666666666668
"(0.2, 0.5)",1.7733333333333334
"(0.3, 0.5)",1.7
"(0.4, 0.5)",1.8066666666666666
"(0.5, 0.5)",1.6666666666666667
"(0.6, 0.5)",1.8733333333333333
"(0.7, 0.5)",1.82
"(0.8, 0.5)",1.8266666666666667
"(0.9, 0.5)",1.7733333333333334
"(1.0, 0.5)",1.86
"(0.0, 0.6)",1.82
"(0.1, 0.6)",1.8733333333333333
"(0.2, 0.6)",1.8533333333333333
"(0.3, 0.6)",2.0
"(0.4, 0.6)",1.8333333333333335
"(0.5, 0.6)",1.8800000000000001
"(0.6, 0.6)",2.0733333333333333
"(0.7, 0.6)",2.013333333333333
"(0.8, 0.6)",2.12
"(0.9, 0.6)",2.033333333333333
"(1.0, 0.6)",2.046666666666667
"(0.0, 0.7)",1.7933333333333334
"(0.1, 0.7)",1.9333333333333333
"(0.2, 0.7)",1.9600000000000002
"(0.3, 0.7)",1.8533333333333333
"(0.4, 0.7)",2.066666666666667
"(0.5, 0.7)",2.1933333333333334
"(0.6, 0.7)",2.2066666666666666
"(0.7, 0.7)",2.2533333333333334
"(0.8, 0.7)",2.42
"(0.9, 0.7)",2.566666666666667
"(1.0, 0.7)",2.453333333333333
"(0.0, 0.8)",1.8533333333333333
"(0.1, 0.8)",1.9266666666666667
"(0.2, 0.8)",2.0
"(0.3, 0.8)",2.04
"(0.4, 0.8)",2.04
"(0.5, 0.8)",2.38
"(0.6, 0.8)",2.6866666666666665
"(0.7, 0.8)",2.566666666666667
"(0.8, 0.8)",2.8133333333333335
"(0.9, 0.8)",2.6533333333333333
"(1.0, 0.8)",2.7866666666666666
"(0.0, 0.9)",1.9466666666666668
"(0.1, 0.9)",1.9733333333333334
"(0.2, 0.9)",2.1133333333333333
"(0.3, 0.9)",2.0733333333333333
"(0.4, 0.9)",2.2466666666666666
"(0.5, 0.9)",2.3466666666666667
"(0.6, 0.9)",2.6333333333333333
"(0.7, 0.9)",2.7533333333333334
"(0.8, 0.9)",3.1466666666666665
"(0.9, 0.9)",3.1933333333333334
"(1.0, 0.9)",3.0
"(0.0, 1.0)",1.96
"(0.1, 1.0)",2.086666666666667
"(0.2, 1.0)",2.106666666666667
"(0.3, 1.0)",2.08
"(0.4, 1.0)",2.3133333333333335
"(0.5, 1.0)",2.466666666666667
"(0.6, 1.0)",2.493333333333333
"(0.7, 1.0)",2.986666666666667
"(0.8, 1.0)",2.973333333333333
"(0.9, 1.0)",3.08
"(1.0, 1.0)",3.1266666666666665
