phi_men,phi_women
"(0.0, 0.0)",24
"(0.1, 0.0)",23.626
"(0.2, 0.0)",23.256
"(0.3, 0.0)",22.906
"(0.4, 0.0)",22.622
"(0.5, 0.0)",22.34
"(0.6, 0.0)",22.188
"(0.7, 0.0)",22.08
"(0.8, 0.0)",22.026
"(0.9, 0.0)",22.008
"(1.0, 0.0)",22.002
"(0.0, 0.1)",24
"(0.1, 0.1)",23.598
"(0.2, 0.1)",23.272
"(0.3, 0.1)",22.858
"(0.4, 0.1)",22.518
"(0.5, 0.1)",22.236
"(0.6, 0.1)",21.976
"(0.7, 0.1)",21.786
"(0.8, 0.1)",21.652
"(0.9, 0.1)",21.556
"(1.0, 0.1)",21.544
"(0.0, 0.2)",24
"(0.1, 0.2)",23.606
"(0.2, 0.2)",23.204
"(0.3, 0.2)",22.818
"(0.4, 0.2)",22.412
"(0.5, 0.2)",22.122
"(0.6, 0.2)",21.738
"(0.7, 0.2)",21.446
"(0.8, 0.2)",21.296
"(0.9, 0.2)",21.048
"(1.0, 0.2)",21.094
"(0.0, 0.3)",24
"(0.1, 0.3)",23.564
"(0.2, 0.3)",23.16
"(0.3, 0.3)",22.738
"(0.4, 0.3)",22.346
"(0.5, 0.3)",21.888
"(0.6, 0.3)",21.494
"(0.7, 0.3)",21.104
"(0.8, 0.3)",20.776
"(0.9, 0.3)",20.63
"(1.0, 0.3)",20.63
"(0.0, 0.4)",24
"(0.1, 0.4)",23.548
"(0.2, 0.4)",23.138
"(0.3, 0.4)",22.65
"(0.4, 0.4)",22.18
"(0.5, 0.4)",21.706
"(0.6, 0.4)",21.14
"(0.7, 0.4)",20.712
"(0.8, 0.4)",20.148
"(0.9, 0.4)",19.962
"(1.0, 0.4)",19.912
"(0.0, 0.5)",24
"(0.1, 0.5)",23.522
"(0.2, 0.5)",23.028
"(0.3, 0.5)",22.524
"(0.4, 0.5)",21.976
"(0.5, 0.5)",21.336
"(0.6, 0.5)",20.84
"(0.7, 0.5)",20.224
"(0.8, 0.5)",19.7
"(0.9, 0.5)",19.226
"(1.0, 0.5)",19.146
"(0.0, 0.6)",24
"(0.1, 0.6)",23.49
"(0.2, 0.6)",22.924
"(0.3, 0.6)",22.336
"(0.4, 0.6)",21.808
"(0.5, 0.6)",21.124
"(0.6, 0.6)",20.366
"(0.7, 0.6)",19.528
"(0.8, 0.6)",18.862
"(0.9, 0.6)",18.366
"(1.0, 0.6)",18.106
"(0.0, 0.7)",24
"(0.1, 0.7)",23.432
"(0.2, 0.7)",22.798
"(0.3, 0.7)",22.196
"(0.4, 0.7)",21.588
"(0.5, 0.7)",20.86
"(0.6, 0.7)",19.926
"(0.7, 0.7)",18.944
"(0.8, 0.7)",17.918
"(0.9, 0.7)",17.366
"(1.0, 0.7)",17.018
"(0.0, 0.8)",24
"(0.1, 0.8)",23.384
"(0.2, 0.8)",22.742
"(0.3, 0.8)",22.076
"(0.4, 0.8)",21.25
"(0.5, 0.8)",20.44
"(0.6, 0.8)",19.486
"(0.7, 0.8)",18.15
"(0.8, 0.8)",17.098
"(0.9, 0.8)",16.5
"(1.0, 0.8)",15.704
"(0.0, 0.9)",24
"(0.1, 0.9)",23.314
"(0.2, 0.9)",22.656
"(0.3, 0.9)",21.998
"(0.4, 0.9)",21.16
"(0.5, 0.9)",20.192
"(0.6, 0.9)",19.142
"(0.7, 0.9)",17.892
"(0.8, 0.9)",16.586
"(0.9, 0.9)",15.48
"(1.0, 0.9)",15.16
"(0.0, 1.0)",24
"(0.1, 1.0)",23.276
"(0.2, 1.0)",22.714
"(0.3, 1.0)",21.912
"(0.4, 1.0)",21.154
"(0.5, 1.0)",20.194
"(0.6, 1.0)",19.12
"(0.7, 1.0)",17.704
"(0.8, 1.0)",16.268
"(0.9, 1.0)",15.246
"(1.0, 1.0)",14.816
