phi_men,phi_women
"(0.0, 0.0)",0.8
"(0.1, 0.0)",0.8262666666666667
"(0.2, 0.0)",0.854
"(0.3, 0.0)",0.8765333333333334
"(0.4, 0.0)",0.9037333333333334
"(0.5, 0.0)",0.9247333333333333
"(0.6, 0.0)",0.9426
"(0.7, 0.0)",0.9628
"(0.8, 0.0)",0.9732
"(0.9, 0.0)",0.9832
"(1.0, 0.0)",0.9846
"(0.0, 0.1)",0.8245333333333333
"(0.1, 0.1)",0.8487333333333333
"(0.2, 0.1)",0.8768
"(0.3, 0.1)",0.9067333333333334
"(0.4, 0.1)",0.9334666666666667
"(0.5, 0.1)",0.9703333333333334
"(0.6, 0.1)",0.989
"(0.7, 0.1)",1.0163333333333333
"(0.8, 0.1)",1.0334666666666668
"(0.9, 0.1)",1.0511333333333333
"(1.0, 0.1)",1.0544666666666667
"(0.0, 0.2)",0.8449333333333333
"(0.1, 0.2)",0.8745333333333334
"(0.2, 0.2)",0.9001333333333333
"(0.3, 0.2)",0.9353333333333333
"(0.4, 0.2)",0.9694
"(0.5, 0.2)",1.0092666666666668
"(0.6, 0.2)",1.0403333333333333
"(0.7, 0.2)",1.0766666666666667
"(0.8, 0.2)",1.0989333333333333
"(0.9, 0.2)",1.13
"(1.0, 0.2)",1.1352666666666666
"(0.0, 0.3)",0.8713333333333334
"(0.1, 0.3)",0.9014666666666666
"(0.2, 0.3)",0.9274666666666667
"(0.3, 0.3)",0.9638666666666666
"(0.4, 0.3)",1.0152
"(0.5, 0.3)",1.0473999999999999
"(0.6, 0.3)",1.0913333333333333
"(0.7, 0.3)",1.1380666666666666
"(0.8, 0.3)",1.1772
"(0.9, 0.3)",1.201
"(1.0, 0.3)",1.2092
"(0.0, 0.4)",0.8913333333333333
"(0.1, 0.4)",0.9174666666666667
"(0.2, 0.4)",0.9514666666666667
"(0.3, 0.4)",0.9928
"(0.4, 0.4)",1.0328
"(0.5, 0.4)",1.0906666666666667
"(0.6, 0.4)",1.1416666666666666
"(0.7, 0.4)",1.1784666666666666
"(0.8, 0.4)",1.2536
"(0.9, 0.4)",1.2854666666666665
"(1.0, 0.4)",1.2924
"(0.0, 0.5)",0.9089333333333334
"(0.1, 0.5)",0.9350666666666667
"(0.2, 0.5)",0.9741333333333333
"(0.3, 0.5)",1.0152
"(0.4, 0.5)",1.0685333333333333
"(0.5, 0.5)",1.1356666666666666
"(0.6, 0.5)",1.1985999999999999
"(0.7, 0.5)",1.2746666666666666
"(0.8, 0.5)",1.324
"(0.9, 0.5)",1.3771333333333333
"(1.0, 0.5)",1.3868
"(0.0, 0.6)",0.92
"(0.1, 0.6)",0.9437333333333333
"(0.2, 0.6)",0.9854666666666667
"(0.3, 0.6)",1.0427333333333333
"(0.4, 0.6)",1.101
"(0.5, 0.6)",1.1697333333333333
"(0.6, 0.6)",1.2450666666666665
"(0.7, 0.6)",1.3416
"(0.8, 0.6)",1.4346666666666668
"(0.9, 0.6)",1.473
"(1.0, 0.6)",1.5035333333333334
"(0.0, 0.7)",0.9288000000000001
"(0.1, 0.7)",0.9601333333333334
"(0.2, 0.7)",1.0014
"(0.3, 0.7)",1.0576666666666668
"(0.4, 0.7)",1.1208666666666667
"(0.5, 0.7)",1.2218666666666667
"(0.6, 0.7)",1.3146666666666667
"(0.7, 0.7)",1.4148666666666667
"(0.8, 0.7)",1.5209333333333332
"(0.9, 0.7)",1.6014
"(1.0, 0.7)",1.6156666666666666
"(0.0, 0.8)",0.9316
"(0.1, 0.8)",0.964
"(0.2, 0.8)",1.012
"(0.3, 0.8)",1.0695999999999999
"(0.4, 0.8)",1.1523333333333332
"(0.5, 0.8)",1.2375333333333334
"(0.6, 0.8)",1.3608
"(0.7, 0.8)",1.4986
"(0.8, 0.8)",1.6127333333333334
"(0.9, 0.8)",1.7048
"(1.0, 0.8)",1.7388000000000001
"(0.0, 0.9)",0.9330666666666667
"(0.1, 0.9)",0.9690666666666666
"(0.2, 0.9)",1.016
"(0.3, 0.9)",1.0712
"(0.4, 0.9)",1.1481333333333332
"(0.5, 0.9)",1.2611333333333332
"(0.6, 0.9)",1.3726
"(0.7, 0.9)",1.5332666666666668
"(0.8, 0.9)",1.7003333333333333
"(0.9, 0.9)",1.7988
"(1.0, 0.9)",1.8410666666666666
"(0.0, 1.0)",0.9330666666666667
"(0.1, 1.0)",0.9684666666666667
"(0.2, 1.0)",1.0115333333333334
"(0.3, 1.0)",1.0854
"(0.4, 1.0)",1.1596666666666666
"(0.5, 1.0)",1.2542
"(0.6, 1.0)",1.3907333333333334
"(0.7, 1.0)",1.5572
"(0.8, 1.0)",1.7174666666666667
"(0.9, 1.0)",1.8257333333333334
"(1.0, 1.0)",1.8830666666666667
