phi_men,phi_women
"(0.0, 0.0)",54
"(0.1, 0.0)",53.606
"(0.2, 0.0)",53.19
"(0.3, 0.0)",52.852
"(0.4, 0.0)",52.444
"(0.5, 0.0)",52.129
"(0.6, 0.0)",51.861
"(0.7, 0.0)",51.558
"(0.8, 0.0)",51.402
"(0.9, 0.0)",51.252
"(1.0, 0.0)",51.231
"(0.0, 0.1)",54
"(0.1, 0.1)",53.635
"(0.2, 0.1)",53.208
"(0.3, 0.1)",52.799
"(0.4, 0.1)",52.436
"(0.5, 0.1)",51.979
"(0.6, 0.1)",51.665
"(0.7, 0.1)",51.321
"(0.8, 0.1)",51.088
"(0.9, 0.1)",50.909
"(1.0, 0.1)",50.829
"(0.0, 0.2)",54
"(0.1, 0.2)",53.63
"(0.2, 0.2)",53.238
"(0.3, 0.2)",52.768
"(0.4, 0.2)",52.333
"(0.5, 0.2)",51.831
"(0.6, 0.2)",51.415
"(0.7, 0.2)",51.026
"(0.8, 0.2)",50.754
"(0.9, 0.2)",50.39
"(1.0, 0.2)",50.343
"(0.0, 0.3)",54
"(0.1, 0.3)",53.634
"(0.2, 0.3)",53.254
"(0.3, 0.3)",52.82
"(0.4, 0.3)",52.202
"(0.5, 0.3)",51.739
"(0.6, 0.3)",51.262
"(0.7, 0.3)",50.725
"(0.8, 0.3)",50.308
"(0.9, 0.3)",50.091
"(1.0, 0.3)",49.93
"(0.0, 0.4)",54
"(0.1, 0.4)",53.716
"(0.2, 0.4)",53.3
"(0.3, 0.4)",52.77
"(0.4, 0.4)",52.29
"(0.5, 0.4)",51.678
"(0.6, 0.4)",51.097
"(0.7, 0.4)",50.637
"(0.8, 0.4)",49.876
"(0.9, 0.4)",49.564
"(1.0, 0.4)",49.494
"(0.0, 0.5)",54
"(0.1, 0.5)",53.692
"(0.2, 0.5)",53.294
"(0.3, 0.5)",52.844
"(0.4, 0.5)",52.266
"(0.5, 0.5)",51.567
"(0.6, 0.5)",50.907
"(0.7, 0.5)",50.156
"(0.8, 0.5)",49.646
"(0.9, 0.5)",49.097
"(1.0, 0.5)",48.982
"(0.0, 0.6)",54
"(0.1, 0.6)",53.81
"(0.2, 0.6)",53.418
"(0.3, 0.6)",52.899
"(0.4, 0.6)",52.307
"(0.5, 0.6)",51.618
"(0.6, 0.6)",50.898
"(0.7, 0.6)",49.952
"(0.8, 0.6)",49.092
"(0.9, 0.6)",48.643
"(1.0, 0.6)",48.403
"(0.0, 0.7)",54
"(0.1, 0.7)",53.816
"(0.2, 0.7)",53.499
"(0.3, 0.7)",53.081
"(0.4, 0.7)",52.435
"(0.5, 0.7)",51.59
"(0.6, 0.7)",50.738
"(0.7, 0.7)",49.833
"(0.8, 0.7)",48.884
"(0.9, 0.7)",48.169
"(1.0, 0.7)",47.919
"(0.0, 0.8)",54
"(0.1, 0.8)",53.898
"(0.2, 0.8)",53.644
"(0.3, 0.8)",53.124
"(0.4, 0.8)",52.497
"(0.5, 0.8)",51.813
"(0.6, 0.8)",50.78
"(0.7, 0.8)",49.619
"(0.8, 0.8)",48.633
"(0.9, 0.8)",47.814
"(1.0, 0.8)",47.5
"(0.0, 0.9)",54
"(0.1, 0.9)",53.904
"(0.2, 0.9)",53.628
"(0.3, 0.9)",53.35
"(0.4, 0.9)",52.726
"(0.5, 0.9)",51.921
"(0.6, 0.9)",50.987
"(0.7, 0.9)",49.697
"(0.8, 0.9)",48.249
"(0.9, 0.9)",47.462
"(1.0, 0.9)",47.13
"(0.0, 1.0)",54
"(0.1, 1.0)",53.913
"(0.2, 1.0)",53.757
"(0.3, 1.0)",53.271
"(0.4, 1.0)",52.711
"(0.5, 1.0)",52.031
"(0.6, 1.0)",50.901
"(0.7, 1.0)",49.538
"(0.8, 1.0)",48.256
"(0.9, 1.0)",47.406
"(1.0, 1.0)",46.98
