dispersion,mean,stddev
0.0,37.811,7.393371419111915
0.05,38.121,7.535724659655908
0.1,38.075,7.247613600551764
0.15,38.381,7.5545290991503835
0.2,38.066,7.597194308516886
0.25,38.673,7.2722043395352935
0.3,38.269,7.003691218970943
0.35,38.373,7.620232210302973
0.4,38.457,7.611970381779812
0.45,38.556,7.7857229260667555
0.5,38.689,7.680056136660869
0.55,38.728,7.896478352428402
0.6,39.42,8.009728819114649
0.65,39.991,8.682067570417619
0.7,40.405,9.262870817180588
0.75,40.243,8.90636144978825
0.8,40.904,9.690959637657082
0.85,41.306,10.30371440454997
0.9,42.012,10.490658221003576
0.95,42.248,10.77927125035309
1.0,42.172,10.970175967629725
