dispersion,mean,stddev
0.0,120,0.0
0.05,119.56,1.2385208653607471
0.1,119.252,1.940170162707452
0.15,118.718,2.454077932441938
0.2,118.103,3.0603523909440162
0.25,117.197,3.83965284028829
0.3,115.925,4.256464788118479
0.35,114.479,5.151514058711002
0.4,112.941,6.099075152653697
0.45,110.389,6.898497537019802
0.5,107.705,7.844584916521238
0.55,103.273,9.044350240413696
0.6,98.519,10.245418859549257
0.65,92.518,11.341883190824808
0.7,84.354,12.904930112992524
0.75,75.016,13.364218882761024
0.8,66.233,14.191691763673388
0.85,56.812,13.562765374532017
0.9,49.917,12.878818850149845
0.95,43.606,11.009812894867014
1.0,41.584,10.478393996254423
