dispersion,mean,stddev
0.0,55,0.0
0.05,54.067,0.9774796501546549
0.1,53.102,1.3948267066347495
0.15,51.986,1.8190967849768502
0.2,50.837,2.0495442497373975
0.25,49.504,2.5048469530608566
0.3,48.045,2.8543164018941773
0.35,46.506,3.3158647377356876
0.4,44.648,3.599590678542916
0.45,42.657,3.9424477033809713
0.5,40.688,4.212172645844232
0.55,37.958,4.67247986277823
0.6,35.795,4.9791331340672915
0.65,33.197,5.060810488726366
0.7,30.565,5.1400578980392035
0.75,28.122,5.1965488663265855
0.8,26.305,5.085453454396848
0.85,24.637,4.736841634324359
0.9,23.222,4.541953912728017
0.95,22.96,4.485367155375189
1.0,22.155,4.457672693889251
