dispersion,mean,stddev
0.0,325,0.0
0.05,322.52,1.5362161175954248
0.1,319.853,2.358591519096504
0.15,317.01,3.06550114945294
0.2,313.329,3.7057376447195356
0.25,309.656,4.504881569803801
0.3,304.833,5.178409690911576
0.35,299.574,5.9623882860875534
0.4,292.917,7.001080354211493
0.45,285.682,7.922603337517513
0.5,276.384,8.903134830485822
0.55,265.34,10.24193816117327
0.6,251.94,11.3841116472915
0.65,235.479,12.932858068416966
0.7,214.438,15.20932212425917
0.75,189.892,15.846496377668077
0.8,159.994,17.131826039960348
0.85,131.338,16.657828166938188
0.9,101.596,15.656113754629464
0.95,82.61,13.793192239367656
1.0,74.048,12.410790616383942
