dispersion,init_mean,init_stdev,top_swap_mean,top_swap_stdev,bottom_swap_mean,bottom_swap_stdev
0.0,120,0.0,120,0.0,120,0.0
0.1,120,0.0,107.75,10.734043831180166,109.35,6.979587843465147
0.2,120,0.0,92.96,15.475572148820001,102.66,6.609176357248467
0.3,120,0.0,82.27,14.694089377238136,101.08,5.404225806316439
0.4,120,0.0,77.66,16.362200834900424,99.48,3.828336664422503
0.5,120,0.0,65.12,15.359845327504067,98.56,3.774770044504551
0.6,120,0.0,59.34,14.760183952208397,98.76,3.77691017963765
0.7,120,0.0,52.6,11.95614883436531,98.2,3.4641016151377544
0.8,120,0.0,51.87,13.480741969209411,98,3.0616559855309307
0.9,120,0.0,47.66,13.828838262007682,97.26,3.096495249194293
1.0,120,0.0,50.03,11.94131695019651,96.85,3.0096645673697275
