dispersion,mean,stddev
2,0.663,16.30574464133142
3,-0.835,22.07498765752951
4,0.146,24.833513391934442
5,-1.129,25.93667422916959
6,0.428,27.77632697712821
7,-1.673,27.970527728690094
8,0.472,30.38810051076988
9,0.065,28.963488371718256
10,-0.408,29.4002706095014
11,-0.557,30.57675078697357
12,-0.891,29.95540761607903
13,-0.9,30.837622459569722
14,-0.472,30.55792864385613
15,1.02,30.439450720408214
16,0.736,30.76648957682499
17,-0.811,29.505556372603056
18,-1.041,29.159348185214746
19,-0.461,31.50754202098609
20,0.638,30.219168654252456
21,0.636,30.22845122170938
22,-0.721,30.12525003530576
23,1.309,29.585246421245266
24,-0.284,29.186730019123573
25,-0.345,29.7778221784887
