dispersion,mean,stddev
2,-0.182,2.104693676272603
3,-0.324,3.352835667614513
4,-0.594,3.8123788459346297
5,-0.792,4.806968888998513
6,-1.858,5.431836309332486
7,-2.78,6.146149225376911
8,-3.968,6.977703970892633
9,-4.702,7.672739919725645
10,-6.726,8.119283807028681
11,-7.942,8.845287684889447
12,-9.528,9.577717962162254
13,-10.242,9.814891756937557
14,-13.146,10.77612796266523
15,-15.326,11.307849438236948
16,-16.116,11.599467198046517
17,-19.198,11.591700956379277
18,-19.986,12.18633733470687
19,-21.824,12.331957604399776
20,-24.406,12.830370251929724
21,-26.892,13.42030346490646
22,-27.694,13.655816586836051
23,-30.08,13.605875189761175
24,-31.062,13.707587384503796
25,-30.602,14.105229917376182
