dispersion,mean,stddev
2,-0.026,2.5819870864567194
3,0.176,4.1273592269605945
4,0.7,5.40855849649609
5,1.228,7.021297118513994
6,1.694,8.481050668453866
7,2.522,9.998873483642233
8,4.056,11.465066921699066
9,5.946,13.668677679241616
10,7.328,15.440506289268429
11,11.33,17.652657949026562
12,13.608,19.913901248270054
13,19.524,21.93745490834594
14,24.864,23.80063958993076
15,33.044,26.100124463189598
16,44.604,28.118472237337574
17,57.492,33.05375981754802
18,73.134,37.64984815550077
19,96.58,41.38057883366566
20,126.118,51.26179492798196
21,167.396,49.42976620999891
22,195.4,42.08379845242548
23,220.174,28.101300506922463
24,223.138,25.377687247265857
25,223.878,23.548677168639124
