dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,114.368,3.612426556433449,110.093,5.17079182409117
1,114.227,3.7690418778088253,109.481,5.0964313605318585
2,114.105,3.637197300697916,109.118,5.1632097318174806
3,114.245,3.589688128634695,109.192,5.08773240462006
4,114.345,3.7153436959154638,109.379,5.110330172745639
5,114.321,3.582288624858666,109.119,5.09045692956455
6,114.304,3.6966537908288424,109.266,5.395957779705134
7,114.438,3.5853885439392776,108.966,5.121628166420819
8,114.331,3.6601688261384657,108.625,5.084705422070115
9,114.282,3.734222866999293,108.143,4.596267689841039
10,113.974,3.8382360604913366,109.002,3.784219380046077
