dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,107.059,8.007348914380879,105.934,9.03334075772885
1,107.235,7.908623225399053,105.462,9.347402309194246
2,107.329,8.245286152932701,104.911,9.7619862413023
3,107.167,7.616766119957086,104.16,9.12072297504905
4,107.185,7.806517579351033,104.04,9.217340145582094
5,107.18,7.7663322048387755,103.176,9.400180178453358
6,107.209,7.985805663306119,102.612,9.041637418477208
7,107.421,7.785523320456588,102.55,8.886983654676005
8,107.032,7.638148814818766,102.031,7.882396283565751
9,106.598,7.807134387683316,102.257,7.785471377159161
10,107.201,7.964925551380818,103.391,7.186080903994803
