dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,189.414,16.59063296575537,181.726,17.979250008321355
1,190.698,16.398066629281534,182.872,17.050779282727714
2,190.016,16.16596489052489,184.256,16.176582693984244
3,190.512,16.810563526907252,185.788,16.926786114804923
4,191.76,17.311781987744137,186.578,17.184601743251086
5,190.182,15.994139583047412,186.618,16.286269097686077
6,191.356,16.119085390544196,186.456,16.373277999989185
7,191.076,15.7821537425507,186.564,16.167891186262406
8,189.684,16.972338216317105,185.718,16.824762145197923
9,190.246,16.73228683849555,186.282,16.76067769015521
10,190.88,16.200942598570133,187.158,16.235893707738356
11,190.926,17.53086382277683,188.2,16.56516856597718
12,190.874,16.74667208886901,188.134,16.944564926876176
13,189.216,16.810786688855355,187.014,15.971222994118381
14,189.84,17.449107217430086,188.188,16.814699647882414
15,190.936,16.54495012834729,188.968,16.120008851447366
16,189.864,16.321221416826443,188.36,16.05047149682965
17,190.672,16.168712705131544,189.688,15.85968837748276
18,191.136,16.40596890254466,189.644,15.954132150177603
19,189.716,16.18787938173977,188.358,15.727445472236244
