dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,97.74,6.991085414674554,98.165,6.999197365681566
1,97.66,7.0760490720790274,98.394,7.083850996805689
2,97.505,6.911131509292725,98.473,7.090242770352969
3,97.634,6.785431901219412,98.131,6.897783587386489
4,97.599,6.833805667408161,98.438,6.788242499810702
5,97.769,6.870869511775627,98.487,6.9506937166834755
6,97.418,7.109840070340952,98.5,7.1399565110005385
7,97.688,6.969736955813557,98.592,6.864448751112988
8,97.501,7.032030179716839,98.147,7.096178319824464
9,97.273,7.100626020985043,97.87,7.091783512868494
10,97.45,6.861820792223051,98.129,6.874999972699972
