dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,313.604,4.820129801427054,305.324,6.39537533310615
1,313.124,4.532296042275886,304.252,6.141003162324488
2,313.644,4.656245832266698,304.856,6.292730800045692
3,313.33,5.117565725803219,303.916,6.6375491046193
4,313.484,4.940299293993073,304.094,6.595769276186773
5,313.724,5.0125917599885,304.706,5.940888174726841
6,313.718,4.983587893936775,304.744,6.721072058774439
7,313.912,4.509648529510857,304.834,6.389373379633462
8,313.874,5.037944597903304,304.59,6.861783160102958
9,314.056,4.90969185879283,304.54,6.861089497900198
10,313.73,4.595578165732219,304.748,6.176470965460321
11,313.608,4.782476362756082,304.196,6.449867097168924
12,314.396,4.600163802956158,305.126,6.263272400456861
13,313.788,4.54360481219249,304.646,6.271790391062096
14,313.892,4.9809593364956966,304.556,6.498871799730987
15,313.926,4.634596310999682,304.188,6.337901386734883
16,314.06,4.666471033212101,304.422,6.564304699843295
17,314.012,4.915707921422658,304.206,6.0049715541985265
18,313.684,4.7977265825306725,304.304,5.902649111463948
19,313.872,4.577939608833241,305.78,5.1746646566340155
