dispersion,mean,stddev
0,0.828,6.584613144332858
1,1.094,6.933780977019288
2,1.942,7.215452967281132
3,1.308,7.233656583993347
4,1.998,8.366959305269273
5,2.156,7.398455127697479
6,2.616,7.433104741101417
7,2.132,7.63223939327853
8,2.556,7.859415042458264
9,2.97,8.300777422122776
10,3.81,8.144603682087702
11,4.23,8.512227442453833
12,4.258,8.374945697188831
13,5.588,8.817354903540517
14,6.21,9.05239148419722
15,6.626,9.495390929171668
16,8.406,9.272384711414478
17,8.258,8.541038266471979
18,7.444,8.310776257607229
19,6.63,7.6635867009021625
