dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,309.342,10.904993064990688,308.284,11.51349056237333
1,308.218,10.997653056243,306.848,12.569521938543527
2,309.432,10.91088772474008,308.19,12.24097966530182
3,309.092,10.603603576974917,307.664,12.27225817204326
4,309.692,11.935243444192677,307.396,13.054502060519052
5,308.496,10.487227846089336,306.53,11.85504889777927
6,308.958,11.125096473428272,306.314,13.023772160267743
7,308.206,10.136323500570432,305.938,11.884301799370338
8,308.426,11.113574901632164,304.952,13.271245152426037
9,308.748,11.034673717337373,305.544,12.687553429406636
10,309.218,10.483046528994237,306.038,12.272970610868033
11,308.468,11.353889095600255,304.75,12.879412196099404
12,309.334,11.34583182493021,304.416,13.212421434404847
13,309.766,10.753162558522959,304.666,12.08231802336105
14,308.74,11.83945714511362,302.314,13.493091975604562
15,308.616,11.130152946353363,302.058,12.777368990392086
16,308.762,11.1483598729011,300.758,12.095952220484358
17,308.494,10.993437831301971,299.876,11.787557721346188
18,308.63,10.555944103291928,300.204,10.450109740436908
19,308.48,11.32245538706088,301.566,10.9334681346269
