dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,62.942,8.966796690333261,63.138,8.979767728450097
1,61.94,9.176099476531759,62.178,9.133737807308973
2,62.034,8.557295051428015,62.208,8.661800596825023
3,62.9,8.95580330431901,62.842,9.213403802028786
4,62.562,8.845260497381243,63.332,9.279979096099737
5,62.19,9.029116784038159,62.584,9.10212289977262
6,61.742,9.15286763653577,62.604,9.664677748998358
7,62.062,8.951111707581534,63.016,8.905411653226754
8,62.202,8.686778242390266,63.524,9.14903457569894
9,62.62,8.81834033435459,63.648,9.918308408361112
10,62.268,8.899583201606951,63.388,9.476764962174412
