dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,38.2,7.292898788924126,38.23,7.487671898589164
1,38.384,7.45168431956137,37.918,7.352236855103833
2,38.508,7.330580524190651,38.788,7.453735462483853
3,38.43,7.322591117996602,38.084,7.164887663492075
4,38.382,7.540676335661039,38.106,7.442145864610574
5,38.286,7.502317878302291,38.396,7.4652960618170505
6,38.272,7.2784591731953645,38.562,7.455556763468883
7,38.524,7.066349169207698,38.804,7.396959782779416
8,38.198,7.45102889964377,38.95,7.899893457083237
9,37.974,7.297934206840642,38.848,7.868463728256347
10,38.144,6.9636375908711665,38.96,7.555433087406477
