dispersion,mean,stddev
0.0,26.5,5.099608416928304
0.05,26.29,4.942704758563911
0.1,26.438,4.874619771625056
0.15,26.208,5.211707771728754
0.2,26.292,4.987947034163015
0.25,26.38,5.099372863755268
0.3,26.273,5.213794650219229
0.35,26.681,5.36787230223047
0.4,26.922,5.357108792493822
0.45,26.759,5.304437392981093
0.5,27.286,5.95194334899364
0.55,27.328,5.78964039780848
0.6,27.259,5.918694953277281
0.65,27.894,6.100982378763766
0.7,28.05,6.202900609874059
0.75,28.495,6.3354647116934615
0.8,28.823,6.761759563337963
0.85,29.013,6.873869440212047
0.9,29.335,6.7966881618895805
0.95,29.468,7.163399352981117
1.0,29.368,7.116123608764481
