dispersion,mean,stddev
0.0,26.527,5.037325247157031
0.05,26.131,4.993874025020833
0.1,26.496,5.145722734705249
0.15,26.077,4.78413617688282
0.2,26.441,5.036058069649404
0.25,26.249,5.069190832440193
0.3,26.367,5.045965990053121
0.35,26.543,5.439461254456983
0.4,26.773,5.356506619352128
0.45,26.757,5.62561984127959
0.5,27.143,5.609814704695782
0.55,27.535,5.796583077587639
0.6,27.709,6.0301477329897715
0.65,27.73,5.9894050600183135
0.7,28.366,6.620413421673444
0.75,28.456,6.564232868595778
0.8,28.865,6.762137347133782
0.85,28.865,7.040194552662543
0.9,29.136,7.3283838060795645
0.95,29.369,7.332162000365213
1.0,29.238,7.211057852725587
