dispersion,mean,stddev
0.0,120,0.0
0.05,119.4,1.2789197143040822
0.1,118.72,1.8441803059899
0.15,117.955,2.403487414519109
0.2,116.905,3.02442095650095
0.25,115.699,3.761721620421898
0.3,114.146,4.28287602284108
0.35,112.015,5.087893637023249
0.4,109.652,5.888766727726067
0.45,106.673,6.560877694037294
0.5,102.611,7.432154190806049
0.55,97.69,8.43487089688082
0.6,91.668,9.067965814007241
0.65,85.016,10.620383069199365
0.7,77.567,11.53371308545247
0.75,69.642,11.732070468484132
0.8,60.264,11.923861894641453
0.85,52.399,11.252662859137894
0.9,46.341,10.099837905913427
0.95,41.764,9.61179955527011
1.0,40.669,9.224127249963734
