dispersion,mean,stddev
0.0,38.212,6.935355445480438
0.05,37.831,7.152733785106265
0.1,37.64,7.377046890241434
0.15,38.315,7.376190289247098
0.2,38.453,7.140082056375246
0.25,38.232,7.459478521975904
0.3,38.423,7.4605449352396995
0.35,38.303,7.448938023482118
0.4,38.712,7.487530909393238
0.45,38.8,7.571084553835158
0.5,39.115,8.197620140990676
0.55,39.206,8.014973724461223
0.6,39.646,8.859298571059176
0.65,40.043,8.341866561971472
0.7,39.949,8.647842747424596
0.75,40.177,9.581830852320579
0.8,41.166,9.873496337667317
0.85,41.332,10.287351729459123
0.9,41.754,10.753284015458586
0.95,42.117,10.85749493189825
1.0,41.512,10.453953373778798
