phi_sui,phi_rev
"(0.05, 0.05)",-0.0849460559419359
"(0.05, 0.1)",-0.10810189608801811
"(0.05, 0.15)",-0.09431853302730106
"(0.05, 0.2)",-0.08880322639693035
"(0.05, 0.25)",-0.04139058383574329
"(0.05, 0.3)",-0.11763771836482029
"(0.05, 0.35)",-0.10031545192696406
"(0.05, 0.4)",-0.038086878684155
"(0.05, 0.45)",-0.09963382297471327
"(0.05, 0.5)",-0.048643047488855125
"(0.05, 0.55)",-0.1521124970964989
"(0.05, 0.6)",-0.04405578698545989
"(0.05, 0.65)",-0.1123081404880412
"(0.05, 0.7)",-0.10143122267610168
"(0.05, 0.75)",-0.10609296690281705
"(0.05, 0.8)",-0.10342189299460032
"(0.05, 0.85)",-0.0499448544994873
"(0.05, 0.9)",-0.07624273040553183
"(0.05, 0.95)",-0.004950861758437667
"(0.05, 1.0)",-0.07445942458196464
"(0.1, 0.05)",-0.04805125985715772
"(0.1, 0.1)",-0.11196582816335252
"(0.1, 0.15)",-0.09845413581157393
"(0.1, 0.2)",-0.14025134982012732
"(0.1, 0.25)",-0.11940209046253858
"(0.1, 0.3)",-0.21146593767113964
"(0.1, 0.35)",-0.17279645170891442
"(0.1, 0.4)",-0.15130907018618833
"(0.1, 0.45)",-0.15765865170782564
"(0.1, 0.5)",-0.16425006250595722
"(0.1, 0.55)",-0.11517218434077571
"(0.1, 0.6)",-0.15201515034639004
"(0.1, 0.65)",-0.05121595404865193
"(0.1, 0.7)",-0.13886770948726657
"(0.1, 0.75)",-0.10420579907979984
"(0.1, 0.8)",-0.08122412461475459
"(0.1, 0.85)",-0.13576518211750527
"(0.1, 0.9)",-0.1215303693001825
"(0.1, 0.95)",-0.127614615313324
"(0.1, 1.0)",-0.10601354723551189
"(0.15, 0.05)",-0.08711648723412271
"(0.15, 0.1)",-0.10234230865202149
"(0.15, 0.15)",-0.10227266959456154
"(0.15, 0.2)",-0.2136598874526216
"(0.15, 0.25)",-0.1534659340809748
"(0.15, 0.3)",-0.15723518999518368
"(0.15, 0.35)",-0.13573422220945072
"(0.15, 0.4)",-0.20854106824794624
"(0.15, 0.45)",-0.15759921593968093
"(0.15, 0.5)",-0.22475988516327944
"(0.15, 0.55)",-0.19346261384776298
"(0.15, 0.6)",-0.20831296476858757
"(0.15, 0.65)",-0.21360567524116542
"(0.15, 0.7)",-0.12294457834604507
"(0.15, 0.75)",-0.13169592231020646
"(0.15, 0.8)",-0.17354902350119586
"(0.15, 0.85)",-0.15974457306603276
"(0.15, 0.9)",-0.13534457226111798
"(0.15, 0.95)",-0.14707465813477058
"(0.15, 1.0)",-0.09856221267320715
"(0.2, 0.05)",-0.12426416268974272
"(0.2, 0.1)",-0.07973509394907359
"(0.2, 0.15)",-0.10891479628066342
"(0.2, 0.2)",-0.1658186700538991
"(0.2, 0.25)",-0.1849962055497503
"(0.2, 0.3)",-0.18645741998717258
"(0.2, 0.35)",-0.19490938100834332
"(0.2, 0.4)",-0.25628690842525054
"(0.2, 0.45)",-0.17467220041331502
"(0.2, 0.5)",-0.2418634109743096
"(0.2, 0.55)",-0.14585308308346479
"(0.2, 0.6)",-0.16432958571090928
"(0.2, 0.65)",-0.13877934148382043
"(0.2, 0.7)",-0.20988598259647528
"(0.2, 0.75)",-0.14461456133081474
"(0.2, 0.8)",-0.17693436595570983
"(0.2, 0.85)",-0.11620831070802004
"(0.2, 0.9)",-0.14583583875371375
"(0.2, 0.95)",-0.17225914107206086
"(0.2, 1.0)",-0.14937977810128644
"(0.25, 0.05)",-0.07739003099076572
"(0.25, 0.1)",-0.10710088992182286
"(0.25, 0.15)",-0.10537476927293685
"(0.25, 0.2)",-0.1799203902385391
"(0.25, 0.25)",-0.16698372515777543
"(0.25, 0.3)",-0.17072153946131768
"(0.25, 0.35)",-0.23772552794627114
"(0.25, 0.4)",-0.15594544813719755
"(0.25, 0.45)",-0.198433731534709
"(0.25, 0.5)",-0.2543637249680212
"(0.25, 0.55)",-0.2628000585754215
"(0.25, 0.6)",-0.24580073524732002
"(0.25, 0.65)",-0.2697206782868561
"(0.25, 0.7)",-0.23873877077723757
"(0.25, 0.75)",-0.14935822414610112
"(0.25, 0.8)",-0.22922048143405424
"(0.25, 0.85)",-0.17215370119631973
"(0.25, 0.9)",-0.1695969857253036
"(0.25, 0.95)",-0.20241526865492013
"(0.25, 1.0)",-0.20800173395304022
"(0.3, 0.05)",-0.08963686367838543
"(0.3, 0.1)",-0.14826529354533402
"(0.3, 0.15)",-0.10135738306857214
"(0.3, 0.2)",-0.1479072521210526
"(0.3, 0.25)",-0.21537723963003916
"(0.3, 0.3)",-0.22371171121401956
"(0.3, 0.35)",-0.21338251536443212
"(0.3, 0.4)",-0.22679056336400094
"(0.3, 0.45)",-0.26833231486676434
"(0.3, 0.5)",-0.23033796347049956
"(0.3, 0.55)",-0.23925923361317075
"(0.3, 0.6)",-0.23850951427853392
"(0.3, 0.65)",-0.22142760905753678
"(0.3, 0.7)",-0.2240342326388606
"(0.3, 0.75)",-0.25287454479983046
"(0.3, 0.8)",-0.21276354847096107
"(0.3, 0.85)",-0.22362566825522875
"(0.3, 0.9)",-0.1861209820085004
"(0.3, 0.95)",-0.23337760464663437
"(0.3, 1.0)",-0.1682773141148801
"(0.35, 0.05)",-0.07358762343812955
"(0.35, 0.1)",-0.07201633686164044
"(0.35, 0.15)",-0.19297195580246898
"(0.35, 0.2)",-0.20710148147232615
"(0.35, 0.25)",-0.22025924021138654
"(0.35, 0.3)",-0.25331829759953844
"(0.35, 0.35)",-0.20100059271892065
"(0.35, 0.4)",-0.26837005187377816
"(0.35, 0.45)",-0.2466721867677729
"(0.35, 0.5)",-0.2947524135318818
