phi_sui,phi_rev
"(0.05, 0.05)",0.009796992866451257
"(0.05, 0.1)",-0.12268486438021207
"(0.05, 0.15)",-0.05144858666034332
"(0.05, 0.2)",-0.12964287766863553
"(0.05, 0.25)",-0.0840947299404577
"(0.05, 0.3)",-0.18286341942379214
"(0.05, 0.35)",-0.08899996811043655
"(0.05, 0.4)",-0.12753768888767866
"(0.05, 0.45)",-0.08482730180119355
"(0.05, 0.5)",-0.17649415962172654
"(0.05, 0.55)",-0.10507349400653375
"(0.05, 0.6)",-0.13579725892527075
"(0.05, 0.65)",-0.09735974648665123
"(0.05, 0.7)",-0.11317886472302675
"(0.05, 0.75)",-0.12712244881056187
"(0.05, 0.8)",-0.1282977485014437
"(0.05, 0.85)",-0.15947166778166477
"(0.05, 0.9)",-0.11903136288365482
"(0.05, 0.95)",-0.15586881888442308
"(0.05, 1.0)",-0.1671875155792794
"(0.1, 0.05)",-0.08790703087951757
"(0.1, 0.1)",-0.12024556552201388
"(0.1, 0.15)",-0.13506667383034524
"(0.1, 0.2)",-0.11718008710407345
"(0.1, 0.25)",-0.11817127445416799
"(0.1, 0.3)",-0.17132941788427503
"(0.1, 0.35)",-0.18519850235155777
"(0.1, 0.4)",-0.1693061397873289
"(0.1, 0.45)",-0.1174045804427476
"(0.1, 0.5)",-0.13633710927531265
"(0.1, 0.55)",-0.15259202254030135
"(0.1, 0.6)",-0.10325957833201141
"(0.1, 0.65)",-0.1492548240842198
"(0.1, 0.7)",-0.14472740276943305
"(0.1, 0.75)",-0.19852878256540765
"(0.1, 0.8)",-0.22303138249909768
"(0.1, 0.85)",-0.1617610849964347
"(0.1, 0.9)",-0.19777915541902402
"(0.1, 0.95)",-0.21928095822733776
"(0.1, 1.0)",-0.20329035221877045
"(0.15, 0.05)",-0.0559905489802583
"(0.15, 0.1)",-0.1075737512022558
"(0.15, 0.15)",-0.19131472655551734
"(0.15, 0.2)",-0.15544236224661498
"(0.15, 0.25)",-0.20092210535473842
"(0.15, 0.3)",-0.11430324289881794
"(0.15, 0.35)",-0.215308942425373
"(0.15, 0.4)",-0.19434407766925196
"(0.15, 0.45)",-0.15146507439388585
"(0.15, 0.5)",-0.16941604242266384
"(0.15, 0.55)",-0.20831696684771728
"(0.15, 0.6)",-0.2164209705743853
"(0.15, 0.65)",-0.2193973167912698
"(0.15, 0.7)",-0.241509653117552
"(0.15, 0.75)",-0.1600762129814181
"(0.15, 0.8)",-0.18536448549049875
"(0.15, 0.85)",-0.18992420565645454
"(0.15, 0.9)",-0.1430784214501117
"(0.15, 0.95)",-0.27839302974539054
"(0.15, 1.0)",-0.23348319544610463
"(0.2, 0.05)",-0.018957407369621572
"(0.2, 0.1)",-0.048427023762268935
"(0.2, 0.15)",-0.07739225445043987
"(0.2, 0.2)",-0.19374348930800164
"(0.2, 0.25)",-0.20160818152693938
"(0.2, 0.3)",-0.17889377695743297
"(0.2, 0.35)",-0.21886039185169603
"(0.2, 0.4)",-0.16479536332207573
"(0.2, 0.45)",-0.21688511442378416
"(0.2, 0.5)",-0.26254309792613756
"(0.2, 0.55)",-0.2385485448450822
"(0.2, 0.6)",-0.2562732404992163
"(0.2, 0.65)",-0.19222894349364628
"(0.2, 0.7)",-0.20487338632765173
"(0.2, 0.75)",-0.16683158031337092
"(0.2, 0.8)",-0.22307559461144447
"(0.2, 0.85)",-0.16275022305443468
"(0.2, 0.9)",-0.21914390519036717
"(0.2, 0.95)",-0.2720501294059814
"(0.2, 1.0)",-0.24705427031548013
"(0.25, 0.05)",-0.08779407718073087
"(0.25, 0.1)",-0.12290580284408079
"(0.25, 0.15)",-0.10019929959463547
"(0.25, 0.2)",-0.22933809337638478
"(0.25, 0.25)",-0.2366622099391732
"(0.25, 0.3)",-0.16883277268987426
"(0.25, 0.35)",-0.27619437548956227
"(0.25, 0.4)",-0.22493018365925527
"(0.25, 0.45)",-0.23221242462720423
"(0.25, 0.5)",-0.22335836859646468
"(0.25, 0.55)",-0.22744059654765533
"(0.25, 0.6)",-0.26126521954201865
"(0.25, 0.65)",-0.2730628106653335
"(0.25, 0.7)",-0.2512750068681817
"(0.25, 0.75)",-0.2568243376327209
"(0.25, 0.8)",-0.3040483933120548
"(0.25, 0.85)",-0.16130017409330524
"(0.25, 0.9)",-0.2576530551161838
"(0.25, 0.95)",-0.32892675693768275
"(0.25, 1.0)",-0.2840880133150959
"(0.3, 0.05)",-0.1164176835741316
"(0.3, 0.1)",-0.10149241826623805
"(0.3, 0.15)",-0.13478219742208208
"(0.3, 0.2)",-0.1601601144411176
"(0.3, 0.25)",-0.2554947770416888
"(0.3, 0.3)",-0.18024340700959293
"(0.3, 0.35)",-0.1906895205782001
"(0.3, 0.4)",-0.18618438732192513
"(0.3, 0.45)",-0.28904330083432084
"(0.3, 0.5)",-0.30311195754231696
"(0.3, 0.55)",-0.23504058949461246
"(0.3, 0.6)",-0.2887613220369063
"(0.3, 0.65)",-0.2819029872335846
"(0.3, 0.7)",-0.261802437217606
"(0.3, 0.75)",-0.2862135896013584
"(0.3, 0.8)",-0.26582796580390894
"(0.3, 0.85)",-0.26828794023350394
"(0.3, 0.9)",-0.2964808710802482
"(0.3, 0.95)",-0.2796963974220088
"(0.3, 1.0)",-0.26244185567103073
"(0.35, 0.05)",-0.0843281777319536
"(0.35, 0.1)",-0.10251449057650128
"(0.35, 0.15)",-0.12491162033171097
"(0.35, 0.2)",-0.1575976930964503
"(0.35, 0.25)",-0.23154916595842817
"(0.35, 0.3)",-0.19186343270783124
"(0.35, 0.35)",-0.25847867436766725
"(0.35, 0.4)",-0.25750276089796414
"(0.35, 0.45)",-0.2534761178941429
"(0.35, 0.5)",-0.32593776293933113
"(0.35, 0.55)",-0.2919149008618767
"(0.35, 0.6)",-0.3035036527449438
"(0.35, 0.65)",-0.2630555347783935
"(0.35, 0.7)",-0.35177208757462636
"(0.35, 0.75)",-0.3384218009541521
"(0.35, 0.8)",-0.37869915637930307
"(0.35, 0.85)",-0.3384783909893982
"(0.35, 0.9)",-0.30141233132572964
"(0.35, 0.95)",-0.383941261039057
"(0.35, 1.0)",-0.3988416616863747
"(0.4, 0.05)",-0.11198077368209955
"(0.4, 0.1)",-0.15020335397558252
"(0.4, 0.15)",-0.15259942816923106
"(0.4, 0.2)",-0.22226678155245208
"(0.4, 0.25)",-0.2689762160116618
"(0.4, 0.3)",-0.17791003899211938
"(0.4, 0.35)",-0.2456341848120372
"(0.4, 0.4)",-0.3017198932839882
"(0.4, 0.45)",-0.2497325237182113
"(0.4, 0.5)",-0.30866139286373767
"(0.4, 0.55)",-0.33339769342863484
"(0.4, 0.6)",-0.3928804606152279
"(0.4, 0.65)",-0.32534971328004647
"(0.4, 0.7)",-0.39706139744522245
"(0.4, 0.75)",-0.40362042091253425
"(0.4, 0.8)",-0.35430672205574526
"(0.4, 0.85)",-0.35699071441198
"(0.4, 0.9)",-0.37584626781083486
"(0.4, 0.95)",-0.43760285313771025
"(0.4, 1.0)",-0.38212640649153495
"(0.45, 0.05)",-0.09768192425904298
"(0.45, 0.1)",-0.07533690902266058
"(0.45, 0.15)",-0.1606079563956853
"(0.45, 0.2)",-0.19697488830045481
"(0.45, 0.25)",-0.1969703497917377
"(0.45, 0.3)",-0.22817064484226943
"(0.45, 0.35)",-0.2355026353455815
"(0.45, 0.4)",-0.3072467425652162
"(0.45, 0.45)",-0.31819402551616766
"(0.45, 0.5)",-0.34697861395943685
"(0.45, 0.55)",-0.3568758524579043
"(0.45, 0.6)",-0.3418603517452759
"(0.45, 0.65)",-0.32857718942646225
"(0.45, 0.7)",-0.36513830142108106
"(0.45, 0.75)",-0.3506694431119337
"(0.45, 0.8)",-0.44924430430304957
"(0.45, 0.85)",-0.42817983654599984
"(0.45, 0.9)",-0.4145404830144734
"(0.45, 0.95)",-0.44650361502595753
"(0.45, 1.0)",-0.43672605969931083
"(0.5, 0.05)",-0.06711118574792897
"(0.5, 0.1)",-0.09619451974170012
"(0.5, 0.15)",-0.08906873732866441
"(0.5, 0.2)",-0.17450034704668946
"(0.5, 0.25)",-0.2292625470380856
"(0.5, 0.3)",-0.2593310301917168
"(0.5, 0.35)",-0.29112281973450543
"(0.5, 0.4)",-0.3112237687460868
"(0.5, 0.45)",-0.33180972526809854
"(0.5, 0.5)",-0.31045201853581655
"(0.5, 0.55)",-0.3867468772007673
"(0.5, 0.6)",-0.42523457224929173
"(0.5, 0.65)",-0.38571264754390056
"(0.5, 0.7)",-0.4056312200475522
"(0.5, 0.75)",-0.43433278425831084
"(0.5, 0.8)",-0.4271065652222788
"(0.5, 0.85)",-0.4651413801433916
"(0.5, 0.9)",-0.469477548329201
"(0.5, 0.95)",-0.4185792539032289
"(0.5, 1.0)",-0.48743193909428656
"(0.55, 0.05)",-0.06985715941151688
"(0.55, 0.1)",-0.16042348880608484
"(0.55, 0.15)",-0.1469647067263618
"(0.55, 0.2)",-0.21294429554431216
"(0.55, 0.25)",-0.18747739132909794
"(0.55, 0.3)",-0.27469699151270655
"(0.55, 0.35)",-0.322915815469209
"(0.55, 0.4)",-0.31878104438972443
"(0.55, 0.45)",-0.36174964570829105
"(0.55, 0.5)",-0.37871507262266724
"(0.55, 0.55)",-0.43073366119324535
"(0.55, 0.6)",-0.39204464460786687
"(0.55, 0.65)",-0.45299786978530776
"(0.55, 0.7)",-0.4734419660812551
"(0.55, 0.75)",-0.503635646831782
"(0.55, 0.8)",-0.5148435937776277
"(0.55, 0.85)",-0.5130205568500853
"(0.55, 0.9)",-0.500361553440331
"(0.55, 0.95)",-0.4923058785013243
"(0.55, 1.0)",-0.522791353615933
"(0.6, 0.05)",-0.09772418889474639
"(0.6, 0.1)",-0.04644530158758972
"(0.6, 0.15)",-0.21211085749102118
"(0.6, 0.2)",-0.1484406722462546
"(0.6, 0.25)",-0.22851106807886382
"(0.6, 0.3)",-0.22601835911551327
"(0.6, 0.35)",-0.26816899368814767
"(0.6, 0.4)",-0.22362328722772803
"(0.6, 0.45)",-0.31472346298645976
"(0.6, 0.5)",-0.40634012572174305
"(0.6, 0.55)",-0.3916992658674733
"(0.6, 0.6)",-0.4235007795805586
"(0.6, 0.65)",-0.4647334985384093
"(0.6, 0.7)",-0.4798186123417984
"(0.6, 0.75)",-0.5290066682013211
