phi_sui,phi_rev
"(0.05, 0.05)",0.6698938453032381
"(0.05, 0.1)",-0.21128856368212853
"(0.05, 0.15)",0.5897678246195905
"(0.05, 0.2)",-0.4384704571451223
"(0.05, 0.25)",-0.48038446141526275
"(0.05, 0.3)",0.7329943395104701
"(0.05, 0.35)",-0.6376727264232777
"(0.05, 0.4)",-0.5699704467430112
"(0.05, 0.45)",-0.13867504905630715
"(0.05, 0.5)",-0.7837703985076108
"(0.05, 0.55)",0.16478154113310242
"(0.05, 0.6)",0.9074852129730296
"(0.05, 0.65)",-0.38227331187537744
"(0.05, 0.7)",0.621585823975389
"(0.05, 0.75)",-0.5232000667841019
"(0.05, 0.8)",0.42669419033768224
"(0.05, 0.85)",-0.3891184778074636
"(0.05, 0.9)",-0.4127514962940646
"(0.05, 0.95)",0.6375196739104022
"(0.05, 1.0)",-0.9174063600174062
"(0.1, 0.05)",-0.6085806194501866
"(0.1, 0.1)",-0.7827803638564352
"(0.1, 0.15)",-0.3514010905274828
"(0.1, 0.2)",0.36478009283544255
"(0.1, 0.25)",0.5137408089380554
"(0.1, 0.3)",0.3133141568291511
"(0.1, 0.35)",-0.034631782240472926
"(0.1, 0.4)",-0.7058823529411771
"(0.1, 0.45)",-0.8695913104797086
"(0.1, 0.5)",0.3208444739598759
"(0.1, 0.55)",-0.5485836403108164
"(0.1, 0.6)",0.7410425343935404
"(0.1, 0.65)",-0.38013155617496774
"(0.1, 0.7)",0.40816792504438176
"(0.1, 0.75)",0.046225016352102063
"(0.1, 0.8)",0.3304652277043993
"(0.1, 0.85)",-0.7109209898759189
"(0.1, 0.9)",0.8307453332158353
"(0.1, 0.95)",-0.7523330404657468
"(0.1, 1.0)",0.22783059421644344
"(0.15, 0.05)",0.3100868364730222
"(0.15, 0.1)",0.8067842963896243
"(0.15, 0.15)",-0.7617834401336353
"(0.15, 0.2)",-0.45039271532173736
"(0.15, 0.25)",0.39545578941934995
"(0.15, 0.3)",-0.4674734950042284
"(0.15, 0.35)",0.09555884839455396
"(0.15, 0.4)",-0.7950542160152729
"(0.15, 0.45)",-0.5396034292623282
"(0.15, 0.5)",-0.12787765607846976
"(0.15, 0.55)",0.1502020536151606
"(0.15, 0.6)",0.4457991749202559
"(0.15, 0.65)",0.9562960652968115
"(0.15, 0.7)",0.42753520415669366
"(0.15, 0.75)",-0.6630041666196722
"(0.15, 0.8)",-0.15261156706239898
"(0.15, 0.85)",0.915556959986578
"(0.15, 0.9)",0.2200704338100343
"(0.15, 0.95)",0.3393207814893306
"(0.15, 1.0)",-0.8318571173234534
"(0.2, 0.05)",-2.729262281696383e-17
"(0.2, 0.1)",-0.5969013509195453
"(0.2, 0.15)",-0.14229369679616766
"(0.2, 0.2)",nan
"(0.2, 0.25)",0.7758644224125776
"(0.2, 0.3)",0.34744562570814763
"(0.2, 0.35)",-0.4804640643984643
"(0.2, 0.4)",0.5227387626276536
"(0.2, 0.45)",-0.6450919362215893
"(0.2, 0.5)",-0.1490711984999879
"(0.2, 0.55)",0.23989755983963815
"(0.2, 0.6)",0.15930789669364928
"(0.2, 0.65)",-0.15253082127308093
"(0.2, 0.7)",-0.6636674614920194
"(0.2, 0.75)",-0.09564946847029424
"(0.2, 0.8)",-0.26274232733229913
"(0.2, 0.85)",-0.7292865944224511
"(0.2, 0.9)",0.10304820250171967
"(0.2, 0.95)",-0.18523964340873747
"(0.2, 1.0)",-0.005280667248125207
"(0.25, 0.05)",-0.20044593143431974
"(0.25, 0.1)",-0.23728949893812545
"(0.25, 0.15)",0.3516054232038683
"(0.25, 0.2)",-0.2686151616359429
"(0.25, 0.25)",-0.13433209885189235
"(0.25, 0.3)",-0.5905926335353788
"(0.25, 0.35)",-0.5783022076253339
"(0.25, 0.4)",0.06336606331724419
"(0.25, 0.45)",0.8227309286575206
"(0.25, 0.5)",0.24050742191663402
"(0.25, 0.55)",0.6032177001361783
"(0.25, 0.6)",-0.40092604727865583
"(0.25, 0.65)",-1.2488165223477387e-15
"(0.25, 0.7)",-0.42654167327831055
"(0.25, 0.75)",-0.42012046045170565
"(0.25, 0.8)",-0.3802341204843819
"(0.25, 0.85)",-0.5854791229924093
"(0.25, 0.9)",0.7985685229862619
"(0.25, 0.95)",-0.6455359262254837
"(0.25, 1.0)",0.42212143302304916
"(0.3, 0.05)",-0.5415861860687305
"(0.3, 0.1)",-0.2824663414330148
"(0.3, 0.15)",-0.6673410893648434
"(0.3, 0.2)",-0.5967672076134156
"(0.3, 0.25)",0.3791219088244096
"(0.3, 0.3)",-0.03948735948694966
"(0.3, 0.35)",-0.6626110190549946
"(0.3, 0.4)",0.09575803328685689
"(0.3, 0.45)",0.35577951893721343
"(0.3, 0.5)",0.08237905047993062
"(0.3, 0.55)",0.2710791865697573
"(0.3, 0.6)",-0.851773689183688
"(0.3, 0.65)",-0.13993657645808555
"(0.3, 0.7)",-0.9877831364819545
"(0.3, 0.75)",-0.7694393628970797
"(0.3, 0.8)",-0.8124334807351232
"(0.3, 0.85)",-0.20826718790095208
"(0.3, 0.9)",-0.3254684471149258
"(0.3, 0.95)",0.07691592958339592
"(0.3, 1.0)",-0.3876211505422754
"(0.35, 0.05)",0.7669649888473761
"(0.35, 0.1)",-0.7095469674996626
"(0.35, 0.15)",0.6163484054954212
"(0.35, 0.2)",-0.7277781371744787
"(0.35, 0.25)",0.09023506733193183
"(0.35, 0.3)",-0.666117082460462
"(0.35, 0.35)",-0.45776970494066876
"(0.35, 0.4)",0.27049696547702284
"(0.35, 0.45)",0.9132437578325088
"(0.35, 0.5)",-0.07580620388274892
"(0.35, 0.55)",-0.27288797970872714
"(0.35, 0.6)",-0.7951125390681638
"(0.35, 0.65)",-0.11797157083235481
"(0.35, 0.7)",0.21927023156775477
"(0.35, 0.75)",-0.285601221502581
"(0.35, 0.8)",-0.29417420270727923
"(0.35, 0.85)",-0.30862357113680866
"(0.35, 0.9)",-0.3164073985527039
"(0.35, 0.95)",-0.04439405017537496
"(0.35, 1.0)",0.483452519578228
"(0.4, 0.05)",-0.3580733220904649
"(0.4, 0.1)",0.0706540031925943
"(0.4, 0.15)",-0.3194382824999658
"(0.4, 0.2)",-0.20774640255594262
"(0.4, 0.25)",0.7584383461917596
"(0.4, 0.3)",-0.8475239117806485
"(0.4, 0.35)",-1.3668124483966445e-15
"(0.4, 0.4)",-0.3564784421983783
"(0.4, 0.45)",-0.2184003647289135
"(0.4, 0.5)",-0.4537647444132552
"(0.4, 0.55)",0.4668514229774719
"(0.4, 0.6)",-0.5571968094991946
"(0.4, 0.65)",-0.5695622052516336
"(0.4, 0.7)",-0.07801455613597001
"(0.4, 0.75)",-0.9879069520845293
"(0.4, 0.8)",-0.23398215222965077
"(0.4, 0.85)",-0.6980670898062035
"(0.4, 0.9)",-0.7156844338219395
"(0.4, 0.95)",-0.15086585741117697
"(0.4, 1.0)",-0.8719445766869459
"(0.45, 0.05)",-0.5313287719368318
"(0.45, 0.1)",-0.09955111754653742
"(0.45, 0.15)",-0.35559295935707236
"(0.45, 0.2)",-0.1896446649848735
"(0.45, 0.25)",-0.3488377674771349
"(0.45, 0.3)",-0.16310671733874957
"(0.45, 0.35)",0.3653729067766078
"(0.45, 0.4)",0.33398402259808346
"(0.45, 0.45)",-0.3146569573650906
"(0.45, 0.5)",-0.7764957364667542
"(0.45, 0.55)",-0.22425865460596578
"(0.45, 0.6)",-0.030981478612029902
"(0.45, 0.65)",-0.33434364068791494
"(0.45, 0.7)",-0.16842278573363478
"(0.45, 0.75)",0.5028548654531231
"(0.45, 0.8)",0.04480315517079135
"(0.45, 0.85)",0.21748233356464103
"(0.45, 0.9)",-0.9191042839919531
"(0.45, 0.95)",-0.6827334305014228
"(0.45, 1.0)",-0.6964973302496766
"(0.5, 0.05)",0.20425716847526598
"(0.5, 0.1)",0.1197412835337047
"(0.5, 0.15)",-0.06239935905358056
"(0.5, 0.2)",-0.34833595304263726
"(0.5, 0.25)",-0.5653817193274093
"(0.5, 0.3)",-0.07979174932135794
"(0.5, 0.35)",-0.719307005014291
"(0.5, 0.4)",-0.06851767958849338
"(0.5, 0.45)",-0.29556755201433743
"(0.5, 0.5)",-0.40217026775169473
"(0.5, 0.55)",-0.7633526286139212
"(0.5, 0.6)",0.03524954925510313
"(0.5, 0.65)",-0.6006362145753248
"(0.5, 0.7)",-0.19614299337180233
"(0.5, 0.75)",-0.8083153440785162
"(0.5, 0.8)",-0.31120998411937467
"(0.5, 0.85)",-0.291512003801014
"(0.5, 0.9)",-0.9334082161565245
"(0.5, 0.95)",-0.8251830127225941
"(0.5, 1.0)",-0.333338653345357
"(0.55, 0.05)",-0.20352928488269387
"(0.55, 0.1)",0.5832567713593683
"(0.55, 0.15)",-0.9839677295057034
"(0.55, 0.2)",0.15344223847410696
"(0.55, 0.25)",0.3423265984407273
"(0.55, 0.3)",0.47349718869098134
"(0.55, 0.35)",-0.8798572321075157
"(0.55, 0.4)",0.26421656179956066
"(0.55, 0.45)",-0.47498159962362446
"(0.55, 0.5)",-0.7962961270023051
"(0.55, 0.55)",-0.9951052080056659
"(0.55, 0.6)",-0.45385733676686285
"(0.55, 0.65)",-0.6296669981474345
"(0.55, 0.7)",0.8020889247558032
"(0.55, 0.75)",-0.5364735258236403
"(0.55, 0.8)",-0.6776027060795723
"(0.55, 0.85)",-0.5300260386550375
"(0.55, 0.9)",-0.16407228469422588
"(0.55, 0.95)",-0.8328416380278972
"(0.55, 1.0)",-0.340248623259099
"(0.6, 0.05)",0.1512514898345152
"(0.6, 0.1)",0.09654977448370874
"(0.6, 0.15)",-0.6677248832995594
"(0.6, 0.2)",0.6339663286101002
"(0.6, 0.25)",0.09980114872059749
"(0.6, 0.3)",-0.6659169329843027
"(0.6, 0.35)",-0.1916082481552985
"(0.6, 0.4)",-0.0976983075237223
"(0.6, 0.45)",0.4482107285003973
"(0.6, 0.5)",-0.28831141554815676
"(0.6, 0.55)",-0.9171851462607753
"(0.6, 0.6)",-0.8607850561801604
"(0.6, 0.65)",-0.8347383887468603
"(0.6, 0.7)",0.6655065552718543
"(0.6, 0.75)",0.3875118986483421
"(0.6, 0.8)",-0.5947174659678003
"(0.6, 0.85)",-0.8729696397065906
"(0.6, 0.9)",-0.24280405533121924
"(0.6, 0.95)",-0.780450060537473
"(0.6, 1.0)",-0.7981032208957061
"(0.65, 0.05)",-3.715176892091116e-15
"(0.65, 0.1)",0.870154272977709
"(0.65, 0.15)",0.11118251046325259
"(0.65, 0.2)",0.19721048376098413
"(0.65, 0.25)",-0.43335952830096086
"(0.65, 0.3)",0.32436605734616175
"(0.65, 0.35)",0.4916184610866548
"(0.65, 0.4)",0.6675222794998671
"(0.65, 0.45)",-0.8432451803398748
"(0.65, 0.5)",0.17053865033283322
"(0.65, 0.55)",0.47036820690131426
"(0.65, 0.6)",-0.5674545675093953
"(0.65, 0.65)",-0.6064943312627467
"(0.65, 0.7)",-0.662650890828723
"(0.65, 0.75)",-0.5357122805281196
"(0.65, 0.8)",-0.36893916949085515
"(0.65, 0.85)",0.11720180773462452
"(0.65, 0.9)",-0.10581933639595947
"(0.65, 0.95)",-0.49954821724336573
"(0.65, 1.0)",-0.10838114217782568
"(0.7, 0.05)",-0.2972629189865764
"(0.7, 0.1)",0.6821910402406438
"(0.7, 0.15)",0.66665442173622
"(0.7, 0.2)",-0.12265550274001125
"(0.7, 0.25)",-0.5445832342080839
"(0.7, 0.3)",0.7597522026963074
"(0.7, 0.35)",0.2673685809515422
"(0.7, 0.4)",-0.923241928619757
"(0.7, 0.45)",-0.22947131579220373
"(0.7, 0.5)",-0.6732414261692069
"(0.7, 0.55)",0.46299093506357847
"(0.7, 0.6)",-0.7733638370813376
"(0.7, 0.65)",-0.4763050730541419
"(0.7, 0.7)",-0.7924172913179196
"(0.7, 0.75)",0.36708950556354714
"(0.7, 0.8)",-0.7464709355071912
