phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.1616238497266351
0.1,-0.11284351543979482
0.15,-0.06640198503914624
0.2,-0.13558788605789504
0.25,-0.2393428383499664
0.3,-0.29336108565220653
0.35,-0.25336371205906416
0.4,-0.35800996415483965
0.45,-0.23445823047818246
0.5,-0.3334222036683037
0.55,-0.3527576905752965
0.6,-0.3813260601852959
0.65,-0.40298622713666793
0.7,-0.3756278658891142
0.75,-0.36686617044080416
0.8,-0.31233317060058846
0.85,-0.33235053512063734
0.9,-0.4550051788982328
0.95,-0.47314848676221116
1.0,-0.4336904819633882
