phi_sui,phi_rev
"(0.1, 0.1)",0.6071428571428572
"(0.1, 0.2)",0.7474182367446982
"(0.1, 0.3)",0.5827715174143594
"(0.1, 0.4)",-0.43643578047198694
"(0.1, 0.5)",0.3066305358616251
"(0.1, 0.6)",-0.6863778495955162
"(0.1, 0.7)",-0.2336913573186573
"(0.1, 0.8)",0.3851644432598204
"(0.1, 0.9)",-0.04840472917944386
"(0.1, 1.0)",0.22414539378775575
"(0.2, 0.1)",-0.5261367915016445
"(0.2, 0.2)",-0.34006008725541687
"(0.2, 0.3)",0.16497424018941723
"(0.2, 0.4)",0.40111555650588104
"(0.2, 0.5)",-0.5567306167185666
"(0.2, 0.6)",0.17533447472105895
"(0.2, 0.7)",-0.05580072316383755
"(0.2, 0.8)",-0.5110970894354259
"(0.2, 0.9)",-0.8190503533114214
"(0.2, 1.0)",-0.6932025626832937
"(0.3, 0.1)",-0.20044593143431857
"(0.3, 0.2)",-0.3619241483847964
"(0.3, 0.3)",-0.312528951957965
"(0.3, 0.4)",-0.5509986041386381
"(0.3, 0.5)",-0.424865776788893
"(0.3, 0.6)",-0.6704717119847291
"(0.3, 0.7)",-0.3649950567591638
"(0.3, 0.8)",-0.7630331428260838
"(0.3, 0.9)",0.5118053367210518
"(0.3, 1.0)",-0.3131597298675611
"(0.4, 0.1)",0.576957914221316
"(0.4, 0.2)",-0.7112333251538245
"(0.4, 0.3)",-0.7797553612622167
"(0.4, 0.4)",-0.32828033018704333
"(0.4, 0.5)",-0.4770766134937364
"(0.4, 0.6)",0.2835769445117985
"(0.4, 0.7)",-0.0480876901611708
"(0.4, 0.8)",-0.7424678587235579
"(0.4, 0.9)",-0.3402060037927386
"(0.4, 1.0)",0.1399713146038027
"(0.5, 0.1)",-0.26554250227189413
"(0.5, 0.2)",-0.056947092603213616
"(0.5, 0.3)",-0.009206994669689167
"(0.5, 0.4)",-0.7032308117742979
"(0.5, 0.5)",0.5035508253276454
"(0.5, 0.6)",-0.9110271644916135
"(0.5, 0.7)",-0.9636165776763786
"(0.5, 0.8)",-0.1149954158308295
"(0.5, 0.9)",-0.887420810589466
"(0.5, 1.0)",-0.539080328953967
"(0.6, 0.1)",0.5763425507093681
"(0.6, 0.2)",0.9159761808313882
"(0.6, 0.3)",-0.7064627835673404
"(0.6, 0.4)",-0.1955369153019348
"(0.6, 0.5)",-0.4358568676469804
"(0.6, 0.6)",-0.8188325347807094
"(0.6, 0.7)",-0.613463820041367
"(0.6, 0.8)",-0.9677563003439491
"(0.6, 0.9)",-0.1445698632160481
"(0.6, 1.0)",-0.7536367161575
"(0.7, 0.1)",0.2734241495373937
"(0.7, 0.2)",0.05833535890179735
"(0.7, 0.3)",-0.500768031109693
"(0.7, 0.4)",-0.9099841814898796
"(0.7, 0.5)",-0.5861982164600934
"(0.7, 0.6)",-0.7304699832980383
"(0.7, 0.7)",0.617603874045046
"(0.7, 0.8)",-0.881718273941145
"(0.7, 0.9)",0.5998602287835353
"(0.7, 1.0)",-0.9843526085454462
"(0.8, 0.1)",-0.3780933374005534
"(0.8, 0.2)",0.5597512614872899
"(0.8, 0.3)",0.5486959341641496
"(0.8, 0.4)",-0.6165207655885762
"(0.8, 0.5)",-0.6770145842253982
"(0.8, 0.6)",-0.825724403381986
"(0.8, 0.7)",-0.014940061189837076
"(0.8, 0.8)",-0.43658387966661844
"(0.8, 0.9)",-0.9220533121150196
"(0.8, 1.0)",-0.879463035375199
"(0.9, 0.1)",0.37141172774122067
"(0.9, 0.2)",0.6964409092807206
"(0.9, 0.3)",-0.7948495665134052
"(0.9, 0.4)",-0.4060222979209389
"(0.9, 0.5)",0.1625285719869747
"(0.9, 0.6)",0.6923498650808345
"(0.9, 0.7)",-0.7459154293537065
"(0.9, 0.8)",0.5073066480518369
"(0.9, 0.9)",-0.20762711864406797
"(0.9, 1.0)",-0.9591037149155379
"(1.0, 0.1)",0.20493281706684996
"(1.0, 0.2)",-0.3891892593835802
"(1.0, 0.3)",0.17845824396611942
"(1.0, 0.4)",-0.42602040083755466
"(1.0, 0.5)",0.48952050474301406
"(1.0, 0.6)",-0.7754606468101607
"(1.0, 0.7)",-0.7736849525621554
"(1.0, 0.8)",-0.750075604850651
"(1.0, 0.9)",-0.8216646092200095
"(1.0, 1.0)",-0.8507576159528238
