phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.10273333333333337
"(0.0, 0.2)",-0.1907333333333333
"(0.0, 0.3)",-0.26659999999999995
"(0.0, 0.4)",-0.37706666666666666
"(0.0, 0.5)",-0.43520000000000003
"(0.0, 0.6)",-0.5081333333333333
"(0.0, 0.7)",-0.5812666666666667
"(0.0, 0.8)",-0.5474
"(0.0, 0.9)",-0.5794666666666667
"(0.0, 1.0)",-0.5611333333333333
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.07433333333333336
"(0.1, 0.2)",-0.1675333333333333
"(0.1, 0.3)",-0.26859999999999995
"(0.1, 0.4)",-0.3569333333333333
"(0.1, 0.5)",-0.4294666666666667
"(0.1, 0.6)",-0.5419333333333334
"(0.1, 0.7)",-0.5446
"(0.1, 0.8)",-0.5654666666666667
"(0.1, 0.9)",-0.5790666666666667
"(0.1, 1.0)",-0.5604666666666667
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.06206666666666669
"(0.2, 0.2)",-0.131
"(0.2, 0.3)",-0.22339999999999996
"(0.2, 0.4)",-0.31566666666666665
"(0.2, 0.5)",-0.4391333333333334
"(0.2, 0.6)",-0.48886666666666667
"(0.2, 0.7)",-0.5394
"(0.2, 0.8)",-0.5374
"(0.2, 0.9)",-0.5693333333333334
"(0.2, 1.0)",-0.5451333333333334
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.052666666666666695
"(0.3, 0.2)",-0.12133333333333333
"(0.3, 0.3)",-0.20893333333333328
"(0.3, 0.4)",-0.26766666666666666
"(0.3, 0.5)",-0.3519333333333334
"(0.3, 0.6)",-0.44913333333333333
"(0.3, 0.7)",-0.49319999999999997
"(0.3, 0.8)",-0.5801333333333333
"(0.3, 0.9)",-0.5536666666666666
"(0.3, 1.0)",-0.5720000000000001
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.039200000000000026
"(0.4, 0.2)",-0.08813333333333334
"(0.4, 0.3)",-0.16373333333333331
"(0.4, 0.4)",-0.23666666666666664
"(0.4, 0.5)",-0.30593333333333333
"(0.4, 0.6)",-0.3957333333333333
"(0.4, 0.7)",-0.46153333333333335
"(0.4, 0.8)",-0.507
"(0.4, 0.9)",-0.49826666666666664
"(0.4, 1.0)",-0.5472
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.02766666666666668
"(0.5, 0.2)",-0.061266666666666664
"(0.5, 0.3)",-0.12473333333333331
"(0.5, 0.4)",-0.18973333333333334
"(0.5, 0.5)",-0.2885333333333333
"(0.5, 0.6)",-0.3191333333333333
"(0.5, 0.7)",-0.4162666666666667
"(0.5, 0.8)",-0.4611333333333333
"(0.5, 0.9)",-0.5091333333333333
"(0.5, 1.0)",-0.4527333333333333
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.007800000000000012
"(0.6, 0.2)",-0.05273333333333335
"(0.6, 0.3)",-0.08566666666666664
"(0.6, 0.4)",-0.15266666666666664
"(0.6, 0.5)",-0.22313333333333332
"(0.6, 0.6)",-0.2724666666666667
"(0.6, 0.7)",-0.4076
"(0.6, 0.8)",-0.4232666666666666
"(0.6, 0.9)",-0.47419999999999995
"(0.6, 1.0)",-0.47026666666666667
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.0064000000000000055
"(0.7, 0.2)",-0.039066666666666694
"(0.7, 0.3)",-0.05393333333333334
"(0.7, 0.4)",-0.07586666666666664
"(0.7, 0.5)",-0.18546666666666667
"(0.7, 0.6)",-0.23253333333333334
"(0.7, 0.7)",-0.35086666666666666
"(0.7, 0.8)",-0.37759999999999994
"(0.7, 0.9)",-0.4794666666666667
"(0.7, 1.0)",-0.5254
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.005666666666666661
"(0.8, 0.2)",-0.030333333333333344
"(0.8, 0.3)",-0.02260000000000001
"(0.8, 0.4)",-0.06133333333333333
"(0.8, 0.5)",-0.12326666666666665
"(0.8, 0.6)",-0.13193333333333335
"(0.8, 0.7)",-0.25106666666666666
"(0.8, 0.8)",-0.35973333333333335
"(0.8, 0.9)",-0.46046666666666664
"(0.8, 1.0)",-0.4038
"(0.9, 0.0)",0
"(0.9, 0.1)",0.0034000000000000102
"(0.9, 0.2)",-0.008733333333333352
"(0.9, 0.3)",-0.0002666666666666551
"(0.9, 0.4)",-0.03153333333333334
"(0.9, 0.5)",-0.041066666666666675
"(0.9, 0.6)",-0.09893333333333332
"(0.9, 0.7)",-0.19753333333333334
"(0.9, 0.8)",-0.26413333333333333
"(0.9, 0.9)",-0.4225333333333333
"(0.9, 1.0)",-0.3714666666666667
"(1.0, 0.0)",0
"(1.0, 0.1)",0.001333333333333341
"(1.0, 0.2)",-0.017600000000000008
"(1.0, 0.3)",-0.01933333333333334
"(1.0, 0.4)",-0.019533333333333333
"(1.0, 0.5)",-0.05366666666666666
"(1.0, 0.6)",-0.06906666666666665
"(1.0, 0.7)",-0.14433333333333337
"(1.0, 0.8)",-0.2301333333333333
"(1.0, 0.9)",-0.2276
"(1.0, 1.0)",-0.24266666666666664
