phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.06873333333333338
"(0.0, 0.2)",-0.16979999999999998
"(0.0, 0.3)",-0.26259999999999994
"(0.0, 0.4)",-0.37520000000000003
"(0.0, 0.5)",-0.43413333333333337
"(0.0, 0.6)",-0.5081333333333333
"(0.0, 0.7)",-0.5812666666666667
"(0.0, 0.8)",-0.5474
"(0.0, 0.9)",-0.5794666666666667
"(0.0, 1.0)",-0.5611333333333333
"(0.1, 0.0)",-0.06793333333333339
"(0.1, 0.1)",0.0078000000000000595
"(0.1, 0.2)",-0.026666666666666575
"(0.1, 0.3)",-0.15673333333333325
"(0.1, 0.4)",-0.2710666666666666
"(0.1, 0.5)",-0.379
"(0.1, 0.6)",-0.5074666666666667
"(0.1, 0.7)",-0.523
"(0.1, 0.8)",-0.5546666666666666
"(0.1, 0.9)",-0.5685333333333333
"(0.1, 1.0)",-0.5505333333333334
"(0.2, 0.0)",-0.1699333333333333
"(0.2, 0.1)",-0.07399999999999991
"(0.2, 0.2)",0.01413333333333336
"(0.2, 0.3)",-0.03333333333333332
"(0.2, 0.4)",-0.14386666666666667
"(0.2, 0.5)",-0.3242666666666667
"(0.2, 0.6)",-0.4236666666666667
"(0.2, 0.7)",-0.48839999999999995
"(0.2, 0.8)",-0.5028666666666667
"(0.2, 0.9)",-0.5544
"(0.2, 1.0)",-0.5285333333333333
"(0.3, 0.0)",-0.2822666666666666
"(0.3, 0.1)",-0.20426666666666657
"(0.3, 0.2)",-0.08986666666666661
"(0.3, 0.3)",-0.012466666666666657
"(0.3, 0.4)",-0.03300000000000006
"(0.3, 0.5)",-0.14586666666666673
"(0.3, 0.6)",-0.297
"(0.3, 0.7)",-0.40919999999999995
"(0.3, 0.8)",-0.5268
"(0.3, 0.9)",-0.5101333333333333
"(0.3, 1.0)",-0.5518666666666667
"(0.4, 0.0)",-0.3698
"(0.4, 0.1)",-0.2914
"(0.4, 0.2)",-0.22193333333333332
"(0.4, 0.3)",-0.1198666666666667
"(0.4, 0.4)",-0.001533333333333415
"(0.4, 0.5)",-0.03453333333333336
"(0.4, 0.6)",-0.17753333333333335
"(0.4, 0.7)",-0.30813333333333337
"(0.4, 0.8)",-0.4099333333333333
"(0.4, 0.9)",-0.46173333333333333
"(0.4, 1.0)",-0.5266
"(0.5, 0.0)",-0.43520000000000003
"(0.5, 0.1)",-0.41606666666666664
"(0.5, 0.2)",-0.3798666666666667
"(0.5, 0.3)",-0.2754000000000001
"(0.5, 0.4)",-0.1376
"(0.5, 0.5)",-0.02113333333333333
"(0.5, 0.6)",-0.0641333333333333
"(0.5, 0.7)",-0.2022
"(0.5, 0.8)",-0.3155333333333333
"(0.5, 0.9)",-0.44860000000000005
"(0.5, 1.0)",-0.36726666666666663
"(0.6, 0.0)",-0.5152
"(0.6, 0.1)",-0.5336
"(0.6, 0.2)",-0.487
"(0.6, 0.3)",-0.40520000000000006
"(0.6, 0.4)",-0.31246666666666667
"(0.6, 0.5)",-0.15940000000000004
"(0.6, 0.6)",-0.006400000000000015
"(0.6, 0.7)",-0.07480000000000002
"(0.6, 0.8)",-0.19213333333333332
"(0.6, 0.9)",-0.2901333333333333
"(0.6, 1.0)",-0.3538
"(0.7, 0.0)",-0.5429333333333334
"(0.7, 0.1)",-0.5908
"(0.7, 0.2)",-0.5325333333333333
"(0.7, 0.3)",-0.5166666666666667
"(0.7, 0.4)",-0.47713333333333335
"(0.7, 0.5)",-0.33140000000000003
"(0.7, 0.6)",-0.19106666666666666
"(0.7, 0.7)",0.02686666666666664
"(0.7, 0.8)",-0.022066666666666627
"(0.7, 0.9)",-0.2236666666666667
"(0.7, 1.0)",-0.3476666666666667
"(0.8, 0.0)",-0.7099333333333333
"(0.8, 0.1)",-0.6804
"(0.8, 0.2)",-0.6656666666666666
"(0.8, 0.3)",-0.6745333333333333
"(0.8, 0.4)",-0.6477333333333333
"(0.8, 0.5)",-0.5184666666666667
"(0.8, 0.6)",-0.4697333333333333
"(0.8, 0.7)",-0.22380000000000003
"(0.8, 0.8)",-0.03766666666666669
"(0.8, 0.9)",-0.02153333333333333
"(0.8, 1.0)",-0.08679999999999993
"(0.9, 0.0)",-0.798
"(0.9, 0.1)",-0.8242666666666667
"(0.9, 0.2)",-0.8472666666666667
"(0.9, 0.3)",-0.8075333333333333
"(0.9, 0.4)",-0.7707999999999999
"(0.9, 0.5)",-0.7623333333333333
"(0.9, 0.6)",-0.6680666666666667
"(0.9, 0.7)",-0.4948
"(0.9, 0.8)",-0.32053333333333334
"(0.9, 0.9)",-0.09079999999999996
"(0.9, 1.0)",-0.17366666666666664
"(1.0, 0.0)",-0.8836666666666667
"(1.0, 0.1)",-0.9006666666666667
"(1.0, 0.2)",-0.8419333333333333
"(1.0, 0.3)",-0.8867333333333334
"(1.0, 0.4)",-0.8763333333333333
"(1.0, 0.5)",-0.775
"(1.0, 0.6)",-0.7351333333333333
"(1.0, 0.7)",-0.6070666666666666
"(1.0, 0.8)",-0.4215333333333333
"(1.0, 0.9)",-0.3809333333333333
"(1.0, 1.0)",-0.3742666666666667
