phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.10273333333333337
"(0.0, 0.2)",-0.1907333333333333
"(0.0, 0.3)",-0.26659999999999995
"(0.0, 0.4)",-0.37706666666666666
"(0.0, 0.5)",-0.43520000000000003
"(0.0, 0.6)",-0.5081333333333333
"(0.0, 0.7)",-0.5812666666666667
"(0.0, 0.8)",-0.5474
"(0.0, 0.9)",-0.5794666666666667
"(0.0, 1.0)",-0.5611333333333333
"(0.1, 0.0)",-0.09926666666666671
"(0.1, 0.1)",-0.17300000000000004
"(0.1, 0.2)",-0.2534666666666667
"(0.1, 0.3)",-0.34046666666666664
"(0.1, 0.4)",-0.43200000000000005
"(0.1, 0.5)",-0.47793333333333343
"(0.1, 0.6)",-0.5764
"(0.1, 0.7)",-0.5662
"(0.1, 0.8)",-0.5762666666666667
"(0.1, 0.9)",-0.5896
"(0.1, 1.0)",-0.5704
"(0.2, 0.0)",-0.18846666666666662
"(0.2, 0.1)",-0.25
"(0.2, 0.2)",-0.3204
"(0.2, 0.3)",-0.3745333333333333
"(0.2, 0.4)",-0.45439999999999997
"(0.2, 0.5)",-0.5328
"(0.2, 0.6)",-0.5529999999999999
"(0.2, 0.7)",-0.5904
"(0.2, 0.8)",-0.5719333333333333
"(0.2, 0.9)",-0.5842666666666667
"(0.2, 1.0)",-0.5617333333333333
"(0.3, 0.0)",-0.29213333333333324
"(0.3, 0.1)",-0.3377333333333333
"(0.3, 0.2)",-0.38666666666666666
"(0.3, 0.3)",-0.45193333333333324
"(0.3, 0.4)",-0.4676666666666666
"(0.3, 0.5)",-0.5146666666666667
"(0.3, 0.6)",-0.5915333333333334
"(0.3, 0.7)",-0.5770666666666666
"(0.3, 0.8)",-0.6334666666666666
"(0.3, 0.9)",-0.5972
"(0.3, 1.0)",-0.5921333333333334
"(0.4, 0.0)",-0.37273333333333336
"(0.4, 0.1)",-0.37793333333333334
"(0.4, 0.2)",-0.4334
"(0.4, 0.3)",-0.5024
"(0.4, 0.4)",-0.5278
"(0.4, 0.5)",-0.5608
"(0.4, 0.6)",-0.5758
"(0.4, 0.7)",-0.6110666666666666
"(0.4, 0.8)",-0.6040666666666666
"(0.4, 0.9)",-0.5346666666666666
"(0.4, 1.0)",-0.5678
"(0.5, 0.0)",-0.43520000000000003
"(0.5, 0.1)",-0.4727333333333333
"(0.5, 0.2)",-0.5064
"(0.5, 0.3)",-0.5495333333333334
"(0.5, 0.4)",-0.5509333333333333
"(0.5, 0.5)",-0.6113999999999999
"(0.5, 0.6)",-0.6189333333333333
"(0.5, 0.7)",-0.6079333333333333
"(0.5, 0.8)",-0.5997999999999999
"(0.5, 0.9)",-0.569
"(0.5, 1.0)",-0.5355333333333333
"(0.6, 0.0)",-0.5152
"(0.6, 0.1)",-0.5492
"(0.6, 0.2)",-0.5926
"(0.6, 0.3)",-0.5789333333333333
"(0.6, 0.4)",-0.631
"(0.6, 0.5)",-0.6516666666666667
"(0.6, 0.6)",-0.6036
"(0.6, 0.7)",-0.6953333333333334
"(0.6, 0.8)",-0.6436
"(0.6, 0.9)",-0.6446666666666666
"(0.6, 1.0)",-0.5744666666666667
"(0.7, 0.0)",-0.5429333333333334
"(0.7, 0.1)",-0.6035999999999999
"(0.7, 0.2)",-0.6106666666666667
"(0.7, 0.3)",-0.6253333333333334
"(0.7, 0.4)",-0.6297999999999999
"(0.7, 0.5)",-0.7102
"(0.7, 0.6)",-0.6918666666666666
"(0.7, 0.7)",-0.7280666666666666
"(0.7, 0.8)",-0.6903333333333332
"(0.7, 0.9)",-0.7076666666666667
"(0.7, 1.0)",-0.6747333333333333
"(0.8, 0.0)",-0.7099333333333333
"(0.8, 0.1)",-0.6917333333333334
"(0.8, 0.2)",-0.7263333333333333
"(0.8, 0.3)",-0.7197333333333333
"(0.8, 0.4)",-0.7704
"(0.8, 0.5)",-0.765
"(0.8, 0.6)",-0.7448
"(0.8, 0.7)",-0.7654
"(0.8, 0.8)",-0.8126
"(0.8, 0.9)",-0.8127333333333333
"(0.8, 1.0)",-0.7308
"(0.9, 0.0)",-0.798
"(0.9, 0.1)",-0.8174666666666667
"(0.9, 0.2)",-0.8647333333333334
"(0.9, 0.3)",-0.8080666666666666
"(0.9, 0.4)",-0.8338666666666666
"(0.9, 0.5)",-0.8444666666666667
"(0.9, 0.6)",-0.8671333333333333
"(0.9, 0.7)",-0.8934666666666667
"(0.9, 0.8)",-0.8712
"(0.9, 0.9)",-0.9732
"(0.9, 1.0)",-0.9203333333333334
"(1.0, 0.0)",-0.8836666666666667
"(1.0, 0.1)",-0.898
"(1.0, 0.2)",-0.8771333333333334
"(1.0, 0.3)",-0.9254
"(1.0, 0.4)",-0.9154
"(1.0, 0.5)",-0.8823333333333333
"(1.0, 0.6)",-0.8732666666666666
"(1.0, 0.7)",-0.9005333333333334
"(1.0, 0.8)",-0.9240666666666666
"(1.0, 0.9)",-0.9134666666666666
"(1.0, 1.0)",-0.9038666666666666
