phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.12799999999999975
"(0.1, 0.1)",-0.15999999999999942
"(0.1, 0.2)",-0.12799999999999975
"(0.1, 0.3)",-0.007999999999999475
"(0.1, 0.4)",-0.14400000000000013
"(0.1, 0.5)",-0.15999999999999978
"(0.1, 0.6)",-0.08800000000000026
"(0.1, 0.7)",-0.15199999999999997
"(0.1, 0.8)",-0.04800000000000004
"(0.1, 0.9)",0.00799999999999983
"(0.1, 1.0)",-0.07199999999999988
"(0.2, 0.0)",-0.6319999999999993
"(0.2, 0.1)",-0.5120000000000005
"(0.2, 0.2)",-0.4
"(0.2, 0.3)",-0.2959999999999997
"(0.2, 0.4)",-0.39999999999999963
"(0.2, 0.5)",-0.648
"(0.2, 0.6)",-0.18400000000000033
"(0.2, 0.7)",-0.18399999999999964
"(0.2, 0.8)",-0.35199999999999887
"(0.2, 0.9)",-0.1359999999999996
"(0.2, 1.0)",3.552713678800501e-16
"(0.3, 0.0)",-0.7120000000000001
"(0.3, 0.1)",-0.8160000000000004
"(0.3, 0.2)",-0.6560000000000006
"(0.3, 0.3)",-0.8800000000000001
"(0.3, 0.4)",-0.7600000000000001
"(0.3, 0.5)",-0.5199999999999996
"(0.3, 0.6)",-0.3920000000000002
"(0.3, 0.7)",-0.31999999999999956
"(0.3, 0.8)",-0.08800000000000026
"(0.3, 0.9)",-0.20799999999999982
"(0.3, 1.0)",-0.031999999999999675
"(0.4, 0.0)",-1.4079999999999995
"(0.4, 0.1)",-1.1280000000000001
"(0.4, 0.2)",-1.0720000000000003
"(0.4, 0.3)",-1.0400000000000003
"(0.4, 0.4)",-1.472
"(0.4, 0.5)",-0.72
"(0.4, 0.6)",-0.7440000000000001
"(0.4, 0.7)",-1.184
"(0.4, 0.8)",-0.5920000000000002
"(0.4, 0.9)",-0.29600000000000043
"(0.4, 1.0)",-0.3200000000000003
"(0.5, 0.0)",-1.9839999999999995
"(0.5, 0.1)",-2.056
"(0.5, 0.2)",-1.8079999999999998
"(0.5, 0.3)",-1.568
"(0.5, 0.4)",-2.008
"(0.5, 0.5)",-1.8719999999999999
"(0.5, 0.6)",-1.472
"(0.5, 0.7)",-0.9280000000000002
"(0.5, 0.8)",-0.9519999999999996
"(0.5, 0.9)",-0.8320000000000001
"(0.5, 1.0)",-0.704
"(0.6, 0.0)",-2.96
"(0.6, 0.1)",-2.9999999999999996
"(0.6, 0.2)",-2.5840000000000005
"(0.6, 0.3)",-3.487999999999999
"(0.6, 0.4)",-2.6640000000000006
"(0.6, 0.5)",-2.3920000000000003
"(0.6, 0.6)",-2.28
"(0.6, 0.7)",-2.6079999999999997
"(0.6, 0.8)",-1.8560000000000003
"(0.6, 0.9)",-1.1999999999999993
"(0.6, 1.0)",-1.136
"(0.7, 0.0)",-4.416
"(0.7, 0.1)",-4.151999999999999
"(0.7, 0.2)",-3.968
"(0.7, 0.3)",-4.431999999999999
"(0.7, 0.4)",-4.5920000000000005
"(0.7, 0.5)",-4.056
"(0.7, 0.6)",-4.264
"(0.7, 0.7)",-3.480000000000001
"(0.7, 0.8)",-3.6240000000000006
"(0.7, 0.9)",-2.3199999999999994
"(0.7, 1.0)",-2.3200000000000003
"(0.8, 0.0)",-6.344
"(0.8, 0.1)",-6.952000000000001
"(0.8, 0.2)",-5.824000000000001
"(0.8, 0.3)",-6.136000000000001
"(0.8, 0.4)",-6.191999999999999
"(0.8, 0.5)",-6.288
"(0.8, 0.6)",-5.68
"(0.8, 0.7)",-4.832000000000001
"(0.8, 0.8)",-5.456
"(0.8, 0.9)",-5.440000000000001
"(0.8, 1.0)",-4.688000000000001
"(0.9, 0.0)",-9.44
"(0.9, 0.1)",-8.608
"(0.9, 0.2)",-9.216
"(0.9, 0.3)",-8.192
"(0.9, 0.4)",-9.6
"(0.9, 0.5)",-9.0
"(0.9, 0.6)",-9.496
"(0.9, 0.7)",-7.984000000000001
"(0.9, 0.8)",-8.424000000000001
"(0.9, 0.9)",-8.568
"(0.9, 1.0)",-8.568
"(1.0, 0.0)",-10.944
"(1.0, 0.1)",-10.264000000000001
"(1.0, 0.2)",-9.848
"(1.0, 0.3)",-10.544
"(1.0, 0.4)",-10.248
"(1.0, 0.5)",-10.288
"(1.0, 0.6)",-10.879999999999999
"(1.0, 0.7)",-11.032
"(1.0, 0.8)",-10.16
"(1.0, 0.9)",-9.600000000000001
"(1.0, 1.0)",-9.496
