phi_sui,phi_rev
"(0.05, 0.05)",-0.093333333333333
"(0.05, 0.1)",-0.11999999999999993
"(0.05, 0.15)",-0.09333333333333335
"(0.05, 0.2)",-0.2533333333333335
"(0.05, 0.25)",-0.15999999999999998
"(0.05, 0.3)",-0.19999999999999982
"(0.05, 0.35)",-0.32000000000000045
"(0.05, 0.4)",-0.5200000000000001
"(0.05, 0.45)",-0.20000000000000018
"(0.05, 0.5)",-0.5733333333333329
"(0.05, 0.55)",-0.10666666666666594
"(0.05, 0.6)",-0.64
"(0.05, 0.65)",-0.36000000000000015
"(0.05, 0.7)",-0.4
"(0.05, 0.75)",-0.18666666666666706
"(0.05, 0.8)",-1.08
"(0.05, 0.85)",-0.053333333333333496
"(0.05, 0.9)",-0.4266666666666666
"(0.05, 0.95)",-0.6399999999999999
"(0.05, 1.0)",-0.8933333333333338
"(0.1, 0.05)",-0.05333333333333314
"(0.1, 0.1)",-0.10666666666666628
"(0.1, 0.15)",-0.05333333333333332
"(0.1, 0.2)",-0.15999999999999998
"(0.1, 0.25)",-0.1866666666666667
"(0.1, 0.3)",-0.34666666666666635
"(0.1, 0.35)",-0.026666666666666748
"(0.1, 0.4)",-0.3733333333333334
"(0.1, 0.45)",-0.3466666666666665
"(0.1, 0.5)",-0.3999999999999993
"(0.1, 0.55)",-0.6266666666666669
"(0.1, 0.6)",-0.7066666666666667
"(0.1, 0.65)",-0.4399999999999995
"(0.1, 0.7)",-0.3866666666666667
"(0.1, 0.75)",-0.7333333333333332
"(0.1, 0.8)",0.02666666666666657
"(0.1, 0.85)",-0.8133333333333332
"(0.1, 0.9)",-0.43999999999999984
"(0.1, 0.95)",-1.3199999999999996
"(0.1, 1.0)",-0.5600000000000005
"(0.15, 0.05)",-0.09333333333333335
"(0.15, 0.1)",-0.02666666666666657
"(0.15, 0.15)",-0.09333333333333335
"(0.15, 0.2)",-0.14666666666666667
"(0.15, 0.25)",-0.17333333333333326
"(0.15, 0.3)",-0.21333333333333346
"(0.15, 0.35)",-0.3333333333333332
"(0.15, 0.4)",-0.07999999999999989
"(0.15, 0.45)",-0.2666666666666666
"(0.15, 0.5)",-0.28000000000000025
"(0.15, 0.55)",-0.413333333333334
"(0.15, 0.6)",-0.4266666666666666
"(0.15, 0.65)",-0.26666666666666716
"(0.15, 0.7)",-0.2800000000000004
"(0.15, 0.75)",-0.3333333333333336
"(0.15, 0.8)",-0.8533333333333335
"(0.15, 0.85)",-0.5066666666666666
"(0.15, 0.9)",-1.266666666666667
"(0.15, 0.95)",-1.0
"(0.15, 1.0)",-0.8266666666666669
"(0.2, 0.05)",-0.06666666666666696
"(0.2, 0.1)",0.0
"(0.2, 0.15)",-0.22666666666666693
"(0.2, 0.2)",-0.06666666666666679
"(0.2, 0.25)",-0.06666666666666661
"(0.2, 0.3)",-0.31999999999999995
"(0.2, 0.35)",-0.06666666666666661
"(0.2, 0.4)",-0.10666666666666647
"(0.2, 0.45)",-0.5733333333333333
"(0.2, 0.5)",-0.17333333333333342
"(0.2, 0.55)",-0.6000000000000002
"(0.2, 0.6)",-0.34666666666666685
"(0.2, 0.65)",-0.34666666666666723
"(0.2, 0.7)",-0.3733333333333334
"(0.2, 0.75)",-0.6533333333333335
"(0.2, 0.8)",-0.6666666666666667
"(0.2, 0.85)",-0.7733333333333328
"(0.2, 0.9)",-0.7199999999999995
"(0.2, 0.95)",-1.4533333333333327
"(0.2, 1.0)",-0.4
"(0.25, 0.05)",-0.039999999999999855
"(0.25, 0.1)",-0.11999999999999975
"(0.25, 0.15)",-0.1200000000000001
"(0.25, 0.2)",-0.10666666666666665
"(0.25, 0.25)",-0.17333333333333342
"(0.25, 0.3)",-0.13333333333333303
"(0.25, 0.35)",-0.45333333333333314
"(0.25, 0.4)",-0.25333333333333313
"(0.25, 0.45)",-0.5866666666666666
"(0.25, 0.5)",-0.3733333333333331
"(0.25, 0.55)",-0.49333333333333335
"(0.25, 0.6)",-0.26666666666666716
"(0.25, 0.65)",-0.2666666666666668
"(0.25, 0.7)",-0.5200000000000002
"(0.25, 0.75)",-0.12000000000000029
"(0.25, 0.8)",-0.5999999999999996
"(0.25, 0.85)",-1.2933333333333334
"(0.25, 0.9)",-0.8666666666666668
"(0.25, 0.95)",-0.6666666666666672
"(0.25, 1.0)",-0.7333333333333332
"(0.3, 0.05)",-0.06666666666666679
"(0.3, 0.1)",-0.1333333333333334
"(0.3, 0.15)",-0.039999999999999855
"(0.3, 0.2)",-0.1333333333333334
"(0.3, 0.25)",-0.09333333333333318
"(0.3, 0.3)",-0.31999999999999973
"(0.3, 0.35)",-0.10666666666666665
"(0.3, 0.4)",-0.40000000000000036
"(0.3, 0.45)",-0.39999999999999963
"(0.3, 0.5)",-0.01333333333333293
"(0.3, 0.55)",-0.08000000000000078
"(0.3, 0.6)",-0.6533333333333339
"(0.3, 0.65)",-0.40000000000000036
"(0.3, 0.7)",-0.31999999999999995
"(0.3, 0.75)",-0.6
"(0.3, 0.8)",-0.8533333333333335
"(0.3, 0.85)",-0.5333333333333332
"(0.3, 0.9)",-1.3199999999999998
"(0.3, 0.95)",-0.7733333333333334
"(0.3, 1.0)",-1.6533333333333338
"(0.35, 0.05)",0.0
"(0.35, 0.1)",0.05333333333333332
"(0.35, 0.15)",-0.13333333333333322
"(0.35, 0.2)",0.0
"(0.35, 0.25)",-0.05333333333333314
"(0.35, 0.3)",-0.026666666666666748
"(0.35, 0.35)",0.11999999999999975
"(0.35, 0.4)",0.2
"(0.35, 0.45)",-0.306666666666667
"(0.35, 0.5)",-0.3733333333333329
"(0.35, 0.55)",-0.6
