phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.07560000000000003
"(0.0, 0.2)",-0.13279999999999997
"(0.0, 0.3)",-0.1971333333333333
"(0.0, 0.4)",-0.2366
"(0.0, 0.5)",-0.25826666666666664
"(0.0, 0.6)",-0.2550666666666666
"(0.0, 0.7)",-0.32266666666666666
"(0.0, 0.8)",-0.3
"(0.0, 0.9)",-0.3101333333333333
"(0.0, 1.0)",-0.29633333333333334
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.05286666666666667
"(0.1, 0.2)",-0.11073333333333332
"(0.1, 0.3)",-0.1659333333333333
"(0.1, 0.4)",-0.18846666666666667
"(0.1, 0.5)",-0.24993333333333334
"(0.1, 0.6)",-0.2664
"(0.1, 0.7)",-0.2904
"(0.1, 0.8)",-0.3138666666666667
"(0.1, 0.9)",-0.3049333333333334
"(0.1, 1.0)",-0.30006666666666665
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.036266666666666676
"(0.2, 0.2)",-0.08886666666666668
"(0.2, 0.3)",-0.12979999999999997
"(0.2, 0.4)",-0.18926666666666664
"(0.2, 0.5)",-0.22853333333333334
"(0.2, 0.6)",-0.27526666666666666
"(0.2, 0.7)",-0.2952666666666666
"(0.2, 0.8)",-0.30746666666666667
"(0.2, 0.9)",-0.304
"(0.2, 1.0)",-0.2746
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.026666666666666658
"(0.3, 0.2)",-0.06586666666666667
"(0.3, 0.3)",-0.10079999999999997
"(0.3, 0.4)",-0.14373333333333332
"(0.3, 0.5)",-0.21066666666666667
"(0.3, 0.6)",-0.23186666666666667
"(0.3, 0.7)",-0.3077333333333333
"(0.3, 0.8)",-0.25293333333333334
"(0.3, 0.9)",-0.3214
"(0.3, 1.0)",-0.2939333333333334
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.020466666666666664
"(0.4, 0.2)",-0.06373333333333334
"(0.4, 0.3)",-0.09219999999999999
"(0.4, 0.4)",-0.12159999999999999
"(0.4, 0.5)",-0.17813333333333334
"(0.4, 0.6)",-0.20266666666666666
"(0.4, 0.7)",-0.25626666666666664
"(0.4, 0.8)",-0.28379999999999994
"(0.4, 0.9)",-0.28986666666666666
"(0.4, 1.0)",-0.26333333333333336
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.0065999999999999835
"(0.5, 0.2)",-0.040466666666666665
"(0.5, 0.3)",-0.05206666666666667
"(0.5, 0.4)",-0.11039999999999997
"(0.5, 0.5)",-0.1702666666666667
"(0.5, 0.6)",-0.20353333333333334
"(0.5, 0.7)",-0.253
"(0.5, 0.8)",-0.3088666666666666
"(0.5, 0.9)",-0.3488
"(0.5, 1.0)",-0.31106666666666666
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.00953333333333333
"(0.6, 0.2)",-0.028266666666666673
"(0.6, 0.3)",-0.03639999999999999
"(0.6, 0.4)",-0.08679999999999999
"(0.6, 0.5)",-0.11680000000000001
"(0.6, 0.6)",-0.17000000000000004
"(0.6, 0.7)",-0.26500000000000007
"(0.6, 0.8)",-0.29413333333333336
"(0.6, 0.9)",-0.31273333333333336
"(0.6, 1.0)",-0.28846666666666665
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.0050000000000000105
"(0.7, 0.2)",-0.014199999999999994
"(0.7, 0.3)",-0.03973333333333332
"(0.7, 0.4)",-0.05906666666666665
"(0.7, 0.5)",-0.07539999999999998
"(0.7, 0.6)",-0.1386666666666667
"(0.7, 0.7)",-0.1739333333333333
"(0.7, 0.8)",-0.28413333333333335
"(0.7, 0.9)",-0.3006
"(0.7, 1.0)",-0.3255333333333333
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.006999999999999996
"(0.8, 0.2)",-0.015933333333333348
"(0.8, 0.3)",-0.014600000000000012
"(0.8, 0.4)",-0.044399999999999974
"(0.8, 0.5)",-0.06839999999999999
"(0.8, 0.6)",-0.08800000000000002
"(0.8, 0.7)",-0.14106666666666667
"(0.8, 0.8)",-0.22119999999999998
"(0.8, 0.9)",-0.26426666666666665
"(0.8, 1.0)",-0.388
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.0038000000000000147
"(0.9, 0.2)",0.00013333333333332754
"(0.9, 0.3)",-0.01966666666666666
"(0.9, 0.4)",-0.02026666666666665
"(0.9, 0.5)",-0.040733333333333344
"(0.9, 0.6)",-0.09346666666666666
"(0.9, 0.7)",-0.11326666666666668
"(0.9, 0.8)",-0.23360000000000003
"(0.9, 0.9)",-0.23866666666666664
"(0.9, 1.0)",-0.2704
"(1.0, 0.0)",0
"(1.0, 0.1)",0.0001333333333333284
"(1.0, 0.2)",-0.015400000000000002
"(1.0, 0.3)",-0.016266666666666665
"(1.0, 0.4)",-0.03006666666666666
"(1.0, 0.5)",-0.04546666666666666
"(1.0, 0.6)",-0.10573333333333332
"(1.0, 0.7)",-0.0924666666666667
"(1.0, 0.8)",-0.22246666666666665
"(1.0, 0.9)",-0.2776666666666667
"(1.0, 1.0)",-0.2982
