phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.04793333333333335
"(0.1, 0.1)",-0.049266666666666674
"(0.1, 0.2)",-0.03853333333333334
"(0.1, 0.3)",-0.0474
"(0.1, 0.4)",-0.030466666666666656
"(0.1, 0.5)",-0.019000000000000017
"(0.1, 0.6)",-0.01286666666666667
"(0.1, 0.7)",-0.011466666666666665
"(0.1, 0.8)",0.002199999999999985
"(0.1, 0.9)",0.0068666666666666685
"(0.1, 1.0)",-0.002933333333333324
"(0.2, 0.0)",-0.07933333333333333
"(0.2, 0.1)",-0.07859999999999998
"(0.2, 0.2)",-0.08313333333333332
"(0.2, 0.3)",-0.0754
"(0.2, 0.4)",-0.05006666666666667
"(0.2, 0.5)",-0.04833333333333333
"(0.2, 0.6)",-0.025600000000000005
"(0.2, 0.7)",-0.022999999999999996
"(0.2, 0.8)",-0.006333333333333337
"(0.2, 0.9)",-0.003133333333333351
"(0.2, 1.0)",-0.0060666666666666725
"(0.3, 0.0)",-0.09813333333333334
"(0.3, 0.1)",-0.13419999999999996
"(0.3, 0.2)",-0.11286666666666666
"(0.3, 0.3)",-0.10493333333333334
"(0.3, 0.4)",-0.08593333333333332
"(0.3, 0.5)",-0.05059999999999997
"(0.3, 0.6)",-0.04526666666666667
"(0.3, 0.7)",-0.015400000000000002
"(0.3, 0.8)",-0.01306666666666665
"(0.3, 0.9)",-0.010933333333333333
"(0.3, 1.0)",-0.00593333333333333
"(0.4, 0.0)",-0.11220000000000006
"(0.4, 0.1)",-0.1390666666666667
"(0.4, 0.2)",-0.13686666666666666
"(0.4, 0.3)",-0.11960000000000003
"(0.4, 0.4)",-0.11186666666666663
"(0.4, 0.5)",-0.09380000000000001
"(0.4, 0.6)",-0.08253333333333328
"(0.4, 0.7)",-0.034333333333333334
"(0.4, 0.8)",-0.025400000000000002
"(0.4, 0.9)",-0.004333333333333327
"(0.4, 1.0)",-0.016800000000000006
"(0.5, 0.0)",-0.11573333333333338
"(0.5, 0.1)",-0.1316
"(0.5, 0.2)",-0.16166666666666663
"(0.5, 0.3)",-0.16073333333333334
"(0.5, 0.4)",-0.1290666666666667
"(0.5, 0.5)",-0.10306666666666671
"(0.5, 0.6)",-0.04900000000000001
"(0.5, 0.7)",-0.035333333333333355
"(0.5, 0.8)",-0.03233333333333333
"(0.5, 0.9)",0.04046666666666668
"(0.5, 1.0)",0.0008000000000000123
"(0.6, 0.0)",-0.08893333333333335
"(0.6, 0.1)",-0.1378666666666667
"(0.6, 0.2)",-0.13140000000000004
"(0.6, 0.3)",-0.15686666666666668
"(0.6, 0.4)",-0.1182666666666667
"(0.6, 0.5)",-0.08619999999999998
"(0.6, 0.6)",-0.09926666666666667
"(0.6, 0.7)",-0.05473333333333335
"(0.6, 0.8)",-0.0492
"(0.6, 0.9)",-0.013399999999999997
"(0.6, 1.0)",-0.01346666666666667
"(0.7, 0.0)",-0.0678666666666667
"(0.7, 0.1)",-0.10280000000000002
"(0.7, 0.2)",-0.12006666666666667
"(0.7, 0.3)",-0.09399999999999997
"(0.7, 0.4)",-0.1159333333333333
"(0.7, 0.5)",-0.13446666666666668
"(0.7, 0.6)",-0.11473333333333333
"(0.7, 0.7)",-0.05059999999999999
"(0.7, 0.8)",-0.008066666666666665
"(0.7, 0.9)",-0.0346
"(0.7, 1.0)",0.01573333333333334
"(0.8, 0.0)",-0.08459999999999997
"(0.8, 0.1)",-0.05586666666666669
"(0.8, 0.2)",-0.09033333333333332
"(0.8, 0.3)",-0.07766666666666665
"(0.8, 0.4)",-0.0764
"(0.8, 0.5)",-0.08533333333333337
"(0.8, 0.6)",-0.06893333333333335
"(0.8, 0.7)",-0.03666666666666667
"(0.8, 0.8)",-0.04220000000000001
"(0.8, 0.9)",-0.0452
"(0.8, 1.0)",0.0028000000000000212
"(0.9, 0.0)",-0.02346666666666666
"(0.9, 0.1)",-0.062333333333333296
"(0.9, 0.2)",-0.05239999999999997
"(0.9, 0.3)",-0.052799999999999986
"(0.9, 0.4)",-0.06439999999999996
"(0.9, 0.5)",-0.07099999999999997
"(0.9, 0.6)",-0.05106666666666666
"(0.9, 0.7)",-0.028133333333333295
"(0.9, 0.8)",0.024733333333333336
"(0.9, 0.9)",-0.028266666666666662
"(0.9, 1.0)",-0.0022000000000000205
"(1.0, 0.0)",0.0048666666666666615
"(1.0, 0.1)",-0.03299999999999999
"(1.0, 0.2)",-0.02813333333333334
"(1.0, 0.3)",-0.05926666666666665
"(1.0, 0.4)",-0.045000000000000005
"(1.0, 0.5)",-0.022466666666666673
"(1.0, 0.6)",0.008133333333333336
"(1.0, 0.7)",-0.0592666666666667
"(1.0, 0.8)",0.0027999999999999367
"(1.0, 0.9)",-0.0007333333333333183
"(1.0, 1.0)",0.0116
