phi_sui,phi_rev
"(0.0, 0.0)",0.0
"(0.0, 0.1)",-0.08304000000000006
"(0.0, 0.2)",-0.14960000000000004
"(0.0, 0.3)",-0.20296000000000006
"(0.0, 0.4)",-0.2518800000000001
"(0.0, 0.5)",-0.27196
"(0.0, 0.6)",-0.28043999999999997
"(0.0, 0.7)",-0.2918800000000001
"(0.0, 0.8)",-0.2736800000000001
"(0.0, 0.9)",-0.29644
"(0.0, 1.0)",-0.26552000000000003
"(0.1, 0.0)",-0.06156
"(0.1, 0.1)",0.0025200000000001736
"(0.1, 0.2)",-0.06083999999999997
"(0.1, 0.3)",-0.13152000000000008
"(0.1, 0.4)",-0.19032
"(0.1, 0.5)",-0.2226
"(0.1, 0.6)",-0.24636000000000008
"(0.1, 0.7)",-0.2662799999999999
"(0.1, 0.8)",-0.27108000000000004
"(0.1, 0.9)",-0.28187999999999996
"(0.1, 1.0)",-0.3301199999999999
"(0.2, 0.0)",-0.08672000000000007
"(0.2, 0.1)",-0.04615999999999999
"(0.2, 0.2)",0.012080000000000026
"(0.2, 0.3)",-0.05395999999999998
"(0.2, 0.4)",-0.1483200000000001
"(0.2, 0.5)",-0.1808
"(0.2, 0.6)",-0.21195999999999995
"(0.2, 0.7)",-0.2594000000000001
"(0.2, 0.8)",-0.20855999999999994
"(0.2, 0.9)",-0.2613999999999999
"(0.2, 1.0)",-0.30428
"(0.3, 0.0)",-0.12208
"(0.3, 0.1)",-0.11431999999999998
"(0.3, 0.2)",-0.07839999999999994
"(0.3, 0.3)",0.004919999999999781
"(0.3, 0.4)",-0.054199999999999915
"(0.3, 0.5)",-0.14164
"(0.3, 0.6)",-0.16955999999999993
"(0.3, 0.7)",-0.2109200000000001
"(0.3, 0.8)",-0.31803999999999993
"(0.3, 0.9)",-0.2887199999999999
"(0.3, 1.0)",-0.3038799999999999
"(0.4, 0.0)",-0.16348000000000001
"(0.4, 0.1)",-0.15339999999999995
"(0.4, 0.2)",-0.11143999999999973
"(0.4, 0.3)",-0.08843999999999999
"(0.4, 0.4)",-0.0013600000000000706
"(0.4, 0.5)",-0.058919999999999854
"(0.4, 0.6)",-0.1418000000000002
"(0.4, 0.7)",-0.22735999999999998
"(0.4, 0.8)",-0.2201200000000001
"(0.4, 0.9)",-0.28768000000000005
"(0.4, 1.0)",-0.27764000000000005
"(0.5, 0.0)",-0.17952
"(0.5, 0.1)",-0.18872000000000005
"(0.5, 0.2)",-0.14615999999999993
"(0.5, 0.3)",-0.13187999999999991
"(0.5, 0.4)",-0.10116000000000003
"(0.5, 0.5)",-0.018719999999999976
"(0.5, 0.6)",-0.11092000000000002
"(0.5, 0.7)",-0.2042800000000001
"(0.5, 0.8)",-0.18732000000000013
"(0.5, 0.9)",-0.21216000000000027
"(0.5, 1.0)",-0.2329999999999999
"(0.6, 0.0)",-0.17496
"(0.6, 0.1)",-0.18396
"(0.6, 0.2)",-0.20195999999999995
"(0.6, 0.3)",-0.18067999999999992
"(0.6, 0.4)",-0.11399999999999998
"(0.6, 0.5)",-0.09099999999999982
"(0.6, 0.6)",-0.008520000000000024
"(0.6, 0.7)",-0.11268000000000007
"(0.6, 0.8)",-0.2620799999999999
"(0.6, 0.9)",-0.30007999999999974
"(0.6, 1.0)",-0.28632
"(0.7, 0.0)",-0.1583199999999999
"(0.7, 0.1)",-0.2164000000000002
"(0.7, 0.2)",-0.19596000000000008
"(0.7, 0.3)",-0.20276000000000008
"(0.7, 0.4)",-0.13224000000000016
"(0.7, 0.5)",-0.17359999999999998
"(0.7, 0.6)",-0.0956399999999999
"(0.7, 0.7)",-0.034440000000000005
"(0.7, 0.8)",-0.0972800000000001
"(0.7, 0.9)",-0.22776000000000005
"(0.7, 1.0)",-0.2928800000000001
"(0.8, 0.0)",-0.1575200000000001
"(0.8, 0.1)",-0.14231999999999997
"(0.8, 0.2)",-0.15916000000000005
"(0.8, 0.3)",-0.20687999999999995
"(0.8, 0.4)",-0.18607999999999983
"(0.8, 0.5)",-0.12704
"(0.8, 0.6)",-0.14092000000000005
"(0.8, 0.7)",-0.06343999999999986
"(0.8, 0.8)",0.023999999999999973
"(0.8, 0.9)",-0.20476000000000022
"(0.8, 1.0)",-0.3698800000000002
"(0.9, 0.0)",-0.1207199999999998
"(0.9, 0.1)",-0.1289199999999996
"(0.9, 0.2)",-0.10752000000000013
"(0.9, 0.3)",-0.15039999999999998
"(0.9, 0.4)",-0.11304
"(0.9, 0.5)",-0.13115999999999992
"(0.9, 0.6)",-0.13344000000000028
"(0.9, 0.7)",-0.09351999999999994
"(0.9, 0.8)",-0.04539999999999981
"(0.9, 0.9)",-0.031160000000000146
"(0.9, 1.0)",-0.25831999999999977
"(1.0, 0.0)",-0.07768000000000007
"(1.0, 0.1)",-0.015360000000000056
"(1.0, 0.2)",-0.037520000000000046
"(1.0, 0.3)",-0.030920000000000038
"(1.0, 0.4)",-0.0317600000000001
"(1.0, 0.5)",-0.006599999999999604
"(1.0, 0.6)",-0.027319999999999935
"(1.0, 0.7)",-0.035160000000000094
"(1.0, 0.8)",0.018240000000000242
"(1.0, 0.9)",0.17547999999999994
"(1.0, 1.0)",0.2527200000000003
