phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.14120000000000005
"(0.0, 0.2)",-0.3363333333333333
"(0.0, 0.3)",-0.5705333333333332
"(0.0, 0.4)",-0.8528
"(0.0, 0.5)",-1.2033333333333334
"(0.0, 0.6)",-1.6026
"(0.0, 0.7)",-1.9385333333333334
"(0.0, 0.8)",-2.126533333333333
"(0.0, 0.9)",-2.094533333333333
"(0.0, 1.0)",-1.9793333333333334
"(0.1, 0.0)",-0.1311333333333334
"(0.1, 0.1)",-0.2434000000000001
"(0.1, 0.2)",-0.43753333333333333
"(0.1, 0.3)",-0.6136666666666667
"(0.1, 0.4)",-0.8677999999999999
"(0.1, 0.5)",-1.2262666666666666
"(0.1, 0.6)",-1.6136
"(0.1, 0.7)",-1.9636
"(0.1, 0.8)",-2.0974666666666666
"(0.1, 0.9)",-2.0231333333333335
"(0.1, 1.0)",-1.9285999999999999
"(0.2, 0.0)",-0.2776
"(0.2, 0.1)",-0.3606666666666667
"(0.2, 0.2)",-0.47806666666666664
"(0.2, 0.3)",-0.7171333333333333
"(0.2, 0.4)",-0.9249999999999999
"(0.2, 0.5)",-1.2647333333333335
"(0.2, 0.6)",-1.6142666666666667
"(0.2, 0.7)",-1.9513333333333334
"(0.2, 0.8)",-2.0771333333333333
"(0.2, 0.9)",-2.021266666666667
"(0.2, 1.0)",-1.9212
"(0.3, 0.0)",-0.43886666666666657
"(0.3, 0.1)",-0.5033333333333333
"(0.3, 0.2)",-0.6147333333333332
"(0.3, 0.3)",-0.7804666666666666
"(0.3, 0.4)",-1.0429333333333333
"(0.3, 0.5)",-1.2925333333333333
"(0.3, 0.6)",-1.6513333333333333
"(0.3, 0.7)",-1.927
"(0.3, 0.8)",-2.0920666666666663
"(0.3, 0.9)",-2.0163333333333333
"(0.3, 1.0)",-1.8461333333333334
"(0.4, 0.0)",-0.6042
"(0.4, 0.1)",-0.6805333333333333
"(0.4, 0.2)",-0.7719999999999999
"(0.4, 0.3)",-0.9059999999999999
"(0.4, 0.4)",-1.0732666666666666
"(0.4, 0.5)",-1.3768
"(0.4, 0.6)",-1.6576666666666666
"(0.4, 0.7)",-1.9426666666666665
"(0.4, 0.8)",-2.0356
"(0.4, 0.9)",-1.9764
"(0.4, 1.0)",-1.9315333333333333
"(0.5, 0.0)",-0.7563333333333333
"(0.5, 0.1)",-0.8309333333333334
"(0.5, 0.2)",-0.9126000000000001
"(0.5, 0.3)",-1.02
"(0.5, 0.4)",-1.1827333333333332
"(0.5, 0.5)",-1.4103333333333334
"(0.5, 0.6)",-1.6877333333333335
"(0.5, 0.7)",-1.9965333333333335
"(0.5, 0.8)",-2.0742
"(0.5, 0.9)",-2.0159333333333334
"(0.5, 1.0)",-1.9531333333333334
"(0.6, 0.0)",-0.901
"(0.6, 0.1)",-0.9294
"(0.6, 0.2)",-0.9860666666666666
"(0.6, 0.3)",-1.0654000000000001
"(0.6, 0.4)",-1.2242666666666668
"(0.6, 0.5)",-1.459
"(0.6, 0.6)",-1.6828
"(0.6, 0.7)",-2.0127333333333333
"(0.6, 0.8)",-2.1253333333333333
"(0.6, 0.9)",-2.1008
"(0.6, 1.0)",-2.1098666666666666
"(0.7, 0.0)",-0.8906
"(0.7, 0.1)",-0.882
"(0.7, 0.2)",-0.9474666666666667
"(0.7, 0.3)",-1.0406
"(0.7, 0.4)",-1.202
"(0.7, 0.5)",-1.3648666666666667
"(0.7, 0.6)",-1.6166666666666667
"(0.7, 0.7)",-1.9366666666666665
"(0.7, 0.8)",-2.2148000000000003
"(0.7, 0.9)",-2.2187333333333332
"(0.7, 1.0)",-2.3027333333333333
"(0.8, 0.0)",-0.6789333333333333
"(0.8, 0.1)",-0.6912666666666667
"(0.8, 0.2)",-0.8144666666666667
"(0.8, 0.3)",-0.8389333333333333
"(0.8, 0.4)",-0.9722666666666666
"(0.8, 0.5)",-1.1648666666666667
"(0.8, 0.6)",-1.336
"(0.8, 0.7)",-1.7850666666666666
"(0.8, 0.8)",-2.0846666666666667
"(0.8, 0.9)",-2.3224666666666667
"(0.8, 1.0)",-2.4594666666666662
"(0.9, 0.0)",-0.38993333333333335
"(0.9, 0.1)",-0.45000000000000007
"(0.9, 0.2)",-0.49246666666666666
"(0.9, 0.3)",-0.5542
"(0.9, 0.4)",-0.6334666666666666
"(0.9, 0.5)",-0.7908666666666666
"(0.9, 0.6)",-1.0564666666666667
"(0.9, 0.7)",-1.4198666666666666
"(0.9, 0.8)",-1.8497333333333335
"(0.9, 0.9)",-2.1856
"(0.9, 1.0)",-2.3848
"(1.0, 0.0)",-0.24653333333333333
"(1.0, 0.1)",-0.2936
"(1.0, 0.2)",-0.30086666666666667
"(1.0, 0.3)",-0.3599333333333334
"(1.0, 0.4)",-0.46599999999999997
"(1.0, 0.5)",-0.6266666666666667
"(1.0, 0.6)",-0.8153999999999999
"(1.0, 0.7)",-1.3055999999999999
"(1.0, 0.8)",-1.6487333333333334
"(1.0, 0.9)",-2.0628
"(1.0, 1.0)",-2.1715333333333335
