phi_sui,phi_rev
"(0.0, 0.0)",0.0
"(0.0, 0.1)",-0.07656000000000004
"(0.0, 0.2)",-0.14383999999999994
"(0.0, 0.3)",-0.1800400000000001
"(0.0, 0.4)",-0.23251999999999987
"(0.0, 0.5)",-0.27332
"(0.0, 0.6)",-0.27891999999999995
"(0.0, 0.7)",-0.27875999999999995
"(0.0, 0.8)",-0.21552000000000013
"(0.0, 0.9)",-0.24588000000000004
"(0.0, 1.0)",-0.12028000000000011
"(0.1, 0.0)",0.0
"(0.1, 0.1)",-0.06964000000000012
"(0.1, 0.2)",-0.11788
"(0.1, 0.3)",-0.17151999999999995
"(0.1, 0.4)",-0.23999999999999994
"(0.1, 0.5)",-0.27836000000000005
"(0.1, 0.6)",-0.3271199999999999
"(0.1, 0.7)",-0.32016
"(0.1, 0.8)",-0.2759600000000001
"(0.1, 0.9)",-0.24263999999999994
"(0.1, 1.0)",-0.17983999999999994
"(0.2, 0.0)",0.0
"(0.2, 0.1)",-0.04756000000000008
"(0.2, 0.2)",-0.09004000000000004
"(0.2, 0.3)",-0.16268000000000005
"(0.2, 0.4)",-0.21064000000000005
"(0.2, 0.5)",-0.26392000000000004
"(0.2, 0.6)",-0.27096
"(0.2, 0.7)",-0.3132399999999999
"(0.2, 0.8)",-0.28188
"(0.2, 0.9)",-0.24372000000000033
"(0.2, 1.0)",-0.25183999999999984
"(0.3, 0.0)",0.0
"(0.3, 0.1)",-0.037240000000000016
"(0.3, 0.2)",-0.08064000000000007
"(0.3, 0.3)",-0.13864
"(0.3, 0.4)",-0.17547999999999994
"(0.3, 0.5)",-0.25748
"(0.3, 0.6)",-0.28056000000000003
"(0.3, 0.7)",-0.28336
"(0.3, 0.8)",-0.3150799999999998
"(0.3, 0.9)",-0.28543999999999997
"(0.3, 1.0)",-0.22812000000000002
"(0.4, 0.0)",0.0
"(0.4, 0.1)",-0.02963999999999998
"(0.4, 0.2)",-0.06316000000000005
"(0.4, 0.3)",-0.08696000000000007
"(0.4, 0.4)",-0.14488
"(0.4, 0.5)",-0.16867999999999994
"(0.4, 0.6)",-0.19927999999999993
"(0.4, 0.7)",-0.266
"(0.4, 0.8)",-0.2733999999999998
"(0.4, 0.9)",-0.24255999999999997
"(0.4, 1.0)",-0.21440000000000012
"(0.5, 0.0)",0.0
"(0.5, 0.1)",-0.019199999999999932
"(0.5, 0.2)",-0.04444000000000004
"(0.5, 0.3)",-0.08372000000000004
"(0.5, 0.4)",-0.12620000000000003
"(0.5, 0.5)",-0.17296000000000006
"(0.5, 0.6)",-0.18647999999999998
"(0.5, 0.7)",-0.22680000000000003
"(0.5, 0.8)",-0.2548799999999999
"(0.5, 0.9)",-0.29392000000000007
"(0.5, 1.0)",-0.16392000000000004
"(0.6, 0.0)",0.0
"(0.6, 0.1)",-0.008839999999999954
"(0.6, 0.2)",-0.020800000000000013
"(0.6, 0.3)",-0.03976000000000009
"(0.6, 0.4)",-0.06260000000000004
"(0.6, 0.5)",-0.12096000000000003
"(0.6, 0.6)",-0.17075999999999988
"(0.6, 0.7)",-0.20764000000000002
"(0.6, 0.8)",-0.21644000000000008
"(0.6, 0.9)",-0.23151999999999978
"(0.6, 1.0)",-0.13343999999999995
"(0.7, 0.0)",0.0
"(0.7, 0.1)",-0.005959999999999987
"(0.7, 0.2)",-0.008520000000000045
"(0.7, 0.3)",-0.021119999999999996
"(0.7, 0.4)",-0.03159999999999998
"(0.7, 0.5)",-0.08408000000000007
"(0.7, 0.6)",-0.09283999999999998
"(0.7, 0.7)",-0.09320000000000006
"(0.7, 0.8)",-0.13856
"(0.7, 0.9)",-0.10488000000000014
"(0.7, 1.0)",-0.07464
"(0.8, 0.0)",0.0
"(0.8, 0.1)",-0.004959999999999944
"(0.8, 0.2)",-0.003559999999999967
"(0.8, 0.3)",-0.004800000000000097
"(0.8, 0.4)",-0.02064000000000008
"(0.8, 0.5)",-0.03568000000000007
"(0.8, 0.6)",-0.03724000000000004
"(0.8, 0.7)",-0.06535999999999996
"(0.8, 0.8)",-0.14407999999999993
"(0.8, 0.9)",-0.0689199999999999
"(0.8, 1.0)",-0.08000000000000015
"(0.9, 0.0)",0.0
"(0.9, 0.1)",0.00039999999999992044
"(0.9, 0.2)",-3.9999999999928094e-05
"(0.9, 0.3)",0.0013599999999999355
"(0.9, 0.4)",-0.0020799999999998988
"(0.9, 0.5)",0.004119999999999954
"(0.9, 0.6)",-0.010519999999999967
"(0.9, 0.7)",-0.04476000000000002
"(0.9, 0.8)",-0.05363999999999992
"(0.9, 0.9)",-0.16744000000000017
"(0.9, 1.0)",-0.09128000000000011
"(1.0, 0.0)",0.0
"(1.0, 0.1)",0.0014799999999999614
"(1.0, 0.2)",0.005720000000000063
"(1.0, 0.3)",-0.005920000000000051
"(1.0, 0.4)",-0.009000000000000036
"(1.0, 0.5)",-0.0013199999999998794
"(1.0, 0.6)",0.021920000000000016
"(1.0, 0.7)",0.005279999999999973
"(1.0, 0.8)",-0.02080000000000007
"(1.0, 0.9)",-0.11788
"(1.0, 1.0)",0.22624000000000005
