phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.10000000000000005
"(0.0, 0.2)",-0.26659999999999995
"(0.0, 0.3)",-0.4775999999999999
"(0.0, 0.4)",-0.7357333333333332
"(0.0, 0.5)",-1.0478
"(0.0, 0.6)",-1.4661333333333333
"(0.0, 0.7)",-1.7557333333333334
"(0.0, 0.8)",-2.0815333333333332
"(0.0, 0.9)",-2.253
"(0.0, 1.0)",-2.3626
"(0.1, 0.0)",-0.10606666666666673
"(0.1, 0.1)",0.005000000000000115
"(0.1, 0.2)",-0.05806666666666652
"(0.1, 0.3)",-0.25779999999999986
"(0.1, 0.4)",-0.5310666666666665
"(0.1, 0.5)",-0.9109333333333333
"(0.1, 0.6)",-1.2848
"(0.1, 0.7)",-1.6547333333333332
"(0.1, 0.8)",-1.9376666666666666
"(0.1, 0.9)",-2.1750666666666665
"(0.1, 1.0)",-2.1946666666666665
"(0.2, 0.0)",-0.2887333333333333
"(0.2, 0.1)",-0.10293333333333321
"(0.2, 0.2)",-0.001199999999999892
"(0.2, 0.3)",-0.025199999999999858
"(0.2, 0.4)",-0.2837999999999999
"(0.2, 0.5)",-0.6566
"(0.2, 0.6)",-1.0675333333333332
"(0.2, 0.7)",-1.4367999999999999
"(0.2, 0.8)",-1.7176666666666667
"(0.2, 0.9)",-1.9706
"(0.2, 1.0)",-2.1234666666666664
"(0.3, 0.0)",-0.5163999999999999
"(0.3, 0.1)",-0.35853333333333315
"(0.3, 0.2)",-0.15953333333333322
"(0.3, 0.3)",0.02353333333333342
"(0.3, 0.4)",-0.011733333333333299
"(0.3, 0.5)",-0.2875333333333333
"(0.3, 0.6)",-0.6796
"(0.3, 0.7)",-1.1896
"(0.3, 0.8)",-1.4957333333333334
"(0.3, 0.9)",-1.7402
"(0.3, 1.0)",-1.8837333333333333
"(0.4, 0.0)",-0.8652
"(0.4, 0.1)",-0.7067333333333332
"(0.4, 0.2)",-0.4985333333333332
"(0.4, 0.3)",-0.17773333333333327
"(0.4, 0.4)",0.04899999999999997
"(0.4, 0.5)",0.050133333333333245
"(0.4, 0.6)",-0.30933333333333335
"(0.4, 0.7)",-0.7271333333333334
"(0.4, 0.8)",-1.1840666666666668
"(0.4, 0.9)",-1.4440666666666668
"(0.4, 1.0)",-1.5684666666666667
"(0.5, 0.0)",-1.3064
"(0.5, 0.1)",-1.198
"(0.5, 0.2)",-0.9887333333333332
"(0.5, 0.3)",-0.6850666666666667
"(0.5, 0.4)",-0.24833333333333338
"(0.5, 0.5)",0.12373333333333329
"(0.5, 0.6)",0.20559999999999995
"(0.5, 0.7)",-0.13233333333333333
"(0.5, 0.8)",-0.5241333333333333
"(0.5, 0.9)",-0.8426
"(0.5, 1.0)",-1.1090666666666666
"(0.6, 0.0)",-1.9614
"(0.6, 0.1)",-1.8370666666666666
"(0.6, 0.2)",-1.6690666666666667
"(0.6, 0.3)",-1.4358666666666666
"(0.6, 0.4)",-0.9678666666666667
"(0.6, 0.5)",-0.3334666666666667
"(0.6, 0.6)",0.2888666666666666
"(0.6, 0.7)",0.4452
"(0.6, 0.8)",0.30873333333333336
"(0.6, 0.9)",-0.04826666666666672
"(0.6, 1.0)",-0.2637333333333333
"(0.7, 0.0)",-2.792333333333333
"(0.7, 0.1)",-2.6110666666666664
"(0.7, 0.2)",-2.5151333333333334
"(0.7, 0.3)",-2.2831333333333332
"(0.7, 0.4)",-1.9027333333333334
"(0.7, 0.5)",-1.3014000000000001
"(0.7, 0.6)",-0.36879999999999996
"(0.7, 0.7)",0.6166
"(0.7, 0.8)",1.0605333333333333
"(0.7, 0.9)",0.9144
"(0.7, 1.0)",0.764
"(0.8, 0.0)",-3.5853333333333333
"(0.8, 0.1)",-3.4641333333333333
"(0.8, 0.2)",-3.4452
"(0.8, 0.3)",-3.2078666666666664
"(0.8, 0.4)",-2.9172000000000002
"(0.8, 0.5)",-2.4591333333333334
"(0.8, 0.6)",-1.4623333333333335
"(0.8, 0.7)",-0.2132
"(0.8, 0.8)",0.9468666666666666
"(0.8, 0.9)",1.5249333333333335
"(0.8, 1.0)",1.683
"(0.9, 0.0)",-4.244933333333333
"(0.9, 0.1)",-4.2282
"(0.9, 0.2)",-4.134933333333334
"(0.9, 0.3)",-4.0456
"(0.9, 0.4)",-3.8414
"(0.9, 0.5)",-3.2946
"(0.9, 0.6)",-2.6473333333333335
"(0.9, 0.7)",-1.4659333333333335
"(0.9, 0.8)",-0.2176
"(0.9, 0.9)",1.0557333333333334
"(0.9, 1.0)",1.4237333333333333
"(1.0, 0.0)",-4.5752
"(1.0, 0.1)",-4.561933333333333
"(1.0, 0.2)",-4.479533333333333
"(1.0, 0.3)",-4.356733333333334
"(1.0, 0.4)",-4.142666666666667
"(1.0, 0.5)",-3.708666666666667
"(1.0, 0.6)",-3.0926666666666667
"(1.0, 0.7)",-1.9478
"(1.0, 0.8)",-0.4801333333333333
"(1.0, 0.9)",0.4509333333333333
"(1.0, 1.0)",0.9058666666666667
