phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.19393333333333343
"(0.1, 0.1)",-0.1937333333333334
"(0.1, 0.2)",-0.1849333333333334
"(0.1, 0.3)",-0.1561333333333334
"(0.1, 0.4)",-0.1429333333333334
"(0.1, 0.5)",-0.11746666666666673
"(0.1, 0.6)",-0.10400000000000005
"(0.1, 0.7)",-0.08706666666666672
"(0.1, 0.8)",-0.061533333333333357
"(0.1, 0.9)",-0.05146666666666671
"(0.1, 1.0)",-0.053733333333333355
"(0.2, 0.0)",-0.4506
"(0.2, 0.1)",-0.4342666666666667
"(0.2, 0.2)",-0.41713333333333336
"(0.2, 0.3)",-0.37446666666666667
"(0.2, 0.4)",-0.3564666666666667
"(0.2, 0.5)",-0.31333333333333335
"(0.2, 0.6)",-0.2822666666666667
"(0.2, 0.7)",-0.21513333333333337
"(0.2, 0.8)",-0.19046666666666673
"(0.2, 0.9)",-0.15740000000000004
"(0.2, 1.0)",-0.14620000000000002
"(0.3, 0.0)",-0.7484
"(0.3, 0.1)",-0.7356666666666666
"(0.3, 0.2)",-0.7318666666666667
"(0.3, 0.3)",-0.6944666666666667
"(0.3, 0.4)",-0.6526666666666666
"(0.3, 0.5)",-0.5663333333333334
"(0.3, 0.6)",-0.5251333333333333
"(0.3, 0.7)",-0.4462666666666667
"(0.3, 0.8)",-0.37046666666666667
"(0.3, 0.9)",-0.29333333333333333
"(0.3, 1.0)",-0.2804666666666667
"(0.4, 0.0)",-1.1594666666666666
"(0.4, 0.1)",-1.1208
"(0.4, 0.2)",-1.1148666666666667
"(0.4, 0.3)",-1.0956666666666666
"(0.4, 0.4)",-1.0148
"(0.4, 0.5)",-0.9626666666666667
"(0.4, 0.6)",-0.8443333333333333
"(0.4, 0.7)",-0.7443333333333333
"(0.4, 0.8)",-0.6019333333333333
"(0.4, 0.9)",-0.5492666666666667
"(0.4, 1.0)",-0.48633333333333334
"(0.5, 0.0)",-1.7206666666666666
"(0.5, 0.1)",-1.7418666666666667
"(0.5, 0.2)",-1.6643333333333334
"(0.5, 0.3)",-1.6688666666666667
"(0.5, 0.4)",-1.5860666666666667
"(0.5, 0.5)",-1.5029333333333332
"(0.5, 0.6)",-1.4066666666666667
"(0.5, 0.7)",-1.2402666666666666
"(0.5, 0.8)",-1.0879333333333334
"(0.5, 0.9)",-0.9162
"(0.5, 1.0)",-0.8170666666666666
"(0.6, 0.0)",-2.4966
"(0.6, 0.1)",-2.409666666666667
"(0.6, 0.2)",-2.4462
"(0.6, 0.3)",-2.4178
"(0.6, 0.4)",-2.3442
"(0.6, 0.5)",-2.2122
"(0.6, 0.6)",-2.118933333333333
"(0.6, 0.7)",-1.9564666666666668
"(0.6, 0.8)",-1.7824666666666666
"(0.6, 0.9)",-1.5545333333333333
"(0.6, 1.0)",-1.4280666666666666
"(0.7, 0.0)",-3.396733333333333
"(0.7, 0.1)",-3.331933333333333
"(0.7, 0.2)",-3.3711333333333333
"(0.7, 0.3)",-3.3192666666666666
"(0.7, 0.4)",-3.254
"(0.7, 0.5)",-3.1813333333333333
"(0.7, 0.6)",-3.0998666666666668
"(0.7, 0.7)",-2.936733333333333
"(0.7, 0.8)",-2.7260666666666666
"(0.7, 0.9)",-2.4668
"(0.7, 1.0)",-2.392
"(0.8, 0.0)",-4.325333333333333
"(0.8, 0.1)",-4.278933333333334
"(0.8, 0.2)",-4.3642
"(0.8, 0.3)",-4.2927333333333335
"(0.8, 0.4)",-4.3087333333333335
"(0.8, 0.5)",-4.265333333333333
"(0.8, 0.6)",-4.1702
"(0.8, 0.7)",-4.002
"(0.8, 0.8)",-3.845466666666667
"(0.8, 0.9)",-3.6472
"(0.8, 1.0)",-3.6248
"(0.9, 0.0)",-5.2032
"(0.9, 0.1)",-5.1514
"(0.9, 0.2)",-5.145066666666667
"(0.9, 0.3)",-5.119
"(0.9, 0.4)",-5.0384
"(0.9, 0.5)",-5.089066666666667
"(0.9, 0.6)",-5.089333333333333
"(0.9, 0.7)",-5.0014
"(0.9, 0.8)",-4.820133333333334
"(0.9, 0.9)",-4.710266666666667
"(0.9, 1.0)",-4.731733333333334
"(1.0, 0.0)",-5.535066666666666
"(1.0, 0.1)",-5.4882
"(1.0, 0.2)",-5.443533333333333
"(1.0, 0.3)",-5.472
"(1.0, 0.4)",-5.433666666666666
"(1.0, 0.5)",-5.4138
"(1.0, 0.6)",-5.321
"(1.0, 0.7)",-5.261133333333333
"(1.0, 0.8)",-5.2538
"(1.0, 0.9)",-5.213533333333333
"(1.0, 1.0)",-5.209666666666666
