phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.02926666666666667
"(0.0, 0.2)",-0.05039999999999999
"(0.0, 0.3)",-0.05493333333333333
"(0.0, 0.4)",-0.052066666666666664
"(0.0, 0.5)",-0.05713333333333332
"(0.0, 0.6)",-0.05226666666666668
"(0.0, 0.7)",-0.05279999999999999
"(0.0, 0.8)",-0.05166666666666668
"(0.0, 0.9)",-0.04186666666666668
"(0.0, 1.0)",-0.030866666666666674
"(0.1, 0.0)",-0.042933333333333344
"(0.1, 0.1)",-0.06293333333333337
"(0.1, 0.2)",-0.06646666666666663
"(0.1, 0.3)",-0.0702
"(0.1, 0.4)",-0.07660000000000003
"(0.1, 0.5)",-0.08326666666666664
"(0.1, 0.6)",-0.0773333333333333
"(0.1, 0.7)",-0.05159999999999999
"(0.1, 0.8)",-0.05773333333333334
"(0.1, 0.9)",-0.06926666666666666
"(0.1, 1.0)",-0.030133333333333345
"(0.2, 0.0)",-0.059733333333333326
"(0.2, 0.1)",-0.06620000000000001
"(0.2, 0.2)",-0.07500000000000001
"(0.2, 0.3)",-0.06160000000000002
"(0.2, 0.4)",-0.08013333333333332
"(0.2, 0.5)",-0.06746666666666667
"(0.2, 0.6)",-0.0602666666666667
"(0.2, 0.7)",-0.057333333333333354
"(0.2, 0.8)",-0.04873333333333333
"(0.2, 0.9)",-0.0749333333333333
"(0.2, 1.0)",-0.06920000000000001
"(0.3, 0.0)",-0.07006666666666665
"(0.3, 0.1)",-0.07173333333333333
"(0.3, 0.2)",-0.07259999999999997
"(0.3, 0.3)",-0.08379999999999996
"(0.3, 0.4)",-0.08973333333333335
"(0.3, 0.5)",-0.08026666666666663
"(0.3, 0.6)",-0.07786666666666664
"(0.3, 0.7)",-0.07113333333333327
"(0.3, 0.8)",-0.06266666666666665
"(0.3, 0.9)",-0.06933333333333329
"(0.3, 1.0)",-0.05186666666666664
"(0.4, 0.0)",-0.08780000000000002
"(0.4, 0.1)",-0.08593333333333335
"(0.4, 0.2)",-0.07906666666666666
"(0.4, 0.3)",-0.09460000000000002
"(0.4, 0.4)",-0.08380000000000001
"(0.4, 0.5)",-0.062133333333333304
"(0.4, 0.6)",-0.06513333333333335
"(0.4, 0.7)",-0.05999999999999999
"(0.4, 0.8)",-0.06679999999999998
"(0.4, 0.9)",-0.05360000000000004
"(0.4, 1.0)",-0.05226666666666668
"(0.5, 0.0)",-0.0814
"(0.5, 0.1)",-0.09753333333333333
"(0.5, 0.2)",-0.08879999999999999
"(0.5, 0.3)",-0.08306666666666668
"(0.5, 0.4)",-0.08520000000000001
"(0.5, 0.5)",-0.093
"(0.5, 0.6)",-0.07626666666666666
"(0.5, 0.7)",-0.06159999999999995
"(0.5, 0.8)",-0.03693333333333333
"(0.5, 0.9)",-0.05693333333333335
"(0.5, 1.0)",-0.0396
"(0.6, 0.0)",-0.0958
"(0.6, 0.1)",-0.07913333333333333
"(0.6, 0.2)",-0.10733333333333331
"(0.6, 0.3)",-0.09946666666666665
"(0.6, 0.4)",-0.07359999999999996
"(0.6, 0.5)",-0.09466666666666665
"(0.6, 0.6)",-0.08706666666666665
"(0.6, 0.7)",-0.055199999999999985
"(0.6, 0.8)",-0.04580000000000003
"(0.6, 0.9)",-0.02740000000000003
"(0.6, 1.0)",-0.05153333333333334
"(0.7, 0.0)",-0.13166666666666668
"(0.7, 0.1)",-0.12419999999999998
"(0.7, 0.2)",-0.12106666666666663
"(0.7, 0.3)",-0.09826666666666668
"(0.7, 0.4)",-0.12546666666666667
"(0.7, 0.5)",-0.08640000000000006
"(0.7, 0.6)",-0.09220000000000002
"(0.7, 0.7)",-0.09546666666666667
"(0.7, 0.8)",-0.0411333333333333
"(0.7, 0.9)",-0.0384
"(0.7, 1.0)",-0.03426666666666663
"(0.8, 0.0)",-0.14953333333333332
"(0.8, 0.1)",-0.1536
"(0.8, 0.2)",-0.13080000000000003
"(0.8, 0.3)",-0.14586666666666664
"(0.8, 0.4)",-0.10873333333333328
"(0.8, 0.5)",-0.10946666666666666
"(0.8, 0.6)",-0.12573333333333334
"(0.8, 0.7)",-0.11806666666666671
"(0.8, 0.8)",-0.07453333333333338
"(0.8, 0.9)",-0.0788666666666667
"(0.8, 1.0)",-0.04986666666666666
"(0.9, 0.0)",-0.19699999999999995
"(0.9, 0.1)",-0.17293333333333333
"(0.9, 0.2)",-0.17299999999999996
"(0.9, 0.3)",-0.18500000000000003
"(0.9, 0.4)",-0.19806666666666667
"(0.9, 0.5)",-0.1741333333333333
"(0.9, 0.6)",-0.1458
"(0.9, 0.7)",-0.15079999999999993
"(0.9, 0.8)",-0.09973333333333338
"(0.9, 0.9)",-0.1046
"(0.9, 1.0)",-0.02526666666666666
"(1.0, 0.0)",-0.19046666666666667
"(1.0, 0.1)",-0.1944
"(1.0, 0.2)",-0.23999999999999994
"(1.0, 0.3)",-0.20359999999999998
"(1.0, 0.4)",-0.17486666666666667
"(1.0, 0.5)",-0.15626666666666666
"(1.0, 0.6)",-0.1754
"(1.0, 0.7)",-0.12200000000000001
"(1.0, 0.8)",-0.12386666666666657
"(1.0, 0.9)",-0.12919999999999995
"(1.0, 1.0)",-0.10040000000000003
