phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.0031999999999999993
"(0.0, 0.2)",-0.01613333333333333
"(0.0, 0.3)",-0.022999999999999996
"(0.0, 0.4)",-0.03273333333333333
"(0.0, 0.5)",-0.03406666666666666
"(0.0, 0.6)",-0.03173333333333334
"(0.0, 0.7)",-0.028466666666666682
"(0.0, 0.8)",-0.023600000000000013
"(0.0, 0.9)",-0.01940000000000001
"(0.0, 1.0)",-0.01686666666666668
"(0.1, 0.0)",-0.0033999999999999994
"(0.1, 0.1)",0.005333333333333332
"(0.1, 0.2)",-0.0006666666666666665
"(0.1, 0.3)",-0.005666666666666665
"(0.1, 0.4)",-0.019
"(0.1, 0.5)",-0.023733333333333335
"(0.1, 0.6)",-0.028000000000000008
"(0.1, 0.7)",-0.02726666666666668
"(0.1, 0.8)",-0.020933333333333345
"(0.1, 0.9)",-0.023533333333333344
"(0.1, 1.0)",-0.02033333333333334
"(0.2, 0.0)",-0.014199999999999997
"(0.2, 0.1)",-0.0014666666666666665
"(0.2, 0.2)",0.0008666666666666664
"(0.2, 0.3)",0.0037999999999999983
"(0.2, 0.4)",-0.0018666666666666701
"(0.2, 0.5)",-0.01406666666666667
"(0.2, 0.6)",-0.01800000000000001
"(0.2, 0.7)",-0.02406666666666668
"(0.2, 0.8)",-0.02173333333333334
"(0.2, 0.9)",-0.02106666666666667
"(0.2, 1.0)",-0.017400000000000002
"(0.3, 0.0)",-0.02406666666666666
"(0.3, 0.1)",-0.008133333333333333
"(0.3, 0.2)",-0.0014000000000000004
"(0.3, 0.3)",-0.0002000000000000024
"(0.3, 0.4)",-0.0026666666666666674
"(0.3, 0.5)",-0.004466666666666675
"(0.3, 0.6)",-0.013666666666666674
"(0.3, 0.7)",-0.013200000000000014
"(0.3, 0.8)",-0.01846666666666667
"(0.3, 0.9)",-0.025933333333333333
"(0.3, 1.0)",-0.01826666666666667
"(0.4, 0.0)",-0.03753333333333333
"(0.4, 0.1)",-0.037866666666666667
"(0.4, 0.2)",-0.014866666666666669
"(0.4, 0.3)",0.00266666666666666
"(0.4, 0.4)",-0.004466666666666671
"(0.4, 0.5)",0.0014666666666666613
"(0.4, 0.6)",-0.00873333333333334
"(0.4, 0.7)",-0.011200000000000003
"(0.4, 0.8)",-0.0212
"(0.4, 0.9)",-0.021333333333333333
"(0.4, 1.0)",-0.019533333333333333
"(0.5, 0.0)",-0.0546
"(0.5, 0.1)",-0.04286666666666667
"(0.5, 0.2)",-0.02953333333333334
"(0.5, 0.3)",-0.02340000000000001
"(0.5, 0.4)",-0.00920000000000001
"(0.5, 0.5)",0.0009333333333333258
"(0.5, 0.6)",-0.012800000000000004
"(0.5, 0.7)",-0.004733333333333339
"(0.5, 0.8)",-0.014066666666666668
"(0.5, 0.9)",-0.014333333333333339
"(0.5, 1.0)",-0.02433333333333334
"(0.6, 0.0)",-0.06680000000000003
"(0.6, 0.1)",-0.06346666666666669
"(0.6, 0.2)",-0.05586666666666668
"(0.6, 0.3)",-0.029600000000000008
"(0.6, 0.4)",-0.028200000000000013
"(0.6, 0.5)",-0.01006666666666667
"(0.6, 0.6)",0.002066666666666657
"(0.6, 0.7)",-0.0168
"(0.6, 0.8)",-0.019866666666666668
"(0.6, 0.9)",-0.02266666666666667
"(0.6, 1.0)",-0.015466666666666665
"(0.7, 0.0)",-0.09140000000000005
"(0.7, 0.1)",-0.0748666666666667
"(0.7, 0.2)",-0.06933333333333336
"(0.7, 0.3)",-0.07413333333333336
"(0.7, 0.4)",-0.04780000000000001
"(0.7, 0.5)",-0.039533333333333344
"(0.7, 0.6)",-0.008266666666666669
"(0.7, 0.7)",-0.0061333333333333274
"(0.7, 0.8)",-0.00746666666666666
"(0.7, 0.9)",-0.006999999999999996
"(0.7, 1.0)",-0.022933333333333323
"(0.8, 0.0)",-0.10526666666666674
"(0.8, 0.1)",-0.10940000000000005
"(0.8, 0.2)",-0.09500000000000003
"(0.8, 0.3)",-0.08760000000000001
"(0.8, 0.4)",-0.08546666666666668
"(0.8, 0.5)",-0.06593333333333334
"(0.8, 0.6)",-0.03126666666666666
"(0.8, 0.7)",-0.01273333333333333
"(0.8, 0.8)",-0.003533333333333327
"(0.8, 0.9)",-0.004600000000000008
"(0.8, 1.0)",-0.0038666666666666624
"(0.9, 0.0)",-0.12486666666666675
"(0.9, 0.1)",-0.11520000000000005
"(0.9, 0.2)",-0.11553333333333336
"(0.9, 0.3)",-0.10206666666666668
"(0.9, 0.4)",-0.08153333333333333
"(0.9, 0.5)",-0.0732
"(0.9, 0.6)",-0.056999999999999995
"(0.9, 0.7)",-0.028333333333333335
"(0.9, 0.8)",-0.018733333333333324
"(0.9, 0.9)",0.00873333333333334
"(0.9, 1.0)",-0.004133333333333335
"(1.0, 0.0)",-0.1290000000000001
"(1.0, 0.1)",-0.12180000000000005
"(1.0, 0.2)",-0.11266666666666669
"(1.0, 0.3)",-0.10880000000000001
"(1.0, 0.4)",-0.10273333333333334
"(1.0, 0.5)",-0.0818
"(1.0, 0.6)",-0.06726666666666667
"(1.0, 0.7)",-0.048799999999999996
"(1.0, 0.8)",-0.020733333333333326
"(1.0, 0.9)",-0.007666666666666667
"(1.0, 1.0)",0.01086666666666667
