phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.017599999999999998
"(0.0, 0.2)",-0.04433333333333332
"(0.0, 0.3)",-0.06133333333333332
"(0.0, 0.4)",-0.05779999999999999
"(0.0, 0.5)",-0.07273333333333333
"(0.0, 0.6)",-0.07946666666666669
"(0.0, 0.7)",-0.07880000000000004
"(0.0, 0.8)",-0.06346666666666671
"(0.0, 0.9)",-0.04620000000000004
"(0.0, 1.0)",-0.03953333333333337
"(0.1, 0.0)",-0.029599999999999994
"(0.1, 0.1)",-0.04533333333333332
"(0.1, 0.2)",-0.053133333333333324
"(0.1, 0.3)",-0.07566666666666665
"(0.1, 0.4)",-0.07246666666666665
"(0.1, 0.5)",-0.08299999999999999
"(0.1, 0.6)",-0.0806
"(0.1, 0.7)",-0.07260000000000003
"(0.1, 0.8)",-0.06380000000000004
"(0.1, 0.9)",-0.05020000000000002
"(0.1, 1.0)",-0.04153333333333336
"(0.2, 0.0)",-0.05479999999999999
"(0.2, 0.1)",-0.06546666666666666
"(0.2, 0.2)",-0.07139999999999999
"(0.2, 0.3)",-0.08413333333333331
"(0.2, 0.4)",-0.09273333333333333
"(0.2, 0.5)",-0.08513333333333332
"(0.2, 0.6)",-0.08653333333333334
"(0.2, 0.7)",-0.07353333333333335
"(0.2, 0.8)",-0.06760000000000002
"(0.2, 0.9)",-0.051333333333333356
"(0.2, 1.0)",-0.04766666666666668
"(0.3, 0.0)",-0.08399999999999998
"(0.3, 0.1)",-0.07853333333333332
"(0.3, 0.2)",-0.09913333333333332
"(0.3, 0.3)",-0.09946666666666665
"(0.3, 0.4)",-0.09533333333333333
"(0.3, 0.5)",-0.08733333333333332
"(0.3, 0.6)",-0.08926666666666667
"(0.3, 0.7)",-0.09073333333333336
"(0.3, 0.8)",-0.07886666666666668
"(0.3, 0.9)",-0.05966666666666667
"(0.3, 1.0)",-0.048600000000000004
"(0.4, 0.0)",-0.10226666666666666
"(0.4, 0.1)",-0.10026666666666666
"(0.4, 0.2)",-0.10993333333333333
"(0.4, 0.3)",-0.10619999999999999
"(0.4, 0.4)",-0.10873333333333332
"(0.4, 0.5)",-0.10706666666666667
"(0.4, 0.6)",-0.09713333333333334
"(0.4, 0.7)",-0.08653333333333335
"(0.4, 0.8)",-0.08540000000000002
"(0.4, 0.9)",-0.07553333333333334
"(0.4, 1.0)",-0.06813333333333335
"(0.5, 0.0)",-0.1372
"(0.5, 0.1)",-0.11786666666666666
"(0.5, 0.2)",-0.11573333333333333
"(0.5, 0.3)",-0.133
"(0.5, 0.4)",-0.13066666666666668
"(0.5, 0.5)",-0.10613333333333333
"(0.5, 0.6)",-0.11333333333333334
"(0.5, 0.7)",-0.10273333333333336
"(0.5, 0.8)",-0.08953333333333334
"(0.5, 0.9)",-0.07846666666666667
"(0.5, 1.0)",-0.08053333333333335
"(0.6, 0.0)",-0.1654666666666667
"(0.6, 0.1)",-0.15946666666666667
"(0.6, 0.2)",-0.15166666666666667
"(0.6, 0.3)",-0.14940000000000003
"(0.6, 0.4)",-0.14106666666666667
"(0.6, 0.5)",-0.14306666666666668
"(0.6, 0.6)",-0.12106666666666668
"(0.6, 0.7)",-0.12533333333333335
"(0.6, 0.8)",-0.11760000000000001
"(0.6, 0.9)",-0.1174
"(0.6, 1.0)",-0.08646666666666666
"(0.7, 0.0)",-0.21660000000000007
"(0.7, 0.1)",-0.20440000000000005
"(0.7, 0.2)",-0.1926666666666667
"(0.7, 0.3)",-0.19120000000000004
"(0.7, 0.4)",-0.17373333333333338
"(0.7, 0.5)",-0.16773333333333337
"(0.7, 0.6)",-0.15213333333333334
"(0.7, 0.7)",-0.15313333333333334
"(0.7, 0.8)",-0.11926666666666667
"(0.7, 0.9)",-0.11720000000000001
"(0.7, 1.0)",-0.11346666666666666
"(0.8, 0.0)",-0.2470000000000001
"(0.8, 0.1)",-0.25166666666666676
"(0.8, 0.2)",-0.23980000000000007
"(0.8, 0.3)",-0.23266666666666672
"(0.8, 0.4)",-0.20873333333333335
"(0.8, 0.5)",-0.19853333333333337
"(0.8, 0.6)",-0.19026666666666667
"(0.8, 0.7)",-0.15606666666666666
"(0.8, 0.8)",-0.13886666666666667
"(0.8, 0.9)",-0.13119999999999998
"(0.8, 1.0)",-0.14626666666666666
"(0.9, 0.0)",-0.26780000000000015
"(0.9, 0.1)",-0.2762000000000001
"(0.9, 0.2)",-0.26680000000000004
"(0.9, 0.3)",-0.24093333333333336
"(0.9, 0.4)",-0.23713333333333336
"(0.9, 0.5)",-0.2368666666666667
"(0.9, 0.6)",-0.21366666666666667
"(0.9, 0.7)",-0.18393333333333334
"(0.9, 0.8)",-0.18006666666666665
"(0.9, 0.9)",-0.15986666666666666
"(0.9, 1.0)",-0.14559999999999998
"(1.0, 0.0)",-0.2799333333333335
"(1.0, 0.1)",-0.2849333333333334
"(1.0, 0.2)",-0.2645333333333334
"(1.0, 0.3)",-0.2542666666666667
"(1.0, 0.4)",-0.24340000000000003
"(1.0, 0.5)",-0.23726666666666668
"(1.0, 0.6)",-0.20633333333333334
"(1.0, 0.7)",-0.21559999999999999
"(1.0, 0.8)",-0.16926666666666665
"(1.0, 0.9)",-0.15866666666666665
"(1.0, 1.0)",-0.17106666666666667
