phi_sui,phi_rev
"(0.0, 0.0)",0.0
"(0.0, 0.1)",-0.01586666666666669
"(0.0, 0.2)",-0.029866666666666694
"(0.0, 0.3)",-0.030466666666666652
"(0.0, 0.4)",-0.036333333333333315
"(0.0, 0.5)",-0.0276
"(0.0, 0.6)",-0.035266666666666675
"(0.0, 0.7)",-0.030666666666666672
"(0.0, 0.8)",-0.024133333333333364
"(0.0, 0.9)",-0.01926666666666674
"(0.0, 1.0)",-0.013266666666666734
"(0.1, 0.0)",-0.0022666666666666586
"(0.1, 0.1)",-0.028800000000000017
"(0.1, 0.2)",-0.034266666666666674
"(0.1, 0.3)",-0.032733333333333337
"(0.1, 0.4)",-0.031866666666666675
"(0.1, 0.5)",-0.04126666666666667
"(0.1, 0.6)",-0.03440000000000001
"(0.1, 0.7)",-0.03346666666666667
"(0.1, 0.8)",-0.02320000000000001
"(0.1, 0.9)",-0.016533333333333348
"(0.1, 1.0)",-0.01666666666666669
"(0.2, 0.0)",-0.009799999999999988
"(0.2, 0.1)",-0.02840000000000001
"(0.2, 0.2)",-0.017200000000000014
"(0.2, 0.3)",-0.03586666666666666
"(0.2, 0.4)",-0.024333333333333346
"(0.2, 0.5)",-0.024599999999999986
"(0.2, 0.6)",-0.03666666666666667
"(0.2, 0.7)",-0.024800000000000003
"(0.2, 0.8)",-0.030733333333333338
"(0.2, 0.9)",-0.018533333333333353
"(0.2, 1.0)",-0.01846666666666666
"(0.3, 0.0)",-0.003333333333333319
"(0.3, 0.1)",-0.013533333333333335
"(0.3, 0.2)",-0.015999999999999993
"(0.3, 0.3)",-0.03333333333333334
"(0.3, 0.4)",-0.025533333333333345
"(0.3, 0.5)",-0.042399999999999986
"(0.3, 0.6)",-0.02379999999999999
"(0.3, 0.7)",-0.03493333333333335
"(0.3, 0.8)",-0.018666666666666654
"(0.3, 0.9)",-0.009533333333333331
"(0.3, 1.0)",-0.020799999999999992
"(0.4, 0.0)",-0.008400000000000001
"(0.4, 0.1)",-0.01606666666666664
"(0.4, 0.2)",-0.016266666666666672
"(0.4, 0.3)",-0.01706666666666667
"(0.4, 0.4)",-0.03266666666666666
"(0.4, 0.5)",-0.030933333333333337
"(0.4, 0.6)",-0.025866666666666663
"(0.4, 0.7)",-0.030533333333333353
"(0.4, 0.8)",-0.012733333333333331
"(0.4, 0.9)",-0.027666666666666673
"(0.4, 1.0)",-0.026733333333333338
"(0.5, 0.0)",-0.014333333333333332
"(0.5, 0.1)",0.008266666666666679
"(0.5, 0.2)",-0.01699999999999999
"(0.5, 0.3)",-0.00840000000000001
"(0.5, 0.4)",-0.0082
"(0.5, 0.5)",-0.01453333333333333
"(0.5, 0.6)",-0.014733333333333319
"(0.5, 0.7)",-0.04166666666666665
"(0.5, 0.8)",-0.02559999999999998
"(0.5, 0.9)",-0.027733333333333332
"(0.5, 1.0)",-0.034066666666666655
"(0.6, 0.0)",-0.008466666666666664
"(0.6, 0.1)",0.012133333333333343
"(0.6, 0.2)",0.009800000000000008
"(0.6, 0.3)",-0.018533333333333346
"(0.6, 0.4)",0.010066666666666666
"(0.6, 0.5)",-0.016333333333333342
"(0.6, 0.6)",-0.018600000000000005
"(0.6, 0.7)",-0.03279999999999999
"(0.6, 0.8)",-0.019533333333333347
"(0.6, 0.9)",-0.020599999999999997
"(0.6, 1.0)",-0.025266666666666646
"(0.7, 0.0)",-0.0007999999999999945
"(0.7, 0.1)",0.016799999999999992
"(0.7, 0.2)",0.009266666666666692
"(0.7, 0.3)",-0.031866666666666675
"(0.7, 0.4)",-0.008466666666666674
"(0.7, 0.5)",-0.019933333333333303
"(0.7, 0.6)",-0.023133333333333356
"(0.7, 0.7)",-0.013333333333333312
"(0.7, 0.8)",-0.017133333333333323
"(0.7, 0.9)",-0.015599999999999985
"(0.7, 1.0)",-0.03059999999999999
"(0.8, 0.0)",0.007066666666666677
"(0.8, 0.1)",-0.004266666666666651
"(0.8, 0.2)",-0.0032666666666666825
"(0.8, 0.3)",0.004000000000000014
"(0.8, 0.4)",-0.027533333333333347
"(0.8, 0.5)",-0.006733333333333343
"(0.8, 0.6)",-0.022399999999999972
"(0.8, 0.7)",-0.00626666666666665
"(0.8, 0.8)",-0.013600000000000013
"(0.8, 0.9)",-0.017733333333333323
"(0.8, 1.0)",-0.02033333333333333
"(0.9, 0.0)",-0.0012666666666667056
"(0.9, 0.1)",-0.013533333333333336
"(0.9, 0.2)",-0.017999999999999988
"(0.9, 0.3)",-0.01813333333333335
"(0.9, 0.4)",-0.009933333333333313
"(0.9, 0.5)",-0.012266666666666629
"(0.9, 0.6)",-0.0018666666666666946
"(0.9, 0.7)",-0.026733333333333352
"(0.9, 0.8)",-0.0468
"(0.9, 0.9)",-0.066
"(0.9, 1.0)",-0.033066666666666675
"(1.0, 0.0)",-0.011533333333333371
"(1.0, 0.1)",-0.010066666666666665
"(1.0, 0.2)",0.005933333333333347
"(1.0, 0.3)",4.440892098500626e-18
"(1.0, 0.4)",-0.0018000000000000247
"(1.0, 0.5)",-0.03760000000000001
"(1.0, 0.6)",0.0038666666666667027
"(1.0, 0.7)",-0.030200000000000015
"(1.0, 0.8)",-0.04960000000000002
"(1.0, 0.9)",-0.032533333333333324
"(1.0, 1.0)",-0.030600000000000016
