phi_sui,phi_rev
"(0.0, 0.0)",0.0
"(0.0, 0.1)",0.0
"(0.0, 0.2)",0.0
"(0.0, 0.3)",0.0
"(0.0, 0.4)",0.0
"(0.0, 0.5)",0.0
"(0.0, 0.6)",0.0
"(0.0, 0.7)",0.0
"(0.0, 0.8)",0.0
"(0.0, 0.9)",0.0
"(0.0, 1.0)",0.0
"(0.1, 0.0)",-0.014066666666666616
"(0.1, 0.1)",0.02293333333333338
"(0.1, 0.2)",0.09313333333333333
"(0.1, 0.3)",0.02533333333333338
"(0.1, 0.4)",0.01566666666666669
"(0.1, 0.5)",0.030466666666666663
"(0.1, 0.6)",0.05606666666666666
"(0.1, 0.7)",-0.023799999999999977
"(0.1, 0.8)",-0.04206666666666664
"(0.1, 0.9)",0.012666666666666668
"(0.1, 1.0)",-0.011333333333333315
"(0.2, 0.0)",-0.02406666666666658
"(0.2, 0.1)",-0.026933333333333257
"(0.2, 0.2)",0.03573333333333339
"(0.2, 0.3)",0.038866666666666716
"(0.2, 0.4)",0.031933333333333355
"(0.2, 0.5)",-0.017799999999999976
"(0.2, 0.6)",0.03160000000000002
"(0.2, 0.7)",0.0029333333333333407
"(0.2, 0.8)",0.01920000000000002
"(0.2, 0.9)",-0.01133333333333334
"(0.2, 1.0)",0.000800000000000006
"(0.3, 0.0)",-0.030866666666666556
"(0.3, 0.1)",0.07086666666666674
"(0.3, 0.2)",0.039733333333333426
"(0.3, 0.3)",-0.007266666666666584
"(0.3, 0.4)",0.09553333333333336
"(0.3, 0.5)",0.09846666666666667
"(0.3, 0.6)",0.033200000000000035
"(0.3, 0.7)",0.027533333333333354
"(0.3, 0.8)",0.042400000000000014
"(0.3, 0.9)",-0.044533333333333334
"(0.3, 1.0)",-0.0064666666666666865
"(0.4, 0.0)",-0.04106666666666652
"(0.4, 0.1)",0.1094000000000001
"(0.4, 0.2)",0.06120000000000003
"(0.4, 0.3)",0.10933333333333334
"(0.4, 0.4)",0.13333333333333336
"(0.4, 0.5)",0.07826666666666669
"(0.4, 0.6)",-0.013133333333333327
"(0.4, 0.7)",0.04999999999999996
"(0.4, 0.8)",0.057066666666666675
"(0.4, 0.9)",-6.666666666669307e-05
"(0.4, 1.0)",0.051
"(0.5, 0.0)",-0.05946666666666645
"(0.5, 0.1)",-0.015999999999999875
"(0.5, 0.2)",0.045600000000000016
"(0.5, 0.3)",0.17906666666666668
"(0.5, 0.4)",0.1430666666666667
"(0.5, 0.5)",0.020000000000000007
"(0.5, 0.6)",0.18560000000000001
"(0.5, 0.7)",0.04733333333333343
"(0.5, 0.8)",0.10813333333333333
"(0.5, 0.9)",0.09966666666666667
"(0.5, 1.0)",0.00506666666666668
"(0.6, 0.0)",-0.07353333333333308
"(0.6, 0.1)",-0.0433999999999999
"(0.6, 0.2)",0.11040000000000008
"(0.6, 0.3)",0.14539999999999995
"(0.6, 0.4)",0.1708666666666666
"(0.6, 0.5)",0.10813333333333328
"(0.6, 0.6)",0.10533333333333335
"(0.6, 0.7)",0.15020000000000003
"(0.6, 0.8)",0.10066666666666665
"(0.6, 0.9)",0.010933333333333347
"(0.6, 1.0)",0.014733333333333388
"(0.7, 0.0)",-0.08653333333333303
"(0.7, 0.1)",0.06573333333333356
"(0.7, 0.2)",-0.03239999999999988
"(0.7, 0.3)",0.15253333333333335
"(0.7, 0.4)",0.10733333333333331
"(0.7, 0.5)",-0.016733333333333336
"(0.7, 0.6)",0.1482
"(0.7, 0.7)",0.03793333333333331
"(0.7, 0.8)",-0.056000000000000064
"(0.7, 0.9)",0.01420000000000002
"(0.7, 1.0)",0.03166666666666664
"(0.8, 0.0)",-0.10513333333333295
"(0.8, 0.1)",-0.10626666666666638
"(0.8, 0.2)",0.04426666666666683
"(0.8, 0.3)",0.026266666666666782
"(0.8, 0.4)",0.056266666666666666
"(0.8, 0.5)",-0.03226666666666668
"(0.8, 0.6)",0.04093333333333334
"(0.8, 0.7)",-0.0555333333333333
"(0.8, 0.8)",-0.01693333333333325
"(0.8, 0.9)",0.05473333333333332
"(0.8, 1.0)",-0.003933333333333465
"(0.9, 0.0)",-0.12466666666666622
"(0.9, 0.1)",-0.008733333333332954
"(0.9, 0.2)",0.00866666666666689
"(0.9, 0.3)",0.03793333333333348
"(0.9, 0.4)",-0.09826666666666664
"(0.9, 0.5)",-0.09473333333333323
"(0.9, 0.6)",0.034800000000000116
"(0.9, 0.7)",0.0788666666666667
"(0.9, 0.8)",0.041000000000000085
"(0.9, 0.9)",-0.020866666666666624
"(0.9, 1.0)",-0.06553333333333333
"(1.0, 0.0)",-0.12613333333333288
"(1.0, 0.1)",-0.10866666666666629
"(1.0, 0.2)",-0.0253333333333331
"(1.0, 0.3)",0.01346666666666685
"(1.0, 0.4)",0.029200000000000094
"(1.0, 0.5)",0.01500000000000005
"(1.0, 0.6)",-0.03186666666666659
"(1.0, 0.7)",-0.008399999999999967
"(1.0, 0.8)",-0.14220000000000002
"(1.0, 0.9)",-0.10000000000000005
"(1.0, 1.0)",0.0038666666666666493
