phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.012
"(0.1, 0.2)",-0.0109
"(0.1, 0.3)",-0.0072
"(0.1, 0.4)",-0.009
"(0.1, 0.5)",-0.0107
"(0.1, 0.6)",-0.0065
"(0.1, 0.7)",-0.0057
"(0.1, 0.8)",-0.0004
"(0.1, 0.9)",-0.0009
"(0.1, 1.0)",-0.002
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.0194
"(0.2, 0.2)",-0.0253
"(0.2, 0.3)",-0.0176
"(0.2, 0.4)",-0.0174
"(0.2, 0.5)",-0.0183
"(0.2, 0.6)",-0.0139
"(0.2, 0.7)",-0.0079
"(0.2, 0.8)",-0.0069
"(0.2, 0.9)",-0.0009
"(0.2, 1.0)",-0.0025
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.0256
"(0.3, 0.2)",-0.0356
"(0.3, 0.3)",-0.028
"(0.3, 0.4)",-0.0257
"(0.3, 0.5)",-0.0262
"(0.3, 0.6)",-0.027
"(0.3, 0.7)",-0.0143
"(0.3, 0.8)",-0.0122
"(0.3, 0.9)",-0.0072
"(0.3, 1.0)",-0.005
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.0283
"(0.4, 0.2)",-0.0399
"(0.4, 0.3)",-0.0405
"(0.4, 0.4)",-0.0403
"(0.4, 0.5)",-0.039
"(0.4, 0.6)",-0.0192
"(0.4, 0.7)",-0.0222
"(0.4, 0.8)",-0.0121
"(0.4, 0.9)",-0.0123
"(0.4, 1.0)",-0.0062
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.0311
"(0.5, 0.2)",-0.029
"(0.5, 0.3)",-0.0494
"(0.5, 0.4)",-0.0413
"(0.5, 0.5)",-0.0401
"(0.5, 0.6)",-0.0324
"(0.5, 0.7)",-0.0278
"(0.5, 0.8)",-0.0261
"(0.5, 0.9)",-0.0174
"(0.5, 1.0)",-0.0149
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.0238
"(0.6, 0.2)",-0.0414
"(0.6, 0.3)",-0.0353
"(0.6, 0.4)",-0.0464
"(0.6, 0.5)",-0.0419
"(0.6, 0.6)",-0.0455
"(0.6, 0.7)",-0.0305
"(0.6, 0.8)",-0.0282
"(0.6, 0.9)",-0.0131
"(0.6, 1.0)",-0.0074
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.0256
"(0.7, 0.2)",-0.0372
"(0.7, 0.3)",-0.0494
"(0.7, 0.4)",-0.0386
"(0.7, 0.5)",-0.0362
"(0.7, 0.6)",-0.0406
"(0.7, 0.7)",-0.0207
"(0.7, 0.8)",-0.0259
"(0.7, 0.9)",-0.0233
"(0.7, 1.0)",-0.0066
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.0204
"(0.8, 0.2)",-0.0309
"(0.8, 0.3)",-0.0297
"(0.8, 0.4)",-0.0278
"(0.8, 0.5)",-0.0285
"(0.8, 0.6)",-0.0361
"(0.8, 0.7)",-0.0231
"(0.8, 0.8)",-0.0181
"(0.8, 0.9)",-0.006
"(0.8, 1.0)",-0.007
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.0145
"(0.9, 0.2)",-0.0243
"(0.9, 0.3)",-0.0226
"(0.9, 0.4)",-0.0223
"(0.9, 0.5)",-0.0122
"(0.9, 0.6)",-0.024
"(0.9, 0.7)",-0.0192
"(0.9, 0.8)",-0.007
"(0.9, 0.9)",0.0032
"(0.9, 1.0)",-0.0035
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.0086
"(1.0, 0.2)",-0.0143
"(1.0, 0.3)",-0.0239
"(1.0, 0.4)",-0.0236
"(1.0, 0.5)",-0.0123
"(1.0, 0.6)",-0.0162
"(1.0, 0.7)",-0.0101
"(1.0, 0.8)",-0.0077
"(1.0, 0.9)",0.0012
"(1.0, 1.0)",-0.0055
