phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.096
"(0.1, 0.1)",-0.036
"(0.1, 0.2)",-0.052
"(0.1, 0.3)",-0.044
"(0.1, 0.4)",-0.072
"(0.1, 0.5)",-0.062
"(0.1, 0.6)",-0.056
"(0.1, 0.7)",-0.052
"(0.1, 0.8)",-0.028
"(0.1, 0.9)",-0.03
"(0.1, 1.0)",-0.016
"(0.2, 0.0)",-0.078
"(0.2, 0.1)",-0.116
"(0.2, 0.2)",-0.098
"(0.2, 0.3)",-0.134
"(0.2, 0.4)",-0.142
"(0.2, 0.5)",-0.086
"(0.2, 0.6)",-0.07
"(0.2, 0.7)",-0.072
"(0.2, 0.8)",-0.072
"(0.2, 0.9)",-0.03
"(0.2, 1.0)",-0.03
"(0.3, 0.0)",-0.118
"(0.3, 0.1)",-0.132
"(0.3, 0.2)",-0.146
"(0.3, 0.3)",-0.118
"(0.3, 0.4)",-0.144
"(0.3, 0.5)",-0.118
"(0.3, 0.6)",-0.11
"(0.3, 0.7)",-0.088
"(0.3, 0.8)",-0.066
"(0.3, 0.9)",-0.05
"(0.3, 1.0)",-0.036
"(0.4, 0.0)",-0.094
"(0.4, 0.1)",-0.108
"(0.4, 0.2)",-0.146
"(0.4, 0.3)",-0.184
"(0.4, 0.4)",-0.144
"(0.4, 0.5)",-0.132
"(0.4, 0.6)",-0.142
"(0.4, 0.7)",-0.144
"(0.4, 0.8)",-0.078
"(0.4, 0.9)",-0.07
"(0.4, 1.0)",-0.05
"(0.5, 0.0)",-0.094
"(0.5, 0.1)",-0.134
"(0.5, 0.2)",-0.158
"(0.5, 0.3)",-0.138
"(0.5, 0.4)",-0.226
"(0.5, 0.5)",-0.148
"(0.5, 0.6)",-0.164
"(0.5, 0.7)",-0.13
"(0.5, 0.8)",-0.05
"(0.5, 0.9)",-0.042
"(0.5, 1.0)",-0.048
"(0.6, 0.0)",-0.022
"(0.6, 0.1)",-0.11
"(0.6, 0.2)",-0.176
"(0.6, 0.3)",-0.134
"(0.6, 0.4)",-0.118
"(0.6, 0.5)",-0.126
"(0.6, 0.6)",-0.078
"(0.6, 0.7)",-0.074
"(0.6, 0.8)",-0.052
"(0.6, 0.9)",-0.03
"(0.6, 1.0)",-0.036
"(0.7, 0.0)",-0.008
"(0.7, 0.1)",-0.058
"(0.7, 0.2)",-0.074
"(0.7, 0.3)",-0.058
"(0.7, 0.4)",-0.118
"(0.7, 0.5)",-0.046
"(0.7, 0.6)",-0.094
"(0.7, 0.7)",-0.096
"(0.7, 0.8)",-0.05
"(0.7, 0.9)",-0.038
"(0.7, 1.0)",-0.016
"(0.8, 0.0)",-0.012
"(0.8, 0.1)",-0.048
"(0.8, 0.2)",-0.052
"(0.8, 0.3)",-0.076
"(0.8, 0.4)",-0.062
"(0.8, 0.5)",-0.038
"(0.8, 0.6)",-0.05
"(0.8, 0.7)",0.006
"(0.8, 0.8)",-0.034
"(0.8, 0.9)",-0.032
"(0.8, 1.0)",0.016
"(0.9, 0.0)",-0.004
"(0.9, 0.1)",-0.032
"(0.9, 0.2)",-0.016
"(0.9, 0.3)",-0.044
"(0.9, 0.4)",-0.094
"(0.9, 0.5)",-0.052
"(0.9, 0.6)",-0.014
"(0.9, 0.7)",-0.016
"(0.9, 0.8)",0.016
"(0.9, 0.9)",-0.014
"(0.9, 1.0)",0.012
"(1.0, 0.0)",-0.004
"(1.0, 0.1)",-0.016
"(1.0, 0.2)",-0.036
"(1.0, 0.3)",-0.046
"(1.0, 0.4)",-0.036
"(1.0, 0.5)",-0.034
"(1.0, 0.6)",-0.044
"(1.0, 0.7)",0.004
"(1.0, 0.8)",-0.078
"(1.0, 0.9)",0
"(1.0, 1.0)",-0.012
