phi_sui,phi_rev
"(0.0, 0.0)",-0.0653333333333334
"(0.0, 0.1)",-0.06893333333333336
"(0.0, 0.2)",-0.0716
"(0.0, 0.3)",-0.06799999999999998
"(0.0, 0.4)",-0.06186666666666665
"(0.0, 0.5)",-0.06239999999999999
"(0.0, 0.6)",-0.04546666666666666
"(0.0, 0.7)",-0.03880000000000001
"(0.0, 0.8)",-0.024400000000000005
"(0.0, 0.9)",-0.012000000000000007
"(0.0, 1.0)",-0.017066666666666678
"(0.1, 0.0)",-0.028266666666666718
"(0.1, 0.1)",-0.03133333333333336
"(0.1, 0.2)",-0.034800000000000005
"(0.1, 0.3)",-0.04186666666666664
"(0.1, 0.4)",-0.035199999999999995
"(0.1, 0.5)",-0.048533333333333324
"(0.1, 0.6)",-0.0412
"(0.1, 0.7)",-0.033066666666666654
"(0.1, 0.8)",-0.026000000000000002
"(0.1, 0.9)",-0.01746666666666667
"(0.1, 1.0)",-0.02146666666666667
"(0.2, 0.0)",0.01879999999999996
"(0.2, 0.1)",0.001199999999999962
"(0.2, 0.2)",-0.003733333333333335
"(0.2, 0.3)",-0.0232
"(0.2, 0.4)",-0.012666666666666652
"(0.2, 0.5)",-0.01959999999999999
"(0.2, 0.6)",-0.029866666666666666
"(0.2, 0.7)",-0.02946666666666666
"(0.2, 0.8)",-0.017466666666666658
"(0.2, 0.9)",-0.024399999999999995
"(0.2, 1.0)",-0.02466666666666667
"(0.3, 0.0)",0.04399999999999997
"(0.3, 0.1)",0.03786666666666664
"(0.3, 0.2)",0.026933333333333326
"(0.3, 0.3)",0.008266666666666665
"(0.3, 0.4)",0.004133333333333338
"(0.3, 0.5)",-0.011466666666666658
"(0.3, 0.6)",-0.007066666666666668
"(0.3, 0.7)",-0.017199999999999993
"(0.3, 0.8)",-0.02053333333333333
"(0.3, 0.9)",-0.026266666666666643
"(0.3, 1.0)",-0.02479999999999998
"(0.4, 0.0)",0.07453333333333334
"(0.4, 0.1)",0.06279999999999998
"(0.4, 0.2)",0.052933333333333304
"(0.4, 0.3)",0.03160000000000001
"(0.4, 0.4)",0.022800000000000008
"(0.4, 0.5)",0.011200000000000015
"(0.4, 0.6)",-0.009733333333333318
"(0.4, 0.7)",-0.005066666666666636
"(0.4, 0.8)",-0.019199999999999995
"(0.4, 0.9)",-0.02399999999999997
"(0.4, 1.0)",-0.030399999999999986
"(0.5, 0.0)",0.09240000000000005
"(0.5, 0.1)",0.06666666666666667
"(0.5, 0.2)",0.056399999999999985
"(0.5, 0.3)",0.05426666666666667
"(0.5, 0.4)",0.04293333333333338
"(0.5, 0.5)",0.03906666666666667
"(0.5, 0.6)",0.01906666666666668
"(0.5, 0.7)",-0.00426666666666662
"(0.5, 0.8)",-0.010266666666666653
"(0.5, 0.9)",-0.028133333333333316
"(0.5, 1.0)",-0.024399999999999995
"(0.6, 0.0)",0.0848000000000001
"(0.6, 0.1)",0.07453333333333334
"(0.6, 0.2)",0.06746666666666669
"(0.6, 0.3)",0.060266666666666684
"(0.6, 0.4)",0.051866666666666686
"(0.6, 0.5)",0.04973333333333335
"(0.6, 0.6)",0.04320000000000004
"(0.6, 0.7)",0.012000000000000016
"(0.6, 0.8)",0.007733333333333322
"(0.6, 0.9)",-0.014799999999999989
"(0.6, 1.0)",-0.01546666666666667
"(0.7, 0.0)",0.07986666666666678
"(0.7, 0.1)",0.06239999999999999
"(0.7, 0.2)",0.058400000000000014
"(0.7, 0.3)",0.052666666666666674
"(0.7, 0.4)",0.05053333333333336
"(0.7, 0.5)",0.0573333333333334
"(0.7, 0.6)",0.04546666666666668
"(0.7, 0.7)",0.03439999999999996
"(0.7, 0.8)",0.003066666666666641
"(0.7, 0.9)",-0.004533333333333369
"(0.7, 1.0)",-0.005199999999999999
"(0.8, 0.0)",0.05560000000000014
"(0.8, 0.1)",0.058933333333333345
"(0.8, 0.2)",0.043733333333333374
"(0.8, 0.3)",0.05080000000000007
"(0.8, 0.4)",0.05093333333333338
"(0.8, 0.5)",0.0570666666666667
"(0.8, 0.6)",0.0588
"(0.8, 0.7)",0.046
"(0.8, 0.8)",0.03186666666666665
"(0.8, 0.9)",0.018133333333333335
"(0.8, 1.0)",0.014666666666666684
"(0.9, 0.0)",0.055866666666666814
"(0.9, 0.1)",0.028266666666666683
"(0.9, 0.2)",0.03240000000000001
"(0.9, 0.3)",0.03506666666666671
"(0.9, 0.4)",0.04440000000000004
"(0.9, 0.5)",0.04226666666666673
"(0.9, 0.6)",0.07026666666666669
"(0.9, 0.7)",0.05573333333333335
"(0.9, 0.8)",0.04599999999999999
"(0.9, 0.9)",0.03146666666666667
"(0.9, 1.0)",0.025066666666666643
"(1.0, 0.0)",0.03453333333333347
"(1.0, 0.1)",0.021333333333333346
"(1.0, 0.2)",0.02026666666666672
"(1.0, 0.3)",0.029466666666666714
"(1.0, 0.4)",0.03066666666666672
"(1.0, 0.5)",0.05586666666666668
"(1.0, 0.6)",0.06053333333333334
"(1.0, 0.7)",0.07640000000000001
"(1.0, 0.8)",0.06880000000000001
"(1.0, 0.9)",0.0401333333333333
"(1.0, 1.0)",0.021733333333333313
