phi_sui,phi_rev
"(0.0, 0.0)",-0.10466666666666676
"(0.0, 0.1)",-0.1152
"(0.0, 0.2)",-0.1257333333333333
"(0.0, 0.3)",-0.1381333333333333
"(0.0, 0.4)",-0.1437333333333333
"(0.0, 0.5)",-0.14333333333333328
"(0.0, 0.6)",-0.12333333333333328
"(0.0, 0.7)",-0.10159999999999995
"(0.0, 0.8)",-0.0713333333333333
"(0.0, 0.9)",-0.04746666666666663
"(0.0, 1.0)",-0.04199999999999996
"(0.1, 0.0)",0.009199999999999894
"(0.1, 0.1)",-0.028800000000000006
"(0.1, 0.2)",-0.017066666666666626
"(0.1, 0.3)",-0.04306666666666664
"(0.1, 0.4)",-0.053199999999999976
"(0.1, 0.5)",-0.09239999999999997
"(0.1, 0.6)",-0.06586666666666663
"(0.1, 0.7)",-0.04786666666666662
"(0.1, 0.8)",-0.03346666666666663
"(0.1, 0.9)",-0.03213333333333331
"(0.1, 1.0)",-0.014666666666666647
"(0.2, 0.0)",0.06946666666666657
"(0.2, 0.1)",0.04039999999999996
"(0.2, 0.2)",0.03573333333333333
"(0.2, 0.3)",0.039600000000000024
"(0.2, 0.4)",0.0016000000000000254
"(0.2, 0.5)",-0.028799999999999958
"(0.2, 0.6)",-0.00826666666666664
"(0.2, 0.7)",0.0005333333333333909
"(0.2, 0.8)",0.0010666666666666992
"(0.2, 0.9)",-0.02799999999999998
"(0.2, 1.0)",-0.017199999999999986
"(0.3, 0.0)",0.08666666666666659
"(0.3, 0.1)",0.11973333333333332
"(0.3, 0.2)",0.11000000000000001
"(0.3, 0.3)",0.07680000000000003
"(0.3, 0.4)",0.03600000000000002
"(0.3, 0.5)",0.048800000000000045
"(0.3, 0.6)",-0.009866666666666676
"(0.3, 0.7)",-0.0015999999999999589
"(0.3, 0.8)",0.005066666666666709
"(0.3, 0.9)",-0.03653333333333331
"(0.3, 1.0)",-0.02839999999999999
"(0.4, 0.0)",0.12506666666666658
"(0.4, 0.1)",0.10333333333333336
"(0.4, 0.2)",0.12186666666666666
"(0.4, 0.3)",0.1296
"(0.4, 0.4)",0.10640000000000002
"(0.4, 0.5)",0.10093333333333337
"(0.4, 0.6)",0.0718666666666667
"(0.4, 0.7)",0.0422666666666667
"(0.4, 0.8)",0.015066666666666695
"(0.4, 0.9)",0.007866666666666676
"(0.4, 1.0)",-0.058266666666666654
"(0.5, 0.0)",0.06266666666666662
"(0.5, 0.1)",0.09373333333333336
"(0.5, 0.2)",0.13146666666666668
"(0.5, 0.3)",0.11946666666666668
"(0.5, 0.4)",0.10306666666666672
"(0.5, 0.5)",0.1110666666666667
"(0.5, 0.6)",0.05613333333333337
"(0.5, 0.7)",0.0033333333333333587
"(0.5, 0.8)",0.033733333333333365
"(0.5, 0.9)",-0.04159999999999998
"(0.5, 1.0)",-0.030266666666666674
"(0.6, 0.0)",0.018666666666666654
"(0.6, 0.1)",0.05813333333333333
"(0.6, 0.2)",0.14853333333333332
"(0.6, 0.3)",0.12453333333333337
"(0.6, 0.4)",0.17666666666666667
"(0.6, 0.5)",0.10613333333333333
"(0.6, 0.6)",0.03760000000000002
"(0.6, 0.7)",0.013600000000000008
"(0.6, 0.8)",0.023199999999999988
"(0.6, 0.9)",-0.038666666666666655
"(0.6, 1.0)",-0.08
"(0.7, 0.0)",0.012799999999999992
"(0.7, 0.1)",0.05813333333333336
"(0.7, 0.2)",0.12
"(0.7, 0.3)",0.10373333333333333
"(0.7, 0.4)",0.050799999999999984
"(0.7, 0.5)",0.06880000000000001
"(0.7, 0.6)",0.05733333333333332
"(0.7, 0.7)",0.012266666666666655
"(0.7, 0.8)",-0.00453333333333333
"(0.7, 0.9)",-0.013333333333333358
"(0.7, 1.0)",-0.06840000000000002
"(0.8, 0.0)",0.004399999999999998
"(0.8, 0.1)",0.014933333333333354
"(0.8, 0.2)",0.09053333333333337
"(0.8, 0.3)",0.09759999999999998
"(0.8, 0.4)",0.055066666666666673
"(0.8, 0.5)",0.05333333333333336
"(0.8, 0.6)",0.03639999999999998
"(0.8, 0.7)",-0.002133333333333322
"(0.8, 0.8)",-0.0728
"(0.8, 0.9)",-0.08306666666666666
"(0.8, 1.0)",-0.0888
"(0.9, 0.0)",-0.0017333333333333326
"(0.9, 0.1)",0.029200000000000014
"(0.9, 0.2)",0.02773333333333333
"(0.9, 0.3)",0.004266666666666668
"(0.9, 0.4)",0.029999999999999978
"(0.9, 0.5)",0.02359999999999999
"(0.9, 0.6)",0.02773333333333333
"(0.9, 0.7)",0.031200000000000006
"(0.9, 0.8)",-0.09973333333333337
"(0.9, 0.9)",-0.12013333333333338
"(0.9, 1.0)",-0.0814666666666667
"(1.0, 0.0)",0.0
"(1.0, 0.1)",0.013466666666666688
"(1.0, 0.2)",0.041600000000000026
"(1.0, 0.3)",0.03946666666666666
"(1.0, 0.4)",0.04306666666666666
"(1.0, 0.5)",0.033599999999999984
"(1.0, 0.6)",-0.032800000000000024
"(1.0, 0.7)",-0.04693333333333334
"(1.0, 0.8)",-0.10613333333333336
"(1.0, 0.9)",-0.0770666666666667
"(1.0, 1.0)",-0.06666666666666667
