phi_sui,phi_rev
"(0.0, 0.0)",-0.10466666666666676
"(0.0, 0.1)",-0.1152
"(0.0, 0.2)",-0.1257333333333333
"(0.0, 0.3)",-0.1381333333333333
"(0.0, 0.4)",-0.1437333333333333
"(0.0, 0.5)",-0.14333333333333328
"(0.0, 0.6)",-0.12333333333333328
"(0.0, 0.7)",-0.10159999999999995
"(0.0, 0.8)",-0.0713333333333333
"(0.0, 0.9)",-0.04746666666666663
"(0.0, 1.0)",-0.04199999999999996
"(0.1, 0.0)",0.048799999999999864
"(0.1, 0.1)",-0.004666666666666677
"(0.1, 0.2)",0.036000000000000004
"(0.1, 0.3)",0.0037333333333333385
"(0.1, 0.4)",0.001333333333333346
"(0.1, 0.5)",-0.06933333333333332
"(0.1, 0.6)",-0.03426666666666663
"(0.1, 0.7)",-0.002266666666666632
"(0.1, 0.8)",-0.0013333333333333253
"(0.1, 0.9)",-0.012000000000000007
"(0.1, 1.0)",0.01653333333333334
"(0.2, 0.0)",0.1073333333333332
"(0.2, 0.1)",0.07706666666666662
"(0.2, 0.2)",0.06879999999999997
"(0.2, 0.3)",0.11413333333333334
"(0.2, 0.4)",0.05733333333333334
"(0.2, 0.5)",0.01960000000000004
"(0.2, 0.6)",0.06039999999999999
"(0.2, 0.7)",0.0830666666666667
"(0.2, 0.8)",0.06813333333333334
"(0.2, 0.9)",0.012000000000000028
"(0.2, 1.0)",0.02786666666666665
"(0.3, 0.0)",0.0714666666666666
"(0.3, 0.1)",0.15999999999999998
"(0.3, 0.2)",0.16199999999999998
"(0.3, 0.3)",0.13680000000000003
"(0.3, 0.4)",0.1
"(0.3, 0.5)",0.14320000000000002
"(0.3, 0.6)",0.05266666666666664
"(0.3, 0.7)",0.07506666666666668
"(0.3, 0.8)",0.08066666666666669
"(0.3, 0.9)",-0.012533333333333306
"(0.3, 1.0)",0.005200000000000021
"(0.4, 0.0)",0.06986666666666659
"(0.4, 0.1)",0.03786666666666667
"(0.4, 0.2)",0.1349333333333333
"(0.4, 0.3)",0.17146666666666666
"(0.4, 0.4)",0.16813333333333336
"(0.4, 0.5)",0.21266666666666667
"(0.4, 0.6)",0.17573333333333335
"(0.4, 0.7)",0.11413333333333335
"(0.4, 0.8)",0.09053333333333335
"(0.4, 0.9)",0.08266666666666664
"(0.4, 1.0)",-0.054400000000000004
"(0.5, 0.0)",-0.1130666666666667
"(0.5, 0.1)",-0.021466666666666648
"(0.5, 0.2)",0.07919999999999999
"(0.5, 0.3)",0.10973333333333332
"(0.5, 0.4)",0.12213333333333334
"(0.5, 0.5)",0.1696
"(0.5, 0.6)",0.10706666666666667
"(0.5, 0.7)",0.027333333333333338
"(0.5, 0.8)",0.11440000000000003
"(0.5, 0.9)",-0.011200000000000002
"(0.5, 1.0)",0.002133333333333296
"(0.6, 0.0)",-0.2654666666666667
"(0.6, 0.1)",-0.17479999999999996
"(0.6, 0.2)",0.04839999999999996
"(0.6, 0.3)",0.03653333333333336
"(0.6, 0.4)",0.17106666666666662
"(0.6, 0.5)",0.08146666666666662
"(0.6, 0.6)",0.014799999999999987
"(0.6, 0.7)",0.012533333333333294
"(0.6, 0.8)",0.057866666666666636
"(0.6, 0.9)",-0.0328
"(0.6, 1.0)",-0.0818666666666667
"(0.7, 0.0)",-0.34173333333333333
"(0.7, 0.1)",-0.21399999999999997
"(0.7, 0.2)",-0.0885333333333333
"(0.7, 0.3)",-0.06533333333333334
"(0.7, 0.4)",-0.14240000000000008
"(0.7, 0.5)",-0.05133333333333337
"(0.7, 0.6)",-0.04413333333333337
"(0.7, 0.7)",-0.08293333333333339
"(0.7, 0.8)",-0.03253333333333335
"(0.7, 0.9)",-0.004133333333333366
"(0.7, 1.0)",-0.1072
"(0.8, 0.0)",-0.4039999999999999
"(0.8, 0.1)",-0.3515999999999999
"(0.8, 0.2)",-0.21213333333333328
"(0.8, 0.3)",-0.15053333333333335
"(0.8, 0.4)",-0.17386666666666667
"(0.8, 0.5)",-0.17213333333333336
"(0.8, 0.6)",-0.1381333333333334
"(0.8, 0.7)",-0.1336
"(0.8, 0.8)",-0.22319999999999998
"(0.8, 0.9)",-0.15733333333333335
"(0.8, 1.0)",-0.18813333333333332
"(0.9, 0.0)",-0.43333333333333324
"(0.9, 0.1)",-0.3669333333333333
"(0.9, 0.2)",-0.33973333333333333
"(0.9, 0.3)",-0.38200000000000006
"(0.9, 0.4)",-0.29466666666666674
"(0.9, 0.5)",-0.29013333333333335
"(0.9, 0.6)",-0.22800000000000004
"(0.9, 0.7)",-0.1476
"(0.9, 0.8)",-0.3466666666666667
"(0.9, 0.9)",-0.3142666666666667
"(0.9, 1.0)",-0.24879999999999997
"(1.0, 0.0)",-0.4448
"(1.0, 0.1)",-0.40346666666666664
"(1.0, 0.2)",-0.3509333333333333
"(1.0, 0.3)",-0.3164
"(1.0, 0.4)",-0.3108
"(1.0, 0.5)",-0.2606666666666667
"(1.0, 0.6)",-0.38373333333333337
"(1.0, 0.7)",-0.3108
"(1.0, 0.8)",-0.36826666666666663
"(1.0, 0.9)",-0.2732
"(1.0, 1.0)",-0.1996
