phi_sui,phi_rev
"(0.0, 0.0)",-0.10320000000000008
"(0.0, 0.1)",-0.06546666666666674
"(0.0, 0.2)",0.001866666666666621
"(0.0, 0.3)",0.03986666666666665
"(0.0, 0.4)",0.05066666666666665
"(0.0, 0.5)",0.023066666666666655
"(0.0, 0.6)",0.010799999999999997
"(0.0, 0.7)",0.011466666666666667
"(0.0, 0.8)",-0.0009333333333333344
"(0.0, 0.9)",0.0022666666666666664
"(0.0, 1.0)",0.0
"(0.1, 0.0)",-0.13146666666666668
"(0.1, 0.1)",-0.055866666666666676
"(0.1, 0.2)",-0.03786666666666667
"(0.1, 0.3)",-0.004133333333333333
"(0.1, 0.4)",0.009066666666666673
"(0.1, 0.5)",0.05773333333333334
"(0.1, 0.6)",0.049333333333333326
"(0.1, 0.7)",0.03333333333333334
"(0.1, 0.8)",0.03213333333333331
"(0.1, 0.9)",0.012533333333333329
"(0.1, 1.0)",0.01693333333333333
"(0.2, 0.0)",-0.15546666666666664
"(0.2, 0.1)",-0.10773333333333332
"(0.2, 0.2)",-0.03253333333333331
"(0.2, 0.3)",-0.029733333333333316
"(0.2, 0.4)",0.068
"(0.2, 0.5)",0.05906666666666667
"(0.2, 0.6)",0.07466666666666669
"(0.2, 0.7)",0.05693333333333333
"(0.2, 0.8)",0.05613333333333333
"(0.2, 0.9)",0.042
"(0.2, 1.0)",0.028799999999999996
"(0.3, 0.0)",-0.18239999999999998
"(0.3, 0.1)",-0.12453333333333329
"(0.3, 0.2)",-0.0665333333333333
"(0.3, 0.3)",-0.01946666666666663
"(0.3, 0.4)",-0.01493333333333331
"(0.3, 0.5)",0.03666666666666669
"(0.3, 0.6)",0.051733333333333346
"(0.3, 0.7)",0.044399999999999995
"(0.3, 0.8)",0.060533333333333314
"(0.3, 0.9)",0.043733333333333325
"(0.3, 1.0)",0.040133333333333326
"(0.4, 0.0)",-0.2142666666666666
"(0.4, 0.1)",-0.1409333333333333
"(0.4, 0.2)",-0.10786666666666661
"(0.4, 0.3)",-0.08839999999999998
"(0.4, 0.4)",0.003333333333333365
"(0.4, 0.5)",0.04346666666666668
"(0.4, 0.6)",0.018266666666666678
"(0.4, 0.7)",0.0364
"(0.4, 0.8)",0.02946666666666666
"(0.4, 0.9)",0.027333333333333334
"(0.4, 1.0)",0.028933333333333318
"(0.5, 0.0)",-0.23973333333333327
"(0.5, 0.1)",-0.16439999999999996
"(0.5, 0.2)",-0.11799999999999994
"(0.5, 0.3)",-0.13706666666666664
"(0.5, 0.4)",-0.09013333333333332
"(0.5, 0.5)",-0.04426666666666666
"(0.5, 0.6)",-0.017599999999999994
"(0.5, 0.7)",0.024799999999999975
"(0.5, 0.8)",0.058533333333333305
"(0.5, 0.9)",0.015066666666666654
"(0.5, 1.0)",0.04026666666666665
"(0.6, 0.0)",-0.2567999999999999
"(0.6, 0.1)",-0.1974666666666666
"(0.6, 0.2)",-0.21039999999999992
"(0.6, 0.3)",-0.13799999999999996
"(0.6, 0.4)",-0.1605333333333333
"(0.6, 0.5)",-0.15813333333333332
"(0.6, 0.6)",-0.09933333333333334
"(0.6, 0.7)",-0.011600000000000046
"(0.6, 0.8)",-0.020666666666666667
"(0.6, 0.9)",-0.01893333333333335
"(0.6, 1.0)",0.00466666666666668
"(0.7, 0.0)",-0.2611999999999999
"(0.7, 0.1)",-0.20519999999999994
"(0.7, 0.2)",-0.20239999999999994
"(0.7, 0.3)",-0.19186666666666663
"(0.7, 0.4)",-0.1265333333333333
"(0.7, 0.5)",-0.12373333333333332
"(0.7, 0.6)",-0.13266666666666665
"(0.7, 0.7)",-0.09893333333333335
"(0.7, 0.8)",-0.058133333333333356
"(0.7, 0.9)",-0.03466666666666667
"(0.7, 1.0)",-0.041466666666666666
"(0.8, 0.0)",-0.28146666666666653
"(0.8, 0.1)",-0.25293333333333323
"(0.8, 0.2)",-0.24279999999999993
"(0.8, 0.3)",-0.2174666666666666
"(0.8, 0.4)",-0.14386666666666664
"(0.8, 0.5)",-0.19159999999999996
"(0.8, 0.6)",-0.12746666666666667
"(0.8, 0.7)",-0.09373333333333335
"(0.8, 0.8)",-0.1390666666666667
"(0.8, 0.9)",-0.09786666666666669
"(0.8, 1.0)",-0.0636
"(0.9, 0.0)",-0.2866666666666665
"(0.9, 0.1)",-0.2637333333333332
"(0.9, 0.2)",-0.24133333333333326
"(0.9, 0.3)",-0.23759999999999992
"(0.9, 0.4)",-0.244
"(0.9, 0.5)",-0.2248
"(0.9, 0.6)",-0.188
"(0.9, 0.7)",-0.15480000000000005
"(0.9, 0.8)",-0.14186666666666667
"(0.9, 0.9)",-0.09760000000000002
"(0.9, 1.0)",-0.08746666666666666
"(1.0, 0.0)",-0.28226666666666655
"(1.0, 0.1)",-0.2718666666666666
"(1.0, 0.2)",-0.24559999999999993
"(1.0, 0.3)",-0.26173333333333326
"(1.0, 0.4)",-0.21106666666666662
"(1.0, 0.5)",-0.25093333333333334
"(1.0, 0.6)",-0.2168
"(1.0, 0.7)",-0.20373333333333335
"(1.0, 0.8)",-0.14453333333333337
"(1.0, 0.9)",-0.1286666666666667
"(1.0, 1.0)",-0.06506666666666668
