phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.003599999999999999
"(0.1, 0.1)",-0.005666666666666665
"(0.1, 0.2)",-0.004866666666666666
"(0.1, 0.3)",-0.0033333333333333327
"(0.1, 0.4)",-0.002999999999999999
"(0.1, 0.5)",-0.004399999999999999
"(0.1, 0.6)",-0.0031999999999999993
"(0.1, 0.7)",-0.001133333333333333
"(0.1, 0.8)",-0.001133333333333333
"(0.1, 0.9)",-0.002333333333333333
"(0.1, 1.0)",0.0011999999999999997
"(0.2, 0.0)",-0.0047333333333333324
"(0.2, 0.1)",-0.00933333333333333
"(0.2, 0.2)",-0.007799999999999998
"(0.2, 0.3)",-0.010666666666666665
"(0.2, 0.4)",-0.008599999999999998
"(0.2, 0.5)",-0.0063333333333333314
"(0.2, 0.6)",-0.0016666666666666663
"(0.2, 0.7)",-0.003866666666666666
"(0.2, 0.8)",-0.0014666666666666658
"(0.2, 0.9)",-0.003399999999999999
"(0.2, 1.0)",0.0007999999999999998
"(0.3, 0.0)",-0.004333333333333332
"(0.3, 0.1)",-0.008999999999999998
"(0.3, 0.2)",-0.008999999999999998
"(0.3, 0.3)",-0.012399999999999998
"(0.3, 0.4)",-0.01233333333333333
"(0.3, 0.5)",-0.012199999999999997
"(0.3, 0.6)",-0.001799999999999999
"(0.3, 0.7)",-0.004933333333333331
"(0.3, 0.8)",0.0036000000000000003
"(0.3, 0.9)",-0.0025999999999999994
"(0.3, 1.0)",-0.0012666666666666664
"(0.4, 0.0)",-0.0053999999999999986
"(0.4, 0.1)",-0.004866666666666664
"(0.4, 0.2)",-0.006933333333333331
"(0.4, 0.3)",-0.009266666666666666
"(0.4, 0.4)",-0.0072666666666666635
"(0.4, 0.5)",-0.0066666666666666645
"(0.4, 0.6)",-0.007000000000000001
"(0.4, 0.7)",-0.004666666666666666
"(0.4, 0.8)",0.0003333333333333335
"(0.4, 0.9)",-0.0005333333333333314
"(0.4, 1.0)",0.0008666666666666651
"(0.5, 0.0)",-0.0030666666666666685
"(0.5, 0.1)",-0.004466666666666665
"(0.5, 0.2)",-0.006066666666666667
"(0.5, 0.3)",-0.007266666666666668
"(0.5, 0.4)",-0.006733333333333334
"(0.5, 0.5)",-0.005199999999999999
"(0.5, 0.6)",-0.010933333333333335
"(0.5, 0.7)",-0.006333333333333335
"(0.5, 0.8)",-0.0002666666666666658
"(0.5, 0.9)",-0.00026666666666666695
"(0.5, 1.0)",0.0017999999999999993
"(0.6, 0.0)",-0.005133333333333334
"(0.6, 0.1)",-6.666666666666531e-05
"(0.6, 0.2)",0.0023333333333333357
"(0.6, 0.3)",-0.005133333333333335
"(0.6, 0.4)",0.0011333333333333345
"(0.6, 0.5)",-0.005333333333333336
"(0.6, 0.6)",-0.0006666666666666638
"(0.6, 0.7)",-0.0013333333333333337
"(0.6, 0.8)",-0.0026666666666666683
"(0.6, 0.9)",-0.0026666666666666653
"(0.6, 1.0)",0.0013333333333333324
"(0.7, 0.0)",0.0007333333333333325
"(0.7, 0.1)",-0.0015333333333333336
"(0.7, 0.2)",-0.0008000000000000007
"(0.7, 0.3)",0.0054666666666666665
"(0.7, 0.4)",0.004000000000000003
"(0.7, 0.5)",-6.666666666666798e-05
"(0.7, 0.6)",0.0023999999999999976
"(0.7, 0.7)",-0.002266666666666666
"(0.7, 0.8)",0.0028000000000000013
"(0.7, 0.9)",-0.007999999999999997
"(0.7, 1.0)",0.0073333333333333375
"(0.8, 0.0)",-0.0012666666666666672
"(0.8, 0.1)",-0.0008000000000000003
"(0.8, 0.2)",0.0008000000000000009
"(0.8, 0.3)",0.0017333333333333326
"(0.8, 0.4)",-0.000599999999999999
"(0.8, 0.5)",0.004133333333333329
"(0.8, 0.6)",-0.00013333333333333751
"(0.8, 0.7)",0.0021999999999999993
"(0.8, 0.8)",-0.0003333333333333337
"(0.8, 0.9)",0.007933333333333329
"(0.8, 1.0)",0.0006666666666666638
"(0.9, 0.0)",-0.0014000000000000004
"(0.9, 0.1)",0.00040000000000000013
"(0.9, 0.2)",0.0009333333333333327
"(0.9, 0.3)",0.0033999999999999994
"(0.9, 0.4)",0.0006666666666666665
"(0.9, 0.5)",0.0038666666666666667
"(0.9, 0.6)",0.0021333333333333343
"(0.9, 0.7)",0.004266666666666667
"(0.9, 0.8)",0.002333333333333338
"(0.9, 0.9)",-0.0006666666666666694
"(0.9, 1.0)",-0.004200000000000001
"(1.0, 0.0)",-0.00019999999999999996
"(1.0, 0.1)",-0.0006666666666666657
"(1.0, 0.2)",0.0021999999999999997
"(1.0, 0.3)",0.001599999999999999
"(1.0, 0.4)",0.001933333333333334
"(1.0, 0.5)",0.0013333333333333318
"(1.0, 0.6)",0.0018666666666666638
"(1.0, 0.7)",0.0023333333333333283
"(1.0, 0.8)",-0.0018000000000000034
"(1.0, 0.9)",-0.0006666666666666661
"(1.0, 1.0)",0.0032666666666666647
