phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.008999999999999998
"(0.0, 0.2)",-0.01733333333333333
"(0.0, 0.3)",-0.01593333333333333
"(0.0, 0.4)",-0.028066666666666677
"(0.0, 0.5)",-0.019466666666666667
"(0.0, 0.6)",-0.03373333333333333
"(0.0, 0.7)",-0.038799999999999994
"(0.0, 0.8)",-0.0438
"(0.0, 0.9)",-0.05413333333333333
"(0.0, 1.0)",-0.04886666666666667
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.005666666666666665
"(0.1, 0.2)",-0.014266666666666664
"(0.1, 0.3)",-0.016466666666666664
"(0.1, 0.4)",-0.026266666666666674
"(0.1, 0.5)",-0.03206666666666667
"(0.1, 0.6)",-0.028133333333333333
"(0.1, 0.7)",-0.03493333333333333
"(0.1, 0.8)",-0.042
"(0.1, 0.9)",-0.05799999999999999
"(0.1, 1.0)",-0.05260000000000001
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.006933333333333332
"(0.2, 0.2)",-0.012199999999999997
"(0.2, 0.3)",-0.016999999999999998
"(0.2, 0.4)",-0.02153333333333334
"(0.2, 0.5)",-0.024733333333333336
"(0.2, 0.6)",-0.023200000000000002
"(0.2, 0.7)",-0.03713333333333333
"(0.2, 0.8)",-0.049266666666666674
"(0.2, 0.9)",-0.053733333333333334
"(0.2, 1.0)",-0.05473333333333333
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.004933333333333332
"(0.3, 0.2)",-0.006399999999999998
"(0.3, 0.3)",-0.017200000000000003
"(0.3, 0.4)",-0.019266666666666668
"(0.3, 0.5)",-0.02466666666666667
"(0.3, 0.6)",-0.03246666666666667
"(0.3, 0.7)",-0.03766666666666666
"(0.3, 0.8)",-0.051333333333333335
"(0.3, 0.9)",-0.048600000000000004
"(0.3, 1.0)",-0.0558
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.004533333333333332
"(0.4, 0.2)",-0.004466666666666666
"(0.4, 0.3)",-0.016933333333333335
"(0.4, 0.4)",-0.01726666666666667
"(0.4, 0.5)",-0.0262
"(0.4, 0.6)",-0.028199999999999996
"(0.4, 0.7)",-0.0372
"(0.4, 0.8)",-0.05413333333333334
"(0.4, 0.9)",-0.05166666666666666
"(0.4, 1.0)",-0.054933333333333334
"(0.5, 0.0)",0
"(0.5, 0.1)",0.002733333333333333
"(0.5, 0.2)",-0.0043999999999999985
"(0.5, 0.3)",-0.010466666666666666
"(0.5, 0.4)",-0.01486666666666667
"(0.5, 0.5)",-0.020000000000000004
"(0.5, 0.6)",-0.0338
"(0.5, 0.7)",-0.03746666666666666
"(0.5, 0.8)",-0.0504
"(0.5, 0.9)",-0.05546666666666666
"(0.5, 1.0)",-0.05460000000000001
"(0.6, 0.0)",0
"(0.6, 0.1)",0.001133333333333333
"(0.6, 0.2)",-0.0050666666666666655
"(0.6, 0.3)",-0.012133333333333333
"(0.6, 0.4)",-0.018400000000000003
"(0.6, 0.5)",-0.02046666666666667
"(0.6, 0.6)",-0.019866666666666668
"(0.6, 0.7)",-0.043333333333333335
"(0.6, 0.8)",-0.04493333333333334
"(0.6, 0.9)",-0.050666666666666665
"(0.6, 1.0)",-0.049600000000000005
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.0025999999999999994
"(0.7, 0.2)",-0.0008
"(0.7, 0.3)",-0.003799999999999999
"(0.7, 0.4)",-0.005866666666666668
"(0.7, 0.5)",-0.019333333333333338
"(0.7, 0.6)",-0.020933333333333335
"(0.7, 0.7)",-0.043733333333333325
"(0.7, 0.8)",-0.045000000000000005
"(0.7, 0.9)",-0.06206666666666666
"(0.7, 1.0)",-0.057600000000000005
"(0.8, 0.0)",0
"(0.8, 0.1)",0.0001333333333333333
"(0.8, 0.2)",-0.0035999999999999995
"(0.8, 0.3)",-0.0048000000000000004
"(0.8, 0.4)",-0.007266666666666665
"(0.8, 0.5)",-0.014133333333333336
"(0.8, 0.6)",-0.02206666666666667
"(0.8, 0.7)",-0.037599999999999995
"(0.8, 0.8)",-0.0442
"(0.8, 0.9)",-0.06280000000000001
"(0.8, 1.0)",-0.07273333333333333
"(0.9, 0.0)",0
"(0.9, 0.1)",-6.666666666666666e-05
"(0.9, 0.2)",0.0010666666666666667
"(0.9, 0.3)",-0.004133333333333333
"(0.9, 0.4)",-0.006666666666666666
"(0.9, 0.5)",-0.013533333333333335
"(0.9, 0.6)",-0.018466666666666666
"(0.9, 0.7)",-0.0318
"(0.9, 0.8)",-0.043266666666666675
"(0.9, 0.9)",-0.05866666666666666
"(0.9, 1.0)",-0.06533333333333334
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.0009333333333333331
"(1.0, 0.2)",-0.003133333333333332
"(1.0, 0.3)",-0.005199999999999999
"(1.0, 0.4)",-0.005533333333333332
"(1.0, 0.5)",-0.010733333333333334
"(1.0, 0.6)",-0.0176
"(1.0, 0.7)",-0.029266666666666663
"(1.0, 0.8)",-0.0458
"(1.0, 0.9)",-0.0666
"(1.0, 1.0)",-0.06606666666666666
