phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.023
"(0.0, 0.2)",-0.014
"(0.0, 0.3)",-0.01
"(0.0, 0.4)",-0.016
"(0.0, 0.5)",-0.013
"(0.0, 0.6)",-0.011
"(0.0, 0.7)",-0.018
"(0.0, 0.8)",-0.036
"(0.0, 0.9)",-0.008
"(0.0, 1.0)",-0.004
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.005
"(0.1, 0.2)",-0.011
"(0.1, 0.3)",-0.009
"(0.1, 0.4)",-0.003
"(0.1, 0.5)",-0.009
"(0.1, 0.6)",-0.014
"(0.1, 0.7)",-0.011
"(0.1, 0.8)",-0.013
"(0.1, 0.9)",-0.013
"(0.1, 1.0)",0.01
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.003
"(0.2, 0.2)",-0.005
"(0.2, 0.3)",-0.023
"(0.2, 0.4)",-0.017
"(0.2, 0.5)",-0.028
"(0.2, 0.6)",-0.021
"(0.2, 0.7)",-0.006
"(0.2, 0.8)",-0.006
"(0.2, 0.9)",-0.011
"(0.2, 1.0)",0.006
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.003
"(0.3, 0.2)",-0.013
"(0.3, 0.3)",-0.018
"(0.3, 0.4)",-0.011
"(0.3, 0.5)",-0.021
"(0.3, 0.6)",-0.03
"(0.3, 0.7)",0.006
"(0.3, 0.8)",0.004
"(0.3, 0.9)",-0.012
"(0.3, 1.0)",0.031
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.014
"(0.4, 0.2)",-0.01
"(0.4, 0.3)",-0.008
"(0.4, 0.4)",-0.01
"(0.4, 0.5)",-0.007
"(0.4, 0.6)",-0.011
"(0.4, 0.7)",-0.008
"(0.4, 0.8)",0.002
"(0.4, 0.9)",0.021
"(0.4, 1.0)",0.018
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.019
"(0.5, 0.2)",-0.009
"(0.5, 0.3)",-0.019
"(0.5, 0.4)",-0.014
"(0.5, 0.5)",-0.024
"(0.5, 0.6)",-0.036
"(0.5, 0.7)",-0.019
"(0.5, 0.8)",-0.008
"(0.5, 0.9)",-0.002
"(0.5, 1.0)",0.007
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.025
"(0.6, 0.2)",-0.015
"(0.6, 0.3)",-0.024
"(0.6, 0.4)",-0.01
"(0.6, 0.5)",-0.005
"(0.6, 0.6)",-0.035
"(0.6, 0.7)",-0.019
"(0.6, 0.8)",-0.029
"(0.6, 0.9)",0.009
"(0.6, 1.0)",0.008
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.01
"(0.7, 0.2)",-0.02
"(0.7, 0.3)",-0.026
"(0.7, 0.4)",-0.034
"(0.7, 0.5)",-0.003
"(0.7, 0.6)",-0.012
"(0.7, 0.7)",-0.007
"(0.7, 0.8)",-0.026
"(0.7, 0.9)",-0.003
"(0.7, 1.0)",-0.015
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.018
"(0.8, 0.2)",-0.019
"(0.8, 0.3)",-0.024
"(0.8, 0.4)",-0.026
"(0.8, 0.5)",-0.015
"(0.8, 0.6)",-0.012
"(0.8, 0.7)",-0.04
"(0.8, 0.8)",-0.052
"(0.8, 0.9)",-0.015
"(0.8, 1.0)",0.021
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.016
"(0.9, 0.2)",-0.026
"(0.9, 0.3)",-0.021
"(0.9, 0.4)",-0.021
"(0.9, 0.5)",-0.019
"(0.9, 0.6)",-0.046
"(0.9, 0.7)",-0.014
"(0.9, 0.8)",-0.011
"(0.9, 0.9)",-0.014
"(0.9, 1.0)",-0.01
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.014
"(1.0, 0.2)",-0.011
"(1.0, 0.3)",-0.025
"(1.0, 0.4)",-0.012
"(1.0, 0.5)",-0.033
"(1.0, 0.6)",-0.023
"(1.0, 0.7)",-0.033
"(1.0, 0.8)",-0.004
"(1.0, 0.9)",0.013
"(1.0, 1.0)",0.032
