phi_sui,phi_rev
"(0.0, 0.0)",0.0
"(0.0, 0.1)",-0.015659999999999997
"(0.0, 0.2)",-0.021320000000000002
"(0.0, 0.3)",-0.02598000000000001
"(0.0, 0.4)",-0.026960000000000015
"(0.0, 0.5)",-0.027620000000000006
"(0.0, 0.6)",-0.02662
"(0.0, 0.7)",-0.027026666666666664
"(0.0, 0.8)",-0.022266666666666664
"(0.0, 0.9)",-0.019146666666666663
"(0.0, 1.0)",-0.01661333333333333
"(0.1, 0.0)",-0.0004133333333333342
"(0.1, 0.1)",-0.012513333333333333
"(0.1, 0.2)",-0.018946666666666667
"(0.1, 0.3)",-0.021120000000000007
"(0.1, 0.4)",-0.024333333333333342
"(0.1, 0.5)",-0.025400000000000006
"(0.1, 0.6)",-0.02554666666666667
"(0.1, 0.7)",-0.025179999999999998
"(0.1, 0.8)",-0.022646666666666666
"(0.1, 0.9)",-0.0192
"(0.1, 1.0)",-0.01886
"(0.2, 0.0)",0.0004333333333333331
"(0.2, 0.1)",-0.007906666666666666
"(0.2, 0.2)",-0.013126666666666668
"(0.2, 0.3)",-0.019626666666666674
"(0.2, 0.4)",-0.021806666666666672
"(0.2, 0.5)",-0.02387333333333334
"(0.2, 0.6)",-0.02614666666666667
"(0.2, 0.7)",-0.026473333333333335
"(0.2, 0.8)",-0.0234
"(0.2, 0.9)",-0.021013333333333335
"(0.2, 1.0)",-0.01950666666666667
"(0.3, 0.0)",-0.0013466666666666675
"(0.3, 0.1)",-0.0038600000000000006
"(0.3, 0.2)",-0.009126666666666668
"(0.3, 0.3)",-0.01732666666666667
"(0.3, 0.4)",-0.01951333333333334
"(0.3, 0.5)",-0.018926666666666668
"(0.3, 0.6)",-0.023526666666666668
"(0.3, 0.7)",-0.024753333333333336
"(0.3, 0.8)",-0.024833333333333336
"(0.3, 0.9)",-0.02296
"(0.3, 1.0)",-0.020933333333333335
"(0.4, 0.0)",0.00054
"(0.4, 0.1)",-0.002280000000000002
"(0.4, 0.2)",-0.005646666666666668
"(0.4, 0.3)",-0.01124666666666667
"(0.4, 0.4)",-0.01300666666666667
"(0.4, 0.5)",-0.020633333333333337
"(0.4, 0.6)",-0.023953333333333333
"(0.4, 0.7)",-0.02384
"(0.4, 0.8)",-0.02638666666666667
"(0.4, 0.9)",-0.024153333333333336
"(0.4, 1.0)",-0.02438
"(0.5, 0.0)",9.99999999999998e-05
"(0.5, 0.1)",0.0014666666666666676
"(0.5, 0.2)",-0.0017933333333333332
"(0.5, 0.3)",-0.0075266666666666685
"(0.5, 0.4)",-0.011940000000000004
"(0.5, 0.5)",-0.017473333333333334
"(0.5, 0.6)",-0.01966
"(0.5, 0.7)",-0.02783333333333333
"(0.5, 0.8)",-0.02688
"(0.5, 0.9)",-0.030119999999999997
"(0.5, 1.0)",-0.027779999999999996
"(0.6, 0.0)",0.0003333333333333336
"(0.6, 0.1)",0.002293333333333334
"(0.6, 0.2)",0.002373333333333333
"(0.6, 0.3)",-0.004946666666666667
"(0.6, 0.4)",-0.004566666666666668
"(0.6, 0.5)",-0.011420000000000003
"(0.6, 0.6)",-0.016466666666666668
"(0.6, 0.7)",-0.02719333333333333
"(0.6, 0.8)",-0.03201333333333333
"(0.6, 0.9)",-0.029453333333333328
"(0.6, 1.0)",-0.03139333333333333
"(0.7, 0.0)",-0.0008066666666666666
"(0.7, 0.1)",0.003020000000000001
"(0.7, 0.2)",0.0032533333333333346
"(0.7, 0.3)",0.001306666666666667
"(0.7, 0.4)",-0.0042
"(0.7, 0.5)",-0.008166666666666668
"(0.7, 0.6)",-0.010013333333333334
"(0.7, 0.7)",-0.023826666666666666
"(0.7, 0.8)",-0.028319999999999994
"(0.7, 0.9)",-0.03389333333333333
"(0.7, 1.0)",-0.030879999999999998
"(0.8, 0.0)",-0.0001933333333333333
"(0.8, 0.1)",0.005160000000000001
"(0.8, 0.2)",0.00446
"(0.8, 0.3)",0.0018866666666666665
"(0.8, 0.4)",0.0021933333333333345
"(0.8, 0.5)",-0.005073333333333334
"(0.8, 0.6)",-0.008846666666666666
"(0.8, 0.7)",-0.018566666666666662
"(0.8, 0.8)",-0.023793333333333333
"(0.8, 0.9)",-0.03217999999999999
"(0.8, 1.0)",-0.03228
"(0.9, 0.0)",1.333333333333333e-05
"(0.9, 0.1)",0.0031666666666666675
"(0.9, 0.2)",0.004586666666666668
"(0.9, 0.3)",0.0033666666666666667
"(0.9, 0.4)",0.0008599999999999997
"(0.9, 0.5)",-0.002446666666666669
"(0.9, 0.6)",-0.006986666666666667
"(0.9, 0.7)",-0.012213333333333333
"(0.9, 0.8)",-0.022039999999999997
"(0.9, 0.9)",-0.03093333333333333
"(0.9, 1.0)",-0.036993333333333336
"(1.0, 0.0)",6.666666666666666e-05
"(1.0, 0.1)",0.0017000000000000006
"(1.0, 0.2)",0.002893333333333334
"(1.0, 0.3)",0.003533333333333333
"(1.0, 0.4)",9.999999999999896e-05
"(1.0, 0.5)",0.0011333333333333317
"(1.0, 0.6)",-0.008480000000000001
"(1.0, 0.7)",-0.010559999999999996
"(1.0, 0.8)",-0.023953333333333333
"(1.0, 0.9)",-0.029093333333333332
"(1.0, 1.0)",-0.026520000000000002
